YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.0000000	0.3580247	0.9927580	0.5789329	0.7184048	0.7752342	0.3457256	0.8816464	0.0899098	1.0000000
0.0440906	0.0000000	0.8028324	0.6208471	0.8067478	0.6791017	0.5273402	0.4067858	0.3170531	1.0000000
0.8567340	0.9999998	0.0000027	0.5726500	0.7055068	0.7885022	0.3233437	0.9823137	0.0755695	1.0000000
0.0643011	0.3553252	0.9999964	0.0000000	0.7185414	0.7750626	0.3460403	0.8802267	0.0901304	1.0000000
0.0649988	0.3564745	0.9969340	0.1060756	0.0000000	0.7751519	0.3458849	0.8808718	0.0900220	1.0000000
0.0659676	0.3581377	0.9924559	0.9691677	1.0000000	0.0000000	0.3457135	0.8817038	0.0899012	1.0000000
0.0658350	0.3579064	0.9930860	0.4280631	0.4985016	1.0000000	0.0000002	0.8815931	0.0899167	1.0000000
0.8139796	0.8870406	0.1949547	0.6995207	0.9261128	0.5056543	0.9999992	0.0000000	1.0000000	1.0000000
0.0643080	0.3553274	0.9999955	0.5789823	0.7185286	0.7750715	0.3460294	0.8802478	0.0000003	1.0000000
0.2689579	0.5395841	0.6285413	0.1177859	0.7561505	0.7356301	0.4159905	0.6438665	1.0000000	0.0000000
