YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.0111278	0.9940663	0.1093368	0.1010631	0.6945856	0.3779689	1.0000000	0.2643166	0.4988572	1.0000000
0.1767115	0.4999956	0.4078749	0.5637631	0.6945856	0.3779689	1.0000000	0.2624928	0.3935156	1.0000000
0.0219552	0.9994093	0.1742899	0.4443379	0.6945856	0.3779689	1.0000000	0.2643049	0.4988457	1.0000000
0.0219376	0.9997475	0.2070693	0.2220522	0.6945856	0.3779689	1.0000000	0.2643160	0.4988496	1.0000000
0.0219250	0.9999808	0.3489358	0.4450341	0.3472928	0.3779689	1.0000000	0.3414711	0.5453894	1.0000000
0.0219250	0.9999808	0.3489886	0.4451310	0.3379700	0.1889845	1.0000000	0.3439754	0.5476893	1.0000000
0.0219251	0.9999806	0.3482655	0.4437826	0.9024112	0.7219887	0.5000000	0.3360527	0.5413072	1.0000000
0.0219251	0.9999807	0.3483274	0.4438994	0.6945856	0.3779689	1.0000000	0.1321650	0.4810405	1.0000000
0.0219251	0.9999807	0.3483275	0.4438994	0.6945856	0.3779689	1.0000000	0.2643117	0.2494620	1.0000000
0.0219251	0.9999807	0.3483275	0.4438994	0.6945856	0.3779689	1.0000000	0.2643050	0.4988493	0.5000573
