YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W
0.3475904	0.1673486	0.1048165	0.9636926	0.4614961	0.6535074	0.4822372	0.0243897	0.6879634	0.3587794
0.9137584	0.1634074	0.1049686	1.0127740	0.4372457	0.6088101	0.4231668	0.0260672	0.6346946	0.3658210
0.9989494	0.0948909	0.0639975	1.0213641	0.5296567	0.4540462	0.4172364	0.0230463	0.5042376	0.3583185
0.3465389	0.7939500	0.3728318	0.4669010	0.5011686	0.5299338	0.3937038	0.0341943	0.8322901	0.2219978
0.7293562	0.2927853	0.1323205	1.1069915	0.3284857	0.3396516	0.7178903	0.0243028	1.0502332	0.1914808
0.5062779	0.5206337	0.2233248	1.0029137	0.4448590	0.3281586	0.4398899	0.0332245	0.8640325	0.1936808
0.9329979	0.2379381	0.1295448	0.9309207	0.4304908	0.6297402	0.3505674	0.0320431	0.4818973	0.4385556
0.7395975	0.2352061	0.0969847	1.0675672	0.5590011	0.5771277	0.3697177	0.0180857	0.4713744	0.3556027
0.8151356	0.2311751	0.0936970	0.9700119	0.4823178	0.5604407	0.5044839	0.0211061	0.3412791	0.3577309
0.6601045	0.4147252	0.1366649	0.9937888	0.4522117	0.5312451	0.4609890	0.0208503	0.8853186	0.1697147
