YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.3013106	0.5935206	0.2968169	0.5566863	0.4096117	0.3839141	0.0683085	0.5575511	0.3299730	0.6671198
0.6922917	0.3461303	0.2653123	0.4337744	0.3199385	0.3609088	0.0709721	0.5906161	0.2689210	0.7768773
0.6026459	0.8350197	0.1954509	0.5920523	0.5501542	0.1918965	0.0516451	0.6201464	0.2668000	0.7351518
0.5641490	0.6909264	0.3785958	0.3313846	0.3507896	0.1487463	0.0617253	0.6571159	0.2056963	0.7773222
0.5655548	0.8619086	0.1760506	0.4794983	0.2934776	0.1735826	0.1009735	0.7487148	0.2813073	0.6498127
0.6109706	0.7353832	0.2676429	0.5980299	0.4015073	0.1671043	0.0907609	0.7434959	0.2211301	0.7177825
0.5184145	0.6240033	0.3113299	0.6322047	0.4098666	0.1760202	0.0517451	0.7016248	0.3204478	0.6598536
0.4966280	0.2864353	0.4476583	0.6402068	0.5137934	0.6700316	0.1577393	0.4926216	0.3838814	0.8118330
0.5815824	0.5369102	0.4270518	0.6601717	0.4309376	0.2273871	0.0798849	0.5632165	0.1824341	0.5899376
0.6337478	0.5347014	0.2438713	0.6472940	0.4935488	0.2377987	0.1033908	0.7513934	0.1924611	0.4390533
