YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.0602393	0.8261106	0.0092559	0.4461732	0.4413862	0.6077218	0.5289586	0.6823400	0.4468534	0.3522697
0.0609113	0.6200403	0.0210565	0.5863677	0.3726497	0.6261881	0.5882845	0.7623165	0.5151557	0.7755928
0.0635843	0.4583093	0.0001028	0.5604821	0.4819705	0.5082859	0.4941327	0.7198163	0.5960588	0.7781608
0.0019596	0.6071341	0.0548630	0.6219600	0.5968807	0.5344978	0.6058871	0.7254644	0.6308243	0.6621247
0.0730602	0.6497750	0.0094285	0.7701926	0.8020582	0.6538774	0.5148943	0.5880107	0.4986083	0.6625782
0.0660855	0.6670192	0.0023123	0.6567588	0.5407224	0.6821214	0.4903683	0.6495930	0.5715164	0.6614360
0.0081155	0.3957210	0.0009904	0.6159911	0.5435150	0.5205855	0.5412819	0.5949721	0.6748471	0.6413701
0.0613766	0.8580117	0.0008841	0.6236522	0.7055190	0.5357944	0.3718224	0.5101479	0.5088154	0.6597455
0.0021917	0.5794191	0.0164171	0.5010359	0.3910389	0.6492566	0.6650355	0.7235806	0.5253226	0.5086556
0.0617051	0.6374724	0.0005550	0.5994619	0.7403014	0.6087366	0.4424790	0.5249474	0.4973182	0.6515893
