YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
0.2435904	0.4669779	0.3877795	0.6573325	0.8119216	0.8320647	0.6315045	0.7870776	0.8515812	0.7707629
0.7250835	0.2199141	0.4983104	0.7581755	0.7823017	0.7807979	0.8402936	0.6469534	0.7727373	0.7876658
0.8709677	0.2096865	0.2530796	0.7312522	0.7583077	0.7609967	0.8247491	0.8394617	0.6960137	0.7093040
0.6226970	0.2883449	0.3042803	0.3102331	0.7346566	0.6150624	0.6902766	0.6737766	0.7734811	0.7697320
0.3118922	0.5254465	0.3689900	0.7455294	0.3222363	0.9001242	0.7577760	0.8626347	0.7100321	0.7331823
0.4158735	0.5753541	0.4363198	0.7892804	0.6870507	0.3771986	0.8657765	0.6843181	0.8366252	0.8121371
0.7886039	0.3482080	0.4722431	0.6804431	0.7469393	0.8220941	0.4342340	0.6854651	0.7371479	0.7420278
0.5448900	0.5083188	0.5035229	0.7936691	0.5966589	0.8159901	0.8087589	0.3791379	0.8460662	0.7095575
0.4783066	0.4236650	0.3537991	0.6949807	0.6801421	0.7948073	0.6582892	0.8409142	0.4012769	0.7792929
0.4008214	0.5419959	0.4154313	0.6396266	0.8802254	0.7385008	0.7651958	0.6576965	0.5700458	0.3952603
