YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.0111301	0.9940318	0.1093281	0.1011217	0.6945856	0.3779689	1.0000000	0.2643166	0.4988572	1.0000000
0.1767023	0.4999957	0.4078651	0.5637612	0.6945856	0.3779689	1.0000000	0.2624886	0.3936970	1.0000000
0.0219530	0.9994186	0.1743290	0.4442714	0.6945856	0.3779689	1.0000000	0.2643049	0.4988457	1.0000000
0.0219371	0.9997494	0.2071031	0.2220488	0.6945856	0.3779689	1.0000000	0.2643160	0.4988496	1.0000000
0.0219250	0.9999808	0.3489332	0.4450331	0.3472942	0.3779689	1.0000000	0.3414400	0.5451620	1.0000000
0.0219250	0.9999808	0.3489865	0.4451301	0.3379721	0.1889845	1.0000000	0.3439518	0.5475340	1.0000000
0.0219251	0.9999806	0.3482662	0.4437830	0.9023443	0.7219788	0.5000000	0.3361925	0.5416372	1.0000000
0.0219251	0.9999807	0.3483275	0.4438994	0.6945856	0.3779689	1.0000000	0.1322018	0.4810567	1.0000000
0.0219251	0.9999807	0.3483276	0.4438994	0.6945856	0.3779689	1.0000000	0.2643117	0.2495587	1.0000000
0.0219251	0.9999807	0.3483276	0.4438994	0.6945856	0.3779689	1.0000000	0.2643050	0.4988493	0.5002266
