YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.0902900	0.0512496	0.3367557	0.5549021	0.7596623	0.0154061	0.6373324	0.7953823	0.5601042	0.5192214
0.0853065	0.0214595	0.3061519	0.5931463	0.7132166	0.0146395	0.6960043	0.7864436	0.6710439	0.4947934
0.0913086	0.0332568	0.2111642	0.5272902	0.6356242	0.0036281	0.8003010	0.7223778	0.4020572	0.5580793
0.1143079	0.0463295	0.4314451	0.2230152	0.9237546	0.0090499	0.6986665	0.7992330	0.5175615	0.4531316
0.0575231	0.0091642	0.3112243	0.7977307	0.4024455	0.0035702	0.7097839	0.8104010	0.4649083	0.5075534
0.1377383	0.0258020	0.3704329	0.5109285	0.8755181	0.0065000	0.8150576	0.6040668	0.6060345	0.5570849
0.0887892	0.0304521	0.3826217	0.5789442	0.7135275	0.0284487	0.3901516	0.6508243	0.5170400	0.4297638
0.1475404	0.0630176	0.2889601	0.6431986	0.7361874	0.1835087	0.2131223	0.4294082	0.6480123	0.4997203
0.1681515	0.0642585	0.2478872	0.8006543	0.6322263	0.5635194	0.1657439	0.3918591	0.3326184	0.6551466
0.1168263	0.0260281	0.3339660	0.6387925	0.7515856	0.0186724	0.7944605	0.9039325	0.5913284	0.3087864
