YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.3862606	0.7279873	0.7098087	0.1427156	0.0869257	0.7925354	0.5481441	0.3228936	0.4899414	0.4419182
0.5301311	0.2678084	0.6709827	0.1334744	0.0399222	0.7042171	0.5712712	0.4245505	0.4178352	0.5110853
0.6740499	0.6289637	0.3935626	0.1472947	0.1148802	0.6197071	0.4434399	0.3898941	0.2342199	0.5745267
0.7737410	0.5476155	0.5900997	0.0708216	0.0425594	0.6483925	0.5295243	0.3255169	0.4636377	0.3044851
0.6148533	0.7681825	0.6215862	0.1973308	0.0417791	0.6302004	0.4355881	0.4570468	0.3034231	0.4709321
0.5539887	0.6763782	0.8175491	0.1513176	0.0433446	0.3507967	0.5728171	0.4062350	0.3294029	0.4316063
0.7063089	0.6598368	0.7898358	0.2178497	0.0182466	0.6654543	0.2461594	0.3720437	0.4496303	0.4365153
0.7909789	0.7579717	0.8571856	0.1465852	0.0401459	0.6525747	0.6787509	0.1841613	0.3857540	0.4779311
0.6340153	0.6975685	0.6821357	0.1227974	0.2362801	0.6882813	0.4878144	0.5451140	0.1665498	0.4122779
0.8234629	0.7851798	0.6006155	0.3059595	0.0149418	0.8077718	0.4838703	0.3037890	0.7065743	0.2459302
