YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.4963383	0.9694794	0.8082697	0.1371225	0.1412597	0.9980364	0.9422887	0.7070865	0.5109484	1.0000000
0.9482139	0.4847403	0.8082697	0.1371225	0.1412597	0.9980364	0.9422887	0.4338491	0.7714619	1.0000000
0.8853398	0.3587152	0.4041349	0.1371225	0.1412597	0.9980364	0.9422887	0.3866563	0.8295294	1.0000000
0.9929881	0.9885616	0.9580496	0.0685612	0.1412584	0.9980417	0.9434887	0.7116018	0.5067500	1.0000000
0.9928818	0.9832696	0.8975691	0.1014912	0.0706297	0.9980401	0.9431377	0.7103653	0.5078956	1.0000000
0.0564386	0.0552969	0.1834606	0.4868786	0.5101754	0.4987859	0.8530699	0.3672388	0.8556638	1.0000000
0.9925955	0.9691555	0.8059743	0.1381374	0.1428992	0.9914177	0.4711618	0.7070581	0.5109932	1.0000000
0.9925997	0.9694793	0.8082697	0.1371225	0.1412597	0.9980364	0.9422887	0.3535436	0.5109484	1.0000000
0.9925997	0.9694794	0.8082697	0.1371225	0.1412597	0.9980364	0.9422887	0.9463226	0.2554939	1.0000000
0.9925950	0.9691396	0.8059823	0.1381191	0.1428704	0.9915121	0.4734543	0.9407573	0.2650536	0.5000000
