YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.3711846	0.3958284	0.5411960	0.4799210	0.2081213	0.0899816	0.2773321	0.7341280	0.5009085	0.7964570
0.3830953	0.1775705	0.5307385	0.4579483	0.3038001	0.1103637	0.2106885	0.7585548	0.5784690	0.7345866
0.6789312	0.1767794	0.1722125	0.4590052	0.1224846	0.0600259	0.2459005	0.8169841	0.4047147	0.8327644
0.7541597	0.3653213	0.6082994	0.2960787	0.1537877	0.0942895	0.2037803	0.8095442	0.4517070	0.8849989
0.6226689	0.4490667	0.5536880	0.5739933	0.0830726	0.0698341	0.2000111	0.6944490	0.3478539	0.7887992
0.8249804	0.4403998	0.6401647	0.6677910	0.1290195	0.0770435	0.3628654	0.6473064	0.3991341	0.7857185
0.7281817	0.4002635	0.6970637	0.4853217	0.0339892	0.0247639	0.1311058	0.6106712	0.4297330	0.7808291
0.6474688	0.3918694	0.3392116	0.2763686	0.5071420	0.3065706	0.7056676	0.3288033	0.7561294	0.8461165
0.6815755	0.3799950	0.5940910	0.4658423	0.2857190	0.1614945	0.2043248	0.6822685	0.3384099	0.7844329
0.8503740	0.3727399	0.4796312	0.4464415	0.5585153	0.3218214	0.4547593	0.4713889	0.6347839	0.3637290
