"Time"	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C

0	0.6206371	0.4426568	0.1853076	0.8036098	0.7198372	0.3577986	0.7746088	0.7132141	0.8452921	0.7485421
50	0.6246450	0.3583460	0.1983069	0.6945492	0.7516555	0.3875303	0.5284819	0.7321730	0.7310514	0.7978173
100	0.6414597	0.3485046	0.1320399	0.7188208	0.7480287	0.4167472	0.5241214	0.6541251	0.6512846	0.6576250
150	0.8264992	0.3661448	0.1416772	0.6510930	0.6040999	0.3957228	0.2748304	0.8730759	0.7416198	0.5834194
200	0.6197825	0.3448849	0.2430665	0.7504260	0.6335014	0.2459170	0.3285523	0.6368140	0.7251801	0.6906593
250	0.7899552	0.3867052	0.2020810	0.6901038	0.7824489	0.2815275	0.3498429	1.0250260	0.7705787	0.6443925
300	0.7334424	0.4706065	0.2102763	0.6238546	0.6813557	0.1801669	0.2938877	0.8096165	0.6916403	0.6926668
350	0.5940962	0.3796457	0.1737282	0.7255185	0.6795879	0.2696410	0.2680148	0.7954546	0.7706670	0.7040231
400	0.6992167	0.4198740	0.2201531	0.6669498	0.7704501	0.1823872	0.2458498	0.7912167	0.8189917	0.7287451
450	0.6322351	0.3872801	0.2238727	0.7955850	0.7571059	0.2455220	0.3710765	0.7228236	0.8736065	0.7520960
500	0.6522744	0.4815318	0.1401322	0.7551755	0.7715460	0.2000309	0.2500482	0.9009823	0.6680973	0.7237454
550	0.6889005	0.3567919	0.2834946	0.7582195	0.7771742	0.2095180	0.5770581	0.7970820	0.7789862	0.6953024
600	0.6012791	0.3880941	0.1949361	0.7269229	0.7815377	0.3726777	0.6609738	0.7046882	0.7451434	0.7045916
650	0.7471005	0.3903168	0.2058315	0.6254897	0.7168530	0.4308838	0.6959616	0.7029515	0.6943840	0.7702958
700	0.6463858	0.4378505	0.2359297	0.7210548	0.7451901	0.3681321	0.7138893	0.6211243	0.6772718	0.8185462
750	0.5651850	0.4179660	0.2215982	0.7502410	0.7935489	0.3373587	0.7424626	0.7247492	0.7271287	0.6840803
800	0.6461207	0.4353556	0.2178787	0.7917963	0.7783117	0.3820156	0.6711495	0.7849804	0.6264553	0.8478979
850	0.6430738	0.3555121	0.1633620	0.8384430	0.6699920	0.3885858	0.7655833	0.7589207	0.7117449	0.7113408
900	0.6466880	0.4005949	0.1643661	0.8369319	0.7094615	0.4403067	0.7511515	0.8199229	0.6520637	0.6748582
950	0.6123729	0.3888703	0.2048013	0.8332411	0.6958981	0.3963419	0.8194183	0.6146245	0.6353401	0.6303918
1000	0.6064276	0.3758728	0.1850248	0.8442338	0.7053611	0.4339953	0.6819492	0.6425000	0.7573859	0.7116247

0	0.7648559	0.3854589	0.2289706	0.8192057	0.7852949	0.4745831	0.7384110	0.7529379	0.5736354	0.7471900
50	0.7498646	0.3677041	0.0953386	0.7152079	0.7496462	0.4480097	0.7286689	0.6790027	0.7771506	0.6849730
100	0.6988858	0.3683249	0.0772282	0.7299213	0.6987655	0.4679270	0.8680918	0.7132779	0.7325065	0.6149624
150	0.6822936	0.3920466	0.0247349	0.7410606	0.6652358	0.4336821	0.7387556	0.7056357	0.7107400	0.7558268
200	0.5671888	0.1614185	0.0102669	0.7794136	0.6582406	0.4332490	0.5450255	0.7369674	0.6643696	0.7667186
250	0.5810927	0.1328124	0.0073737	0.6728549	0.7952359	0.5294532	0.6464770	0.6997991	0.6199958	0.6939183
300	0.4787692	0.0664664	0.0312474	0.7062333	0.7105662	0.4167167	0.5889878	0.6433731	0.6152464	0.8321414
350	0.4791868	0.0796725	0.0208214	0.6404023	0.7121936	0.4659302	0.7126219	0.6789203	0.8093444	0.7267227
400	0.4225580	0.0537862	0.0338077	0.7888222	0.8448693	0.4288575	0.7194938	0.8336226	0.7198865	0.7289622
450	0.4829568	0.0835152	0.0145722	0.8365354	0.8444151	0.4663442	0.6276534	0.5867568	0.7661342	0.7309910
500	0.3680981	0.0345260	0.0343830	0.8023444	0.7481469	0.4592604	0.8198569	0.5601451	0.7523636	0.8052464
550	0.3327916	0.0617440	0.0865749	0.6877142	0.7536104	0.4350893	0.8002005	0.5420622	0.7171667	0.7658262
