YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C
1.0582222	0.9193544	0.8125517	0.9522312	0.0004667	0.1977964	0.9857104	0.0024134	1.0280268	0.5080229
1.0742902	0.9299792	0.9524599	1.0886341	0.0053155	0.3747349	0.7577649	0.0011059	0.9221320	0.7467480
1.0822187	0.8991895	0.8380652	0.6600119	0.0022294	0.2905477	0.9922655	0.0352308	0.9746196	0.4613239
0.9647778	0.7876318	0.6165062	0.7040767	0.0009035	0.2611963	0.9382616	0.1141440	0.9986195	0.8921184
1.0057438	0.9375757	0.8730161	0.9661257	0.0006859	0.2213409	0.9948050	0.0927488	1.0883155	0.7957226
1.0554152	0.9726487	0.8695713	0.9928831	0.0089005	0.2623696	0.9147578	0.0984015	0.9740617	0.6677161
1.0065565	0.9291712	0.8537193	0.9338352	0.2509417	0.1826983	1.0552591	0.1157242	0.9571813	0.5793188
1.0625976	0.9729034	0.8869746	1.0530849	0.1039398	0.2929793	0.8846882	0.0689125	1.0244400	0.8305322
0.9792961	0.9261297	0.8990670	1.0675721	0.0046472	0.2242184	0.9982227	0.1355329	1.0843568	0.8889695
0.9964163	0.7726814	0.6250316	0.6958972	0.0308149	0.2675009	1.0187470	0.1754321	0.9988888	0.7813351
