"Time"	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W

0	0.1633596	0.6442529	0.9496445	0.9302137	0.2195179	0.5887013	0.0524820	0.8971631	0.0878078	1.0190250
50	0.1116748	0.8099426	0.9278628	0.6852331	0.3690769	0.5432497	0.0216534	0.9114661	0.0784187	0.9715819
100	0.1512502	0.8973552	1.0719767	0.4137000	0.5094960	0.4951410	0.0372447	0.8437550	0.0833294	1.0720107
150	0.1484755	1.0390165	0.9528695	0.3454482	0.5577118	0.5341237	0.0190424	0.7686162	0.1046047	1.0751176
200	0.0907879	0.9365861	0.9706288	0.2933586	0.5969723	0.6228918	0.0398233	0.8157650	0.1259458	1.0252689
250	0.1425864	0.9421123	0.9890523	0.2883059	0.5752459	0.4921204	0.0414704	0.9255127	0.0855574	1.0863686
300	0.1094756	0.9911406	1.0421888	0.2894518	0.6043542	0.5248034	0.0478245	0.8401582	0.0815448	1.0349920
350	0.1129987	0.8886616	1.0266790	0.2544600	0.5286734	0.4329518	0.0597423	0.7331305	0.0561762	1.0511512
400	0.1267759	0.8836121	0.9312041	0.2675982	0.5145674	0.3707225	0.0554586	0.7992425	0.0954690	1.0164165
450	0.1081293	0.8687974	1.0103826	0.3011510	0.6130401	0.3509406	0.0472909	0.8036548	0.0684541	1.0400972
500	0.1195192	0.9320846	1.0158423	0.3343905	0.6311614	0.3357310	0.0339248	0.7511389	0.0642842	1.0246381
550	0.1235097	0.6317792	1.0450127	0.6323579	0.4019818	0.4324759	0.0227033	0.7914968	0.0563537	1.0815591
600	0.1318061	0.5891603	1.0072777	0.8251399	0.3062910	0.4650176	0.0425008	0.9209196	0.0707842	1.0320347
650	0.1464152	0.6395035	1.0260932	0.9174515	0.2559918	0.4161274	0.0419953	1.0134927	0.0802387	1.0318535
700	0.1443152	0.5883140	1.0338590	0.9388134	0.2507270	0.4765168	0.0364682	0.8987353	0.0720213	1.0987528
750	0.1649344	0.6189894	1.0837612	1.0884768	0.2260975	0.4243743	0.0415959	0.9293642	0.0724590	1.0754442
800	0.1315972	0.6803891	1.0765125	1.0821651	0.1719727	0.4768722	0.0260620	0.9213617	0.0563420	0.9313154
850	0.1503395	0.6933694	0.9749390	0.9937067	0.2321631	0.5136743	0.0364937	0.9840809	0.0502832	0.9444222
900	0.1411105	0.6587630	0.9640551	1.1603491	0.2674751	0.5569565	0.0265877	0.9186177	0.0773923	0.9334319
950	0.1473138	0.6894843	0.9600656	1.0595260	0.2660538	0.5691416	0.0381028	0.9688889	0.0849886	1.0714516
1000	0.1201924	0.6757630	0.9943783	0.9920599	0.2385428	0.5371629	0.0536888	0.8717175	0.0904435	1.0581849

0	0.1633596	0.6442529	0.9496445	0.9302137	0.2195179	0.5887013	0.0524820	0.8971631	0.0878078	1.0190250
50	0.1232663	0.5644434	1.0753704	0.7834596	0.3028402	0.3228416	0.0558994	0.6196363	0.0561080	0.6180212
100	0.1694581	0.4136632	1.0186902	0.7089889	0.2114671	0.2390373	0.0593205	0.4443943	0.0677861	0.3306500
150	0.3688803	0.3996334	1.0124390	0.6792614	0.1293054	0.1459883	0.1055538	0.3814460	0.0710324	0.2012154
200	0.4336059	0.2969955	0.9807276	0.6573191	0.0500361	0.0991079	0.1215234	0.3429699	0.1504942	0.1324775
250	0.4867147	0.2907840	0.9328801	0.6096173	0.0557907	0.0716288	0.1422725	0.3241860	0.1524000	0.1606195
300	0.5461892	0.3151061	0.9396427	0.6052545	0.0380770	0.0465887	0.1878993	0.3187520	0.1931744	0.1839394
350	0.5574922	0.2553888	0.8100772	0.5203771	0.0256933	0.0398739	0.2402247	0.2571365	0.2112770	0.1645987
400	0.5300841	0.2483574	0.7465864	0.4525077	0.0294894	0.0286201	0.2677427	0.3594911	0.2417680	0.1776770
450	0.5673892	0.3135865	0.5674072	0.4072725	0.0267586	0.0251316	0.2443868	0.3153019	0.2276708	0.1740267
500	0.5753926	0.3004079	0.6992347	0.4800935	0.0256772	0.0301854	0.2656831	0.3058889	0.2751619	0.1275491
550	0.6183800	0.3163226	0.6566808	0.5777074	0.0119832	0.0989266	0.1942904	0.5391811	0.2378345	0.4575138
600	0.5795360	0.4279278	0.6952455	0.7693307	0.0272345	0.1292011	0.1235197	0.6780730	0.1752954	0.7806759
650	0.4467173	0.4648053	0.8398049	0.8503583	0.0329516	0.1932571	0.0624934	0.6681083	0.1444241	0.9135664
700	0.3486343	0.4609581	0.8941355	0.9649826	0.0419162	0.3106041	0.0475722	0.7728336	0.1237272	1.0209721
750	0.2736828	0.6206437	0.9665539	1.0177206	0.0839888	0.4165544	0.0334423	0.9086577	0.0657581	0.9888755
800	0.2165453	0.6507625	1.0019154	0.9562447	0.1529115	0.3445916	0.0396303	0.8987363	0.0623187	0.9712567
850	0.1615377	0.6473352	1.0129392	0.9559320	0.1269502	0.4403440	0.0367744	0.9541830	0.0693977	0.9647430
900	0.1481489	0.6178991	0.9664166	0.9409172	0.2041864	0.4208390	0.0339595	1.0005183	0.0840773	0.9604914
950	0.1813258	0.6659852	1.0954315	1.0408263	0.1813240	0.4455608	0.0240504	1.0583433	0.0903445	0.9576888
1000	0.1459174	0.7166343	1.0428952	1.0734239	0.1894039	0.4751390	0.0207029	0.9101243	0.0780288	1.0232896

0	0.1633596	0.6442529	0.9496445	0.9302137	0.2195179	0.5887013	0.0524820	0.8971631	0.0878078	1.0190250
50	0.0729105	0.6667841	1.0501592	0.9702832	0.4165697	0.5230978	0.0150553	0.9501894	0.0904264	0.9018672
100	0.0442103	0.6864956	0.9519048	0.8741379	0.6967675	0.5963553	0.0190281	0.9772688	0.1342362	0.9491841
150	0.0248207	0.6244865	1.0053513	0.7875934	0.8062616	0.5078311	0.0569175	1.0323472	0.1092927	0.8518615
