"Time"	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W

0	0.8190338	1.0741596	1.0152795	0.1013421	0.1580392	0.2340134	1.0185242	1.0853098	0.0908801	1.0718575
50	0.7237971	0.9231005	0.8895024	0.3147064	0.1464480	0.1444812	1.0466203	1.0355659	0.0771507	1.0250851
100	0.8417959	0.9080244	0.2666710	0.7432072	0.2420308	0.0679867	0.9361008	1.0183809	0.0803466	0.8894672
150	0.7487142	1.0006914	0.0884484	0.8461321	0.4396259	0.0394272	0.9517712	1.0176431	0.0669699	0.9801903
200	0.7825323	0.9743856	0.0312124	0.9590549	0.5755432	0.0272909	0.8527943	0.9985619	0.0906353	1.0262086
250	0.8592427	1.0356900	0.0239714	0.9918157	0.7310210	0.0183797	0.9260534	0.9227372	0.0994439	0.9661372
300	0.8491877	1.0131751	0.0070717	0.9003249	0.8422291	0.0281873	0.9669651	1.0516180	0.0960277	1.0572807
350	0.8471782	1.0273517	0.0104158	1.0031238	0.8517633	0.0329606	0.9149781	1.0245050	0.1201827	0.9398463
400	0.9026289	1.0795437	0.0074681	1.0127175	0.8913095	0.0261238	0.9882221	1.0117083	0.0920703	0.9695000
450	0.9500540	0.9148944	0.0279732	0.9015552	0.8127163	0.0112319	1.0166910	0.9280426	0.0953111	1.0441448
500	0.9228889	0.9544921	0.0163540	0.9587826	0.7254928	0.0112008	1.1650883	0.9423273	0.1275559	0.9526733
550	0.8757924	1.0358849	0.0061712	0.8304029	0.7611881	0.0785668	1.0963007	0.9387353	0.0917901	0.8882091
600	0.8063424	1.0555641	0.0473440	0.6312717	0.7696543	0.1208648	1.0010047	0.9324845	0.1415898	0.9867864
650	0.8496589	1.0429049	0.0421658	0.5265564	0.5989939	0.1813184	0.9883566	1.0192931	0.1596615	1.0396563
700	0.8464124	1.1626870	0.1378281	0.4059000	0.4790600	0.1721251	0.9943153	0.9288637	0.0724982	1.0218504
750	0.7710236	1.0198672	0.2767802	0.3296025	0.4473057	0.1863959	0.9598926	1.0134303	0.0898205	0.9062414
800	0.7561487	1.0385823	0.5663474	0.2146187	0.3861189	0.2192832	1.0070580	1.0005027	0.0994448	1.0337996
850	0.8049244	1.0098906	0.8938277	0.1500828	0.3135027	0.2507128	1.1063312	1.0792656	0.1148657	1.0388887
900	0.7484546	1.0074285	0.8432044	0.1092539	0.2740350	0.2182658	1.0613164	1.0118430	0.0858929	1.0849942
950	0.7407942	0.9713557	0.8815455	0.0841716	0.1873392	0.1918508	1.0748756	1.0230537	0.1080622	1.0939968
1000	0.7476352	1.0413225	0.8668002	0.0867061	0.1718709	0.2043835	1.2064100	0.9604279	0.0942029	0.9511017

0	0.8190338	1.0741596	1.0152795	0.1013421	0.1580392	0.2340134	1.0185242	1.0853098	0.0908801	1.0718575
50	0.7143287	0.9555394	0.4667363	0.1770780	0.1256560	0.1824228	0.9361470	1.0798467	0.1132830	0.5885770
100	0.7433423	0.9545184	0.2687174	0.2629337	0.1520159	0.1969078	0.9140205	1.0244487	0.2063443	0.3101957
150	0.7354753	0.9449862	0.1961304	0.3284723	0.1859941	0.2501119	0.9069817	0.9964943	0.2408288	0.1448698
200	0.6908473	1.0125783	0.0921595	0.3389184	0.2344718	0.2649636	0.9539515	0.9761903	0.4633559	0.1479181
250	0.8285064	1.0549858	0.0983664	0.4289287	0.2249711	0.2295667	0.8841333	1.0271134	0.5085202	0.1436499
300	0.7085910	1.0094586	0.0832943	0.3817051	0.2060598	0.2650122	1.0253141	0.9945046	0.4657465	0.0965969
350	0.6548043	1.0246250	0.0600255	0.3703857	0.2377224	0.1950865	0.9247530	1.0383564	0.5665688	0.1249190
400	0.6220045	1.0277267	0.0644901	0.3503750	0.2965226	0.1875976	0.9365648	0.9610637	0.6107986	0.1147295
450	0.7269802	0.8844930	0.0986064	0.3238421	0.2844239	0.1705582	0.9309540	0.8930252	0.6993504	0.0836862
500	0.6688704	0.7811762	0.1303812	0.3139134	0.2761615	0.2290377	0.9464969	0.9605960	0.5999918	0.0751388
550	0.6855236	0.9785053	0.3833693	0.2620738	0.2899386	0.2031109	0.9864675	0.9958877	0.4917373	0.4225039
600	0.6563143	0.9515475	0.7503086	0.1654106	0.2712981	0.1428545	1.0105681	0.9983071	0.2807189	0.7855794
650	0.6879695	0.9984795	0.9040301	0.1313202	0.2317076	0.1664216	1.0051807	0.9478227	0.1722156	1.0203236
700	0.7501246	0.9885620	0.9075222	0.0970422	0.2103891	0.2330592	0.8804809	1.0920719	0.0883379	0.9933426
750	0.7822038	0.8386660	1.0445918	0.0878079	0.1736444	0.2065051	0.9873127	1.0281181	0.1193883	0.8997359
800	0.7161082	0.9656818	1.0583872	0.0997236	0.1898586	0.2048315	0.9223204	1.0408779	0.0988292	0.8643692
850	0.6380865	1.0526222	1.0559888	0.0823394	0.1608899	0.2469062	0.9486847	1.0136931	0.1414065	0.9738348
900	0.6330027	1.0228596	1.0594215	0.0950645	0.1089676	0.2506125	0.9644267	0.9743310	0.1112350	1.0612629
950	0.6341561	1.0190997	0.9521638	0.0700546	0.1053866	0.2293100	0.9928267	1.1026658	0.0805799	1.0547430
1000	0.6735315	1.0853819	0.8889393	0.0804984	0.0763248	0.1862438	1.0188984	1.0079773	0.0844596	1.0441057

0	0.8190338	1.0741596	1.0152795	0.1013421	0.1580392	0.2340134	1.0185242	1.0853098	0.0908801	1.0718575
50	0.7307345	0.9342888	1.0129460	0.1151248	0.1631579	0.1001138	1.0403526	1.0814828	0.0711914	0.9199597
100	0.7011549	0.9583544	0.9711544	0.1142533	0.2571604	0.0476452	0.9843061	1.0191268	0.0341565	0.9919275
150	0.6756432	0.9689686	0.9746559	0.1293457	0.3781801	0.0251763	0.9542868	1.0429246	0.0196960	0.9824678
200	0.7084360	0.9556094	1.0205012	0.1500005	0.4712302	0.0159520	0.9967619	1.0404428	0.0059906	0.9231643
250	0.6641499	0.9220703	0.8459061	0.2197805	0.5495361	0.0251712	1.0539301	1.1376937	0.0081229	0.9485587
300	0.6923754	0.9076510	0.6782603	0.2872750	0.5872633	0.0187771	1.0484293	1.0445252	0.0046357	0.9815447
350	0.6788351	1.0614201	0.4823558	0.3321881	0.6527607	0.0075296	0.8855672	0.9863685	0.0006366	1.0519819
400	0.7238483	0.9487348	0.4088455	0.3321023	0.6122530	0.0287189	1.0218750	1.0470046	0.0007072	1.0007137
450	0.7162451	1.0214743	0.3772217	0.3371113	0.6588786	0.0268001	1.0577034	1.1379112	0.0005033	0.9507679
500	0.7253855	1.0192361	0.3312050	0.4126540	0.7001950	0.0256353	1.0161689	1.0539795	0.0000000	0.9713801
550	0.6641369	0.9613934	0.2135097	0.4349410	0.6966481	0.0875791	1.0092533	1.0644376	0.0428190	0.9133022
600	0.7275318	0.9539051	0.1991657	0.4135309	0.6122733	0.1835752	0.9693260	0.9455974	0.1066810	0.9450503
650	0.6907577	0.9930731	0.2039919	0.3667134	0.4383528	0.2153066	0.9647524	0.9017249	0.1125048	0.9636542
700	0.7753782	1.0268695	0.4151559	0.2694121	0.3685077	0.1967654	0.9828402	0.9377018	0.1360584	0.8543333
750	0.6967906	1.0095625	0.5522571	0.2074165	0.3476071	0.2398552	1.0157321	1.0075532	0.1092824	0.9212841
800	0.7520336	0.8097233	0.7669985	0.1391081	0.2913761	0.2119569	1.0679816	1.0391038	0.1452078	0.9800798
850	0.6544754	0.8667336	1.0034511	0.0966141	0.2357397	0.1651702	1.0033543	1.0116495	0.1090403	0.9238075
900	0.7247677	1.0138051	0.9891426	0.0753499	0.2518208	0.1974390	1.0177976	0.9186252	0.1399807	0.9179553
950	0.7512640	0.9899100	0.9091823	0.0904922	0.1829119	0.2509894	0.9967489	1.0231280	0.1249850	1.0810037
1000	0.7131090	0.9921456	0.9008710	0.0802265	0.1586896	0.2394139	1.0446017	0.9802252	0.1275937	1.0444866

0	0.8190338	1.0741596	1.0152795	0.1013421	0.1580392	0.2340134	1.0185242	1.0853098	0.0908801	1.0718575
50	0.7603099	0.9696409	0.3021466	0.0672011	0.1202814	0.1039580	0.9326013	0.8387890	0.1042130	0.8078495
100	0.6525328	0.7143071	0.0495363	0.1001615	0.1599651	0.0463438	0.6604469	0.4748293	0.1754696	0.7920556
150	0.6941481	0.7846161	0.0168755	0.1056138	0.3384519	0.0834284	0.4617755	0.3297929	0.1857173	0.7659145
200	0.6703442	0.8494529	0.0122218	0.1129109	0.3260787	0.1590226	0.4131791	0.2523601	0.1540212	0.8467243
250	0.6001737	0.6886462	0.0405013	0.1000357	0.2281095	0.2094432	0.3666263	0.2415697	0.1099170	0.7328795
300	0.6180940	0.7839135	0.0127885	0.0854332	0.1967210	0.2146072	0.3845405	0.1731885	0.1224753	0.7897635
350	0.6989195	0.7836446	0.0113478	0.0677253	0.1487593	0.2118553	0.3111500	0.1591381	0.1051847	0.8005323
400	0.7370252	0.8819486	0.0231512	0.0583289	0.1113359	0.1973038	0.3784041	0.1680882	0.1095817	0.7787930
450	0.7093049	0.7426908	0.0154662	0.0313841	0.0889928	0.1936370	0.3903398	0.2005630	0.1328897	0.7759484
500	0.6224098	0.8714305	0.0171859	0.0408850	0.0680886	0.1573486	0.3871575	0.1836608	0.1757958	0.8067443
550	0.6989561	0.8387788	0.7434643	0.0462985	0.0869868	0.4267966	0.6540167	0.3115518	0.1204378	0.9075384
600	0.6046019	0.8372797	0.9307633	0.0698937	0.0852820	0.4770439	0.8092387	0.5747738	0.1255631	0.8827630
650	0.6961227	0.9241970	0.9632042	0.0799159	0.0958291	0.4201334	0.9475073	0.7632390	0.1176539	0.9241032
700	0.7833642	0.8980593	1.0389498	0.0464860	0.0851360	0.3110756	0.8632392	0.8065116	0.1158598	0.8707666
750	0.7697543	0.9875640	1.1524553	0.0674843	0.0898136	0.3301360	0.9213814	0.8797473	0.1184667	0.9099483
800	0.6913317	1.0622742	1.0624729	0.0713642	0.0979159	0.3459991	0.9537530	0.9581999	0.1470247	0.9347267
850	0.7258420	1.0192861	0.9559822	0.0789742	0.0979569	0.2800366	1.0563464	1.0399066	0.1458645	0.9786659
900	0.7639772	0.9878255	1.0348273	0.0905367	0.0946469	0.2669743	1.0692615	1.1070405	0.1003342	1.0057080
950	0.6918357	1.1153706	1.0179260	0.0794400	0.0801229	0.1868942	1.0749119	1.0385443	0.1021677	1.0974482
1000	0.7172659	1.0596003	1.0239446	0.0941867	0.0915586	0.1983826	0.9218101	0.9999889	0.1091724	1.0272511

0	0.8190338	1.0741596	1.0152795	0.1013421	0.1580392	0.2340134	1.0185242	1.0853098	0.0908801	1.0718575
