"Time"	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W

0	0.9978390	0.0347071	0.3563432	0.7691979	0.5902811	0.4278926	0.2019649	0.8769502	0.3655743	1.0000000
50	0.9978831	0.0347203	0.3543965	0.8181180	0.5908124	0.4277874	0.2104530	0.6887877	0.4219567	0.6360785
100	0.9979012	0.0345143	0.3425867	0.8741755	0.6031545	0.4250413	0.2681916	0.4755977	0.6847653	0.3039658
150	0.9979340	0.0338732	0.3249955	0.9078311	0.6458536	0.4132391	0.3862782	0.3143073	0.8929401	0.1563732
200	0.9980148	0.0330214	0.3088291	0.9281363	0.7113508	0.3886879	0.5447432	0.2077779	0.9711451	0.1016953
250	0.9981405	0.0322589	0.2965768	0.9425368	0.7766205	0.3548217	0.6966537	0.1503844	0.9928544	0.0830120
300	0.9982819	0.0316964	0.2878467	0.9533295	0.8266192	0.3200371	0.8051494	0.1236936	0.9981195	0.0768999
350	0.9984119	0.0313165	0.2816871	0.9610254	0.8590089	0.2912169	0.8679260	0.1124419	0.9993206	0.0749514
400	0.9985171	0.0310680	0.2773706	0.9661194	0.8778138	0.2706940	0.8995530	0.1080071	0.9995895	0.0743402
450	0.9985955	0.0309067	0.2744073	0.9692733	0.8879361	0.2575627	0.9140848	0.1063399	0.9996504	0.0741504
500	0.9986510	0.0308024	0.2724371	0.9711224	0.8930864	0.2497889	0.9203438	0.1057340	0.9996648	0.0740919
550	0.9986889	0.0307362	0.2717204	0.9529916	0.8955208	0.2455277	0.9104999	0.1774539	0.9901685	0.4379955
600	0.9987140	0.0307120	0.2743058	0.9317731	0.8950360	0.2451331	0.8423109	0.2608809	0.8422647	0.7701027
650	0.9987288	0.0307501	0.2791972	0.9195203	0.8891305	0.2513218	0.7346682	0.3666007	0.6118791	0.9176937
700	0.9987338	0.0308427	0.2840862	0.9129075	0.8756411	0.2655080	0.5987054	0.5215987	0.4669826	0.9723710
750	0.9987293	0.0309585	0.2879269	0.9080593	0.8509692	0.2884260	0.4565146	0.6704798	0.4027775	0.9910541
800	0.9987178	0.0310703	0.2908478	0.9021126	0.8119231	0.3182916	0.3453871	0.7719843	0.3783944	0.9971662
850	0.9987023	0.0311694	0.2935252	0.8927857	0.7615379	0.3495150	0.2756688	0.8282907	0.3698296	0.9991147
900	0.9986855	0.0312650	0.2967946	0.8786249	0.7094646	0.3764179	0.2375022	0.8558219	0.3669525	0.9997260
950	0.9986681	0.0313786	0.3013994	0.8598609	0.6654281	0.3963830	0.2183134	0.8682098	0.3660130	0.9999157
1000	0.9986490	0.0315371	0.3077195	0.8387260	0.6338012	0.4096585	0.2092085	0.8734664	0.3657122	0.9999742

0	0.9978390	0.0347071	0.3563432	0.7691979	0.5902811	0.4278926	0.2019649	0.8769502	0.3655743	1.0000000
50	0.9654277	0.1751528	0.3479010	0.7737542	0.6597839	0.4279571	0.2019648	0.8769502	0.3655743	1.0000000
100	0.7327820	0.2824118	0.3360838	0.7966829	0.7295589	0.4292962	0.2019648	0.8769502	0.3655743	1.0000000
150	0.4607343	0.3264213	0.3237858	0.8257706	0.7642551	0.4330645	0.2019648	0.8769502	0.3655743	1.0000000
200	0.2705275	0.3428504	0.3110499	0.8484992	0.7787210	0.4376109	0.2019648	0.8769502	0.3655743	1.0000000
250	0.1600960	0.3487424	0.2996240	0.8626457	0.7843087	0.4412932	0.2019648	0.8769502	0.3655743	1.0000000
300	0.1017052	0.3507546	0.2908141	0.8703776	0.7863827	0.4437048	0.2019648	0.8769502	0.3655743	1.0000000
350	0.0725248	0.3513838	0.2847909	0.8742627	0.7871354	0.4450965	0.2019648	0.8769502	0.3655743	1.0000000
400	0.0584888	0.3515454	0.2810336	0.8761032	0.7874048	0.4458357	0.2019648	0.8769502	0.3655743	1.0000000
450	0.0519247	0.3515636	0.2788499	0.8769378	0.7875004	0.4462056	0.2019648	0.8769502	0.3655743	1.0000000
500	0.0489222	0.3515473	0.2776497	0.8773038	0.7875342	0.4463822	0.2019648	0.8769502	0.3655743	1.0000000
550	0.0597478	0.2105047	0.2855111	0.8750478	0.7180414	0.4446059	0.2019648	0.8769502	0.3655743	1.0000000
600	0.1704847	0.1026715	0.2960333	0.8596369	0.6482699	0.4385813	0.2019648	0.8769502	0.3655743	1.0000000
650	0.4310300	0.0583194	0.3055753	0.8340743	0.6135748	0.4335322	0.2019648	0.8769502	0.3655743	1.0000000
700	0.6717946	0.0417085	0.3157957	0.8094084	0.5991093	0.4306391	0.2019648	0.8769502	0.3655743	1.0000000
750	0.8274023	0.0357970	0.3264449	0.7915194	0.5935218	0.4291844	0.2019648	0.8769502	0.3655743	1.0000000
800	0.9138055	0.0339381	0.3360875	0.7806108	0.5914478	0.4284909	0.2019648	0.8769502	0.3655743	1.0000000
850	0.9580604	0.0335905	0.3436598	0.7746764	0.5906952	0.4281681	0.2019648	0.8769502	0.3655743	1.0000000
900	0.9796126	0.0337577	0.3489449	0.7716948	0.5904258	0.4280196	0.2019648	0.8769502	0.3655743	1.0000000
950	0.9897388	0.0340422	0.3523044	0.7702811	0.5903301	0.4279517	0.2019648	0.8769502	0.3655743	1.0000000
1000	0.9943601	0.0342966	0.3542877	0.7696394	0.5902963	0.4279208	0.2019648	0.8769502	0.3655743	1.0000000

0	0.9978390	0.0347071	0.3563432	0.7691979	0.5902811	0.4278926	0.2019649	0.8769502	0.3655743	1.0000000
50	0.9978860	0.0343560	0.3191357	0.7691729	0.5902798	0.3147365	0.2019894	0.8744670	0.4258248	0.6146711
100	0.9979556	0.0329133	0.2754703	0.7691674	0.5904796	0.1868101	0.2043022	0.8145774	0.7007488	0.2630222
150	0.9981159	0.0315500	0.2498210	0.7694187	0.5943384	0.1120917	0.2242926	0.6503239	0.9049256	0.1067475
200	0.9983226	0.0307318	0.2371830	0.7718919	0.6136808	0.0741485	0.2826857	0.4903029	0.9762529	0.0488533
250	0.9985107	0.0303158	0.2308875	0.7812676	0.6561906	0.0551286	0.3740755	0.3919840	0.9947324	0.0290709
300	0.9986511	0.0301135	0.2262825	0.7999317	0.7105729	0.0448879	0.4672943	0.3437389	0.9989044	0.0225993
350	0.9987441	0.0300057	0.2208716	0.8238365	0.7597296	0.0388063	0.5373500	0.3229137	0.9997787	0.0205361
400	0.9988020	0.0299321	0.2142567	0.8467204	0.7954596	0.0350004	0.5799183	0.3146242	0.9999539	0.0198889
450	0.9988374	0.0298704	0.2072994	0.8648424	0.8180311	0.0326297	0.6022387	0.3114993	0.9999880	0.0196880
500	0.9988598	0.0298171	0.2010127	0.8774904	0.8309808	0.0312043	0.6127813	0.3103650	0.9999946	0.0196261
550	0.9988749	0.0298046	0.2289087	0.8855719	0.8378972	0.1108979	0.6173939	0.3100331	0.9939460	0.4049360
600	0.9988821	0.0299877	0.2635434	0.8904076	0.8413775	0.2012161	0.6184011	0.3186185	0.8581124	0.7565791
650	0.9988729	0.0303711	0.2832848	0.8931471	0.8426199	0.2540890	0.6029551	0.3829045	0.6242907	0.9128521
700	0.9988418	0.0307830	0.2923818	0.8945061	0.8395156	0.2833510	0.5388263	0.5205470	0.4727683	0.9707457
750	0.9987944	0.0310936	0.2961431	0.8944304	0.8257350	0.3059263	0.4355690	0.6658876	0.4049823	0.9905279
800	0.9987431	0.0312834	0.2977587	0.8918757	0.7960923	0.3305442	0.3399467	0.7684974	0.3791607	0.9969995
