YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
0.6748940	0.2473060	0.8142554	0.2096300	0.5498678	0.3885253	0.4997157	0.7377047	0.0823199	1.0000000
0.4019307	0.1414483	0.7213753	0.3378986	0.3511638	0.4362694	0.4901012	0.9501760	0.1573358	0.4781056
0.3593830	0.1366710	0.8042093	0.3719189	0.2412346	0.3292739	0.5270358	0.9850636	0.0823454	0.9995586
0.4925053	0.2123476	0.9486036	0.2407889	0.5137058	0.8368117	0.6925535	0.9986784	0.0230794	1.0000000
0.5868633	0.3072033	0.8955205	0.0634915	0.5998738	0.3435350	0.4659587	0.9105390	0.0907808	0.8758335
0.3543524	0.1215317	0.8451537	0.3764932	0.3299288	0.4629455	0.5348514	0.9810681	0.0933832	0.8447687
0.4651819	0.6318861	0.8444375	0.2616420	0.4047568	0.1838316	0.4237609	0.9980429	0.0283335	1.0000000
0.5636694	0.4408431	0.9587378	0.2596452	0.3155356	0.3822078	0.5193281	0.6181106	0.0695889	0.6568081
0.4459712	0.3267563	0.9619322	0.2838505	0.2801013	0.0981102	0.3868556	0.9196124	0.0258173	0.9796938
0.4391157	0.1512629	0.9464417	0.2711859	0.3020733	0.1818358	0.3954428	0.9928014	0.0560417	0.8128532
