"Time"	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C

0	0.3602691	0.3939458	0.1412065	0.4080654	1.0177505	0.0924774	0.0592587	0.5770507	0.9319004	0.9304881
50	0.3952339	0.3713267	0.2577149	0.4887344	1.0623582	0.0726895	0.0284667	0.7569902	0.9935806	0.6542093
100	0.4717759	0.5587282	0.4738412	0.4548591	1.0863959	0.0829470	0.0482732	0.8029735	1.0993596	0.4011141
150	0.4489206	0.6739285	0.5882863	0.3964187	1.0137748	0.1453800	0.0657689	0.9110798	1.0992152	0.2260939
200	0.3782984	0.7327028	0.6993594	0.4064472	1.0076311	0.1628899	0.0527858	0.9222396	0.9404767	0.1388941
250	0.4531858	0.8879300	0.6461199	0.3997660	0.9768665	0.2812021	0.0616590	0.8876871	1.0517537	0.0657700
300	0.3491591	0.9226673	0.7235773	0.4097403	0.8640975	0.2879797	0.0621555	0.9341509	1.0276151	0.0377355
350	0.3725856	0.9641797	0.7836769	0.4639494	0.9770856	0.3145584	0.0471044	0.9064949	1.0343134	0.0208416
400	0.4781698	0.9495574	0.7677824	0.4597872	0.8735069	0.3783096	0.0352263	0.8674926	1.0337854	0.0234667
450	0.5537183	0.8730593	0.6800322	0.5711196	0.9079956	0.4379506	0.0392371	0.8560086	1.0100297	0.0080998
500	0.5093140	0.8799006	0.6469915	0.5585663	0.9401452	0.3824910	0.0323564	0.8156136	1.0352048	0.0048347
550	0.4842979	0.7994882	0.6018950	0.6263120	0.8543901	0.3462497	0.0498349	0.7108926	1.0281473	0.0596321
600	0.4579686	0.8666610	0.4137391	0.4883715	0.7807982	0.2742648	0.0389693	0.6411417	0.9098718	0.1384005
650	0.4854509	0.7521346	0.3205279	0.6782450	0.7986419	0.2174244	0.0382005	0.5462421	0.9359760	0.2267096
700	0.5404761	0.7923544	0.3549002	0.6709740	0.8600441	0.1656059	0.0458483	0.5849094	0.9876662	0.2521220
750	0.5861082	0.7201349	0.3477672	0.6415739	0.8859350	0.2035576	0.0598759	0.6107932	0.9101658	0.2725884
800	0.5253856	0.7226827	0.3677084	0.6366655	0.9820991	0.1617295	0.0690639	0.5738032	0.9771043	0.2376047
850	0.5333540	0.6771992	0.3415887	0.5292253	0.9172618	0.1404889	0.0392814	0.5880843	0.9807726	0.3296236
900	0.5629213	0.6123090	0.3163405	0.4592824	0.9811305	0.1071134	0.0318324	0.6063686	1.0098522	0.2990223
950	0.4841098	0.6034002	0.2875711	0.4809454	1.0039158	0.1172670	0.0665449	0.6489726	1.0256108	0.3574835
1000	0.4470848	0.6973324	0.2501089	0.5029463	1.0534491	0.0915563	0.0653342	0.6222811	1.0199098	0.3732629

0	0.3602691	0.3939458	0.1412065	0.4080654	1.0177505	0.0924774	0.0592587	0.5770507	0.9319004	0.9304881
50	0.3415603	0.5085747	0.1731129	0.2703237	0.9411130	0.0625347	0.0478455	0.5290751	0.8341353	0.9206537
100	0.2398120	0.6212160	0.1199379	0.1368422	0.9593850	0.0527954	0.0414649	0.4856752	0.9355404	0.9228469
150	0.1863963	0.6334988	0.1056906	0.0850048	1.0228515	0.0596710	0.0442154	0.5203238	0.9178425	0.9007539
200	0.1056391	0.5958163	0.0826111	0.0351351	1.0511437	0.0420770	0.0477874	0.6242826	0.9020709	1.0289868
250	0.0557355	0.5861796	0.0652160	0.0248462	1.0504471	0.0548179	0.0459095	0.5569088	1.0104607	0.9322161
300	0.0317093	0.6497690	0.0499711	0.0197876	1.1318365	0.0594904	0.0518342	0.5116553	0.9362492	0.9595606
350	0.0220768	0.4938143	0.0270789	0.0194761	0.9619510	0.0429623	0.0438889	0.5970912	0.9651210	1.0925807
400	0.0286773	0.5308928	0.0290115	0.0403695	1.0020943	0.0381454	0.0766134	0.6369436	0.8768926	0.9456045
450	0.0475347	0.5193029	0.0254356	0.0198360	1.0519402	0.0560402	0.0372495	0.5578885	1.0169004	0.9771750
500	0.0203456	0.4954446	0.0143210	0.0581313	1.0888216	0.0553719	0.0516680	0.6302518	1.0403610	0.9257505
550	0.0355062	0.3470362	0.0365755	0.1739503	0.9918105	0.0499175	0.0354034	0.5821069	0.9786385	0.9816385
600	0.0713180	0.1176187	0.0492424	0.3754897	0.8822759	0.0425342	0.0561386	0.5771801	0.9504802	0.9842000
650	0.1916247	0.0961564	0.0743645	0.4764374	1.0051241	0.0314387	0.0623698	0.5815856	1.0537624	0.8803247
700	0.3139108	0.1427884	0.1170743	0.4421943	1.0476147	0.0555174	0.0634923	0.5911683	1.0509976	0.9737316
750	0.3780033	0.2333112	0.1170726	0.4516358	0.9782052	0.0664266	0.0546821	0.6351076	0.9040377	1.0008017
800	0.3862682	0.2465400	0.1282818	0.4598741	0.8843241	0.0645220	0.0514142	0.5613539	0.9770033	0.9524618
850	0.2981531	0.2636313	0.1652333	0.4944547	0.8647591	0.0779125	0.0404594	0.6639850	0.9262770	0.8671067
900	0.3495268	0.2974582	0.1358102	0.4731566	0.9052914	0.0481491	0.0353683	0.5658787	1.0358851	0.8809756
950	0.3750586	0.2821248	0.1580132	0.5532590	0.8738604	0.0530243	0.0694982	0.5467005	0.9516607	0.9762874
1000	0.4184430	0.3267478	0.2108844	0.5513949	0.9379511	0.0478804	0.0544341	0.6179140	1.1103481	0.9642532

0	0.3602691	0.3939458	0.1412065	0.4080654	1.0177505	0.0924774	0.0592587	0.5770507	0.9319004	0.9304881
