YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C
0.1053581	0.9978011	0.2469176	0.3942163	0.0591139	0.3893759	0.2357250	0.6036785	0.9537433	1.0000000
0.6004840	0.4989010	0.2469176	0.3942163	0.2114153	0.3893759	0.2357250	0.6036785	0.9537433	1.0000000
0.2200803	0.9691103	0.1234634	0.3942163	0.0690446	0.3893759	0.2357250	0.6036785	0.9537433	1.0000000
0.2098953	0.9998933	0.5455905	0.1971124	0.0676878	0.3893759	0.2357250	0.6036785	0.9537433	1.0000000
0.2105629	0.9978012	0.2469179	0.3942163	0.0339101	0.3893759	0.2357250	0.6036785	0.9537433	1.0000000
0.2098958	0.9998774	0.5240465	0.2060469	0.0405819	0.1946879	0.2357250	0.6036785	0.9537433	1.0000000
0.2186708	0.9732743	0.1282999	0.6614828	0.3121229	0.8490384	0.1178625	0.6036785	0.9537433	1.0000000
0.2101548	0.9991112	0.3135210	0.3270892	0.0521968	0.3144652	0.2850139	0.3018393	0.9537433	1.0000000
0.2106629	0.9974386	0.2367487	0.4073296	0.0720611	0.4051173	0.2286758	0.9913558	0.4768717	1.0000000
0.2106334	0.9975347	0.2390068	0.4045171	0.0711063	0.4017781	0.2301096	0.8386964	0.7793585	0.5000001
