"Time"	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C

0	0.0736332	0.5430397	0.8062922	0.5889226	0.8741058	0.7326870	0.0632698	0.7150670	0.7761414	0.7802717
50	0.0314187	0.6687601	0.7813861	0.6802977	0.6755661	0.6773783	0.0415631	0.6021842	0.8008191	0.6908593
100	0.0032806	0.5268259	0.7416545	0.7177042	0.6690767	0.7592226	0.1184609	0.4176754	0.6832648	0.7578656
150	0.0000000	0.6728869	0.7597984	0.7349411	0.8048428	0.6129266	0.1380173	0.3790174	0.7323503	0.6525855
200	0.0003410	0.4437834	0.8071488	0.6658935	0.6971182	0.6632678	0.1082562	0.2663602	0.7951446	0.6993715
250	0.0001112	0.4437665	0.6489134	0.7561350	0.7092099	0.6915599	0.2150583	0.3032560	0.7111879	0.6402107
300	0.0007662	0.5858555	0.7719804	0.7424728	0.6299093	0.6944107	0.1731371	0.2963076	0.7764140	0.6455276
350	0.0000863	0.4568109	0.8369843	0.7907271	0.5967219	0.6163076	0.2545018	0.2924347	0.7765566	0.6326723
400	0.0004574	0.5240899	0.6298953	0.6675598	0.5431646	0.6523075	0.2477918	0.2676854	0.7174162	0.7682888
450	0.0008500	0.5184574	0.7376402	0.7438649	0.6874354	0.7465378	0.2759878	0.2619171	0.7439414	0.7119672
500	0.0000010	0.6108015	0.7917082	0.7652916	0.6940632	0.8260514	0.2014730	0.3344662	0.7697251	0.6996675
550	0.0593308	0.5487912	0.7397568	0.6765046	0.7324861	0.7080394	0.1279064	0.5162637	0.7055860	0.7784203
600	0.0914366	0.5228294	0.8660734	0.7568392	0.7028596	0.6626872	0.1678377	0.5960783	0.6788662	0.7700509
650	0.0735616	0.5198277	0.7899414	0.7810995	0.5510470	0.6893977	0.0523534	0.5836492	0.6984194	0.6320325
700	0.0914554	0.5423617	0.6102121	0.5967146	0.6169539	0.6903755	0.0539612	0.6246868	0.7389892	0.9848265
750	0.1429619	0.5538283	0.6995610	0.7295836	0.7973506	0.7574678	0.0561599	0.7095441	0.7562251	0.8535700
800	0.1297116	0.4855021	0.6233141	0.7832128	0.6587176	0.7648422	0.0392091	0.7932414	0.7316019	0.6471688
850	0.0877640	0.4400244	0.6660314	0.6582816	0.6993850	0.6757417	0.0505315	0.7316218	0.7111325	0.6623685
900	0.1210597	0.4235964	0.6046754	0.8744084	0.8071437	0.7814693	0.0363821	0.6017583	0.7801939	0.6968924
950	0.1081792	0.5975346	0.6260611	0.7609147	0.7744890	0.6782576	0.0262377	0.7937649	0.6517004	0.8896858
1000	0.0812880	0.4678221	0.5406812	0.7440848	0.6309239	0.6924217	0.0310622	0.7323481	0.9086488	0.6591284

0	0.0801721	0.5925432	0.7600521	0.7385109	0.8401875	0.7561118	0.0467823	0.7531193	0.6314164	0.8030038
50	0.0686365	0.4473048	0.9216014	0.7820948	0.7458587	0.5888668	0.0323355	0.7517238	0.7158963	0.7705703
100	0.1345601	0.3808928	0.6913077	0.8809218	0.7714538	0.4425513	0.0514397	0.6151204	0.7541436	0.7768457
150	0.1124878	0.4704627	0.6065496	0.8042433	0.6388791	0.4141310	0.0370007	0.6663672	0.7102448	0.6412188
200	0.1290151	0.4499833	0.7545592	0.7025568	0.6530572	0.4278079	0.0461094	0.7394178	0.7075909	0.7732499
250	0.1092289	0.4927730	0.8338097	0.5964963	0.7926538	0.3184898	0.0482788	0.7191757	0.6358035	0.6189084
300	0.1075562	0.4951349	0.7349264	0.6620041	0.7418147	0.2217550	0.0672829	0.6426361	0.8377928	0.9652310
350	0.1080598	0.4050331	0.7028242	0.6234991	0.7207300	0.3047812	0.0560825	0.6386956	0.7471701	0.8244298
400	0.0741335	0.4994734	0.6438665	0.6128914	0.5992485	0.2304600	0.0232397	0.6938301	0.7018190	0.9021951
450	0.1457670	0.4714301	0.6691303	0.6453126	0.7816784	0.3264741	0.0570362	0.7318934	0.6264855	0.6949673
500	0.1337061	0.4717594	0.7507765	0.8284686	0.7591703	0.2925413	0.0485819	0.8783685	0.7285935	0.7159318
550	0.1032085	0.4885451	0.7721357	0.7007716	0.8213821	0.4529822	0.0380799	0.7781784	0.7454265	0.7534498
600	0.1338552	0.5045144	0.7975829	0.7429842	0.7382532	0.5138109	0.0624108	0.7336665	0.7108053	0.7534389
650	0.0547896	0.5000572	0.8245767	0.6921859	0.7640893	0.6256328	0.0450577	0.6918927	0.6417773	0.6073630
700	0.1160059	0.5310935	0.7901387	0.7060859	0.6660827	0.6091557	0.0616333	0.7978713	0.6777023	0.6819574
750	0.1082190	0.6328100	0.7306075	0.7566503	0.8842939	0.7772237	0.0264489	0.7297581	0.5672409	0.7104535
800	0.0973523	0.4704072	0.6717138	0.6851339	0.7557450	0.6833693	0.0613623	0.6504429	0.6091887	0.7190786
850	0.0925243	0.5483151	0.7215423	0.6617625	0.8113078	0.7182794	0.0519704	0.6662107	0.6529974	0.6115765
900	0.1018288	0.5210196	0.7500069	0.8113910	0.6411939	0.6733619	0.0270795	0.7155326	0.5500396	0.7111876
950	0.1270395	0.4927638	0.6729009	0.7564311	0.7285149	0.6245614	0.0709642	0.6983880	0.6749750	0.6820585
1000	0.1315504	0.6092062	0.6474271	0.7644385	0.6152388	0.6603692	0.0324731	0.7140414	0.7015623	0.7670542

0	0.1016996	0.5697011	0.8545402	0.6627745	0.9636126	0.8571023	0.0473888	0.9505302	0.7145520	0.7180878
50	0.0974838	0.6809316	0.6301031	0.7189264	0.5941052	0.6426550	0.0456730	0.5790372	0.6487178	0.6341358
100	0.0510155	0.5406983	0.7074599	0.8274646	0.3945863	0.6679520	0.0399810	0.3446967	0.7172079	0.8068507
150	0.0528771	0.5758793	0.5256870	0.5876082	0.3257822	0.8183367	0.0858179	0.2997720	0.8136850	0.7916389
200	0.0863049	0.6505474	0.6563129	0.5201292	0.2028680	0.8476558	0.0830874	0.2025130	0.7457743	0.8478441
250	0.0540149	0.5108024	0.7614567	0.6708716	0.2393348	0.7242006	0.1275308	0.2113460	0.6018252	0.7796104
300	0.0883254	0.6052864	0.7855485	0.6214696	0.2099949	0.8058078	0.1503213	0.2111487	0.6435739	0.6444686
350	0.0582208	0.5227667	0.7337990	0.6231652	0.2318117	0.9638965	0.1800483	0.1777642	0.6159264	0.6616531
400	0.0746888	0.7547179	0.6548464	0.5136771	0.1832099	0.6211255	0.1714997	0.1551571	0.6429147	0.6778049
450	0.0431817	0.5559859	0.7253715	0.5444851	0.1726109	0.6287642	0.2259724	0.1955968	0.5484265	0.5559221
500	0.1120251	0.4827188	0.7886114	0.4816125	0.2198947	0.5362125	0.1745160	0.1874323	0.7497669	0.6201795
550	0.0527313	0.5310182	0.6330750	0.7072594	0.3370431	0.6857757	0.2010903	0.4406526	0.6100700	0.6905582
600	0.1096236	0.3729160	0.8341217	0.6889006	0.5618425	0.8022332	0.2245291	0.5260063	0.6363725	0.6458853
650	0.1084114	0.4862145	0.6615016	0.5684009	0.6368373	0.7695946	0.1014192	0.7091995	0.7544420	0.6661576
700	0.1998398	0.4458209	0.7589438	0.6302679	0.6203684	0.6685321	0.0366975	0.7787613	0.6569339	0.7569710
750	0.1143892	0.5597028	0.8179523	0.5996793	0.8047220	0.7005519	0.0200435	0.8309489	0.8301646	0.7698175
800	0.0767785	0.6612209	0.7019965	0.7620390	0.7800567	0.7722889	0.0338942	0.8065010	0.6762870	0.7671873
850	0.0841300	0.5442300	0.8075539	0.6919806	0.7572687	0.6823866	0.0570729	0.8681024	0.7957866	0.8302850
900	0.0793778	0.4911339	0.7525775	0.5627251	0.6827902	0.8550565	0.0180793	0.5944160	0.6126000	0.6910823
950	0.0785596	0.5903820	0.5988950	0.5775963	0.8273907	0.7464149	0.0610808	0.6015380	0.6822675	0.6669301
1000	0.1137645	0.4330061	0.7325300	0.6075033	0.7747136	0.6748209	0.1042122	0.6667638	0.6721462	0.6332225

0	0.0603487	0.5032125	0.7658140	0.7284399	0.7756523	0.7255711	0.1320291	0.6282462	0.6553928	0.7148422
50	0.0120386	0.6332527	0.6489415	0.8282020	0.6169091	0.5711395	0.0592329	0.5941057	0.7254767	0.7317271
100	0.0043701	0.5880551	0.6171360	0.7953922	0.4636919	0.6543056	0.0489090	0.3213012	0.8186401	0.7565757
150	0.0001730	0.6708441	0.6425184	0.6885154	0.4832161	0.6821370	0.1787488	0.2167827	0.6651568	0.6917331
200	0.0000216	0.6966458	0.7336673	0.7698727	0.3835085	0.6904392	0.1930985	0.1864819	0.7749077	0.6793125
250	0.0015651	0.6490409	0.8171751	0.6310617	0.4776255	0.8109463	0.3331402	0.2675630	0.5806584	0.8101567
300	0.0000000	0.6402826	0.7515569	0.6966319	0.4205194	0.7897894	0.3915859	0.2137626	0.7166177	0.6709989
350	0.0011636	0.6732605	0.7176402	0.6340529	0.6002114	0.6837415	0.2980512	0.2759193	0.7452316	0.6446980
400	0.0000690	0.5428718	0.6917906	0.6993921	0.5193709	0.7117909	0.2715369	0.2618962	0.7467008	0.6137579
450	0.0000000	0.7724154	0.8624703	0.5239982	0.5403232	0.7533911	0.3493455	0.2096295	0.5178017	0.6741044
500	0.0037543	0.7827673	0.7232439	0.6279186	0.5679443	0.6816856	0.4141567	0.1795499	0.5370183	0.6639778
550	0.0244098	0.6174158	0.7781370	0.6511851	0.4912744	0.5767499	0.2048098	0.4211885	0.6354405	0.6581372
600	0.0668529	0.5185275	0.7187244	0.7695249	0.6535978	0.7467669	0.1493362	0.6948962	0.7169063	0.6466645
650	0.0939188	0.4319709	0.7237711	0.6428487	0.7270440	0.6504125	0.1131036	0.6785626	0.7379477	0.7786521
700	0.0884659	0.5716826	0.6352082	0.7832580	0.8522804	0.6280036	0.0640095	0.6762717	0.8825541	0.8281314
750	0.1010182	0.5813835	0.6881567	0.7428397	0.7043467	0.7288418	0.0518717	0.7152275	0.7289188	0.8693947
800	0.0496689	0.4960003	0.6656021	0.7554910	0.7112749	0.6694312	0.0582155	0.6632932	0.7105284	0.7195949
850	0.0714367	0.5392526	0.6820829	0.6563604	0.8247743	0.6310690	0.0474633	0.7771634	0.7604362	0.6610658
900	0.0734868	0.5213560	0.7886629	0.7194423	0.7246307	0.6745286	0.0490023	0.7182304	0.6504128	0.6932940
950	0.0760190	0.5027683	0.6779662	0.7782908	0.7076054	0.7724160	0.0577004	0.5842544	0.7192930	0.7352948
1000	0.0864837	0.4733527	0.6730762	0.8593152	0.6259540	0.6889042	0.0494654	0.6813451	0.7176754	0.7826716

0	0.1020916	0.5369162	0.7251886	0.6662552	0.8387581	0.7548715	0.0817579	0.6766774	0.7140365	0.6938642
50	0.0663248	0.4693552	0.7751660	0.7637477	0.5455329	0.9422762	0.0439121	0.6614376	0.6512823	0.6917596
100	0.0833680	0.5670401	0.7556298	0.6964377	0.5663198	0.6339591	0.1018536	0.5445284	0.5832779	0.7499873
150	0.0674102	0.6123225	0.7269791	0.6717568	0.3367870	0.7082362	0.0646818	0.4854166	0.7126696	0.5884580
200	0.0876014	0.5923314	0.7887674	0.6070667	0.2887730	0.8882962	0.0722183	0.5134975	0.7635737	0.6622997
250	0.0380835	0.5409004	0.7454138	0.6774792	0.2178653	0.7687729	0.0445841	0.5006408	0.7307398	0.8355950
300	0.1025496	0.5416529	0.7268337	0.6335658	0.2777015	0.9162734	0.0450363	0.5727920	0.7272072	0.7905209
350	0.1199698	0.5452783	0.9027890	0.7765202	0.2902137	0.6324106	0.0239703	0.4675387	0.7328281	0.7737034
400	0.0936137	0.4375847	0.6344279	0.6079278	0.2845292	0.6908442	0.0515901	0.5333526	0.7414160	0.6395151
450	0.1308758	0.4985978	0.6751053	0.5271907	0.2476844	0.7048193	0.0537408	0.4579867	0.7706507	0.7702896
500	0.1886441	0.5420601	0.6268481	0.5819589	0.2596098	0.7256716	0.0394563	0.4556147	0.7781841	0.7409076
550	0.1407493	0.5058261	0.6984245	0.5627587	0.4796387	0.9071365	0.0737911	0.5329565	0.6839548	0.7124745
600	0.1197169	0.5216183	0.6942148	0.5943210	0.5244390	0.7045798	0.0351318	0.6269109	0.7035572	0.8120210
650	0.0757001	0.4829913	0.5902216	0.5782061	0.6893299	0.7317338	0.0288366	0.5878129	0.7468703	0.7253603
700	0.0875699	0.4442661	0.6525083	0.5847608	0.6900276	0.6772652	0.0621982	0.6555585	0.6435626	0.7675001
750	0.1071249	0.6991577	0.6933849	0.6745152	0.7629373	0.7608268	0.0341801	0.5441916	0.7008194	0.7976770
800	0.1098202	0.5774801	0.6729853	0.6457194	0.7223613	0.8086963	0.0498750	0.6160640	0.8199412	0.7052328
850	0.0736599	0.4698885	0.7024781	0.7853671	0.6543161	0.7454251	0.0186377	0.6816805	0.9795106	0.7046666
900	0.0972901	0.5887164	0.7698742	0.6244430	0.6616622	0.6445689	0.0571020	0.6361162	0.7462875	0.5751735
950	0.0582956	0.5211680	0.4957866	0.7830590	0.6786381	0.8598469	0.0237372	0.7230577	0.7243156	0.7466593
1000	0.1142983	0.4922970	0.6679915	0.6604161	0.8180395	0.7258407	0.0246704	0.8286587	0.6633933	0.8016717

0	0.0714087	0.6211185	0.6936160	0.5788400	0.8027958	0.7051843	0.0853003	0.8213992	0.6710276	0.6997215
