YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W
0.3172922	0.7216978	0.8318987	0.9006727	0.0257179	0.0799463	0.6335447	0.4035108	0.6594966	0.6829833
0.7287556	0.4205047	0.6435081	0.7506219	0.0356172	0.1107284	0.5740656	0.2110807	0.7030987	0.7536607
0.8355075	0.5691064	0.4538683	0.7341339	0.0478853	0.1061371	0.5630023	0.2210736	0.7460948	0.8337297
0.6203627	0.7430289	0.5599975	0.3877989	0.0682807	0.0972922	0.6945784	0.2390305	0.7427241	0.8255660
0.6859362	0.7636207	0.6282765	0.7882098	0.0103907	0.1117598	0.5513527	0.2635634	0.7120050	0.7825017
0.7299475	0.6856051	0.7150021	0.7448872	0.0219684	0.0377347	0.6403603	0.2718294	0.7263970	0.6785188
0.6652293	0.7362400	0.5742438	0.9697721	0.1112105	0.2644327	0.3089195	0.2650337	0.8854726	0.8374827
0.6082680	0.6707375	0.6661100	0.5700418	0.0455995	0.1460797	0.6810515	0.1425580	0.5830499	0.7436804
0.6644202	0.5891054	0.6503202	0.7548239	0.0378495	0.1138756	0.4329837	0.2926188	0.2565345	0.7931547
0.6209712	0.7656758	0.8139976	0.7199314	0.0238142	0.1663895	0.7764435	0.2509320	0.6983537	0.4087297
