YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.1423544	0.4684287	0.8659791	0.7189945	0.6591980	0.4449765	0.7397603	0.4218685	0.4529396	0.5578326
0.1792124	0.2888719	0.7147075	0.6264771	0.7131059	0.4467671	0.8576133	0.5584937	0.3321524	0.4862428
0.3594150	0.5016708	0.3622674	0.5353111	0.6263381	0.4541287	0.6284785	0.5652552	0.4330266	0.4633527
0.3589829	0.3812804	0.4654132	0.2468382	0.6812818	0.7297804	0.5847543	0.4086556	0.4303884	0.5577594
0.3095295	0.4811000	0.7695343	0.5669284	0.2636066	0.4071316	0.6282912	0.4816823	0.4109521	0.4680923
0.3177832	0.3142600	0.7680425	0.7285921	0.6993709	0.2235539	0.7300243	0.4131120	0.3051086	0.6691414
0.3221105	0.4993919	0.4084063	0.4481647	0.7283519	0.4533343	0.3434568	0.4860490	0.3307163	0.4879706
0.3038521	0.4238977	0.4988978	0.5408452	0.6444238	0.4989895	0.6548038	0.1524147	0.3903729	0.6313479
0.2052596	0.3622305	0.5759592	0.5780003	0.7755898	0.4841613	0.5514673	0.1636715	0.2953325	0.6977175
0.2206161	0.2718657	0.5461746	0.6593652	0.6736807	0.4642675	0.5356223	0.1025783	0.2050444	0.4425063
