YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.4094307	1.1116885	0.0925705	0.7234708	0.4230815	0.6585236	0.5789762	0.8945545	0.7872420	0.9920901
0.4237603	0.4279149	0.1395109	0.8810869	0.3563441	0.8782533	0.4315197	0.9679755	0.6731950	1.0670152
0.7883015	1.0883452	0.0357783	0.6039210	0.6972696	0.2025536	0.7171907	0.9135338	1.0148223	1.1526096
0.6887063	0.9403202	0.0658250	0.3052836	0.7059626	0.2750134	0.7758319	1.0100888	0.9777322	1.0716206
0.7808971	1.0507550	0.0817299	0.9827817	0.1696697	0.7819966	0.3569645	1.0112483	0.8259878	1.0899446
0.7740221	1.0423451	0.0750221	0.5100703	0.8210374	0.1547273	0.7192287	0.9802983	1.1297385	1.0443561
0.8463889	1.0896014	0.0655587	0.9631260	0.2741229	0.9112988	0.2796662	0.8517451	0.7238845	1.0415487
0.8893373	1.0632266	0.0613792	0.4749865	0.9237669	0.1089556	0.7987333	0.5017418	1.0022676	0.9435939
0.7933645	1.0035953	0.0782397	0.4395379	0.8455133	0.1102216	0.7612547	0.7694318	0.4976907	1.1155017
0.7028657	0.9991601	0.0908625	0.6971654	0.5214636	0.3165408	0.5780110	0.9471190	1.0921271	0.4552460
