YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.2084145	0.3688312	0.0211791	0.0592312	0.9995993	0.7692996	0.7518791	0.5749469	0.9982314	1.0000000
0.7251556	0.3629820	0.2345028	0.0592609	0.9306355	0.3085380	0.2992279	0.5448285	0.9973456	1.0000000
0.0895353	0.6004025	0.0022837	0.0149864	0.8616213	0.2345967	0.2535134	0.5413313	0.9431564	0.9187464
0.0214420	0.3170887	0.0741170	0.0044652	0.9758024	0.8448864	0.8165492	0.7074284	0.9962914	0.9552718
0.0946770	0.3545699	0.0354303	0.0000381	0.9994839	0.7786705	0.7719544	0.5718500	0.9977296	1.0000000
0.2380641	0.6079990	0.2385427	0.0593267	0.8508789	0.2465923	0.2609634	0.5448150	0.9973167	1.0000000
0.1913168	0.0000291	0.0211791	0.0592312	0.9997229	0.8506147	0.8922370	0.6108491	0.9967161	1.0000000
0.1522055	0.4152233	0.0211840	0.0592398	0.9756278	0.7776320	0.7696693	0.6093232	0.9970721	1.0000000
0.1102125	0.4467963	0.3150387	0.0000874	0.9072221	0.2819890	0.2650288	0.5441716	0.9959470	0.8654318
0.3355450	0.8404745	0.3053811	0.0463648	0.9978542	0.9377709	0.8374675	0.5678105	0.9950058	0.7351671
