"Time"	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W

0	0.2343796	0.4599559	0.7574091	1.0496649	0.5708893	0.9587717	0.0484947	0.1258256	0.0515794	1.0620511
50	0.3103343	0.2955599	0.6710745	1.0669957	0.7280224	0.7589122	0.0459645	0.1061230	0.0644354	0.3383891
100	0.4642131	0.2527282	0.7156432	1.0333509	0.6848332	0.6758373	0.0510171	0.1059346	0.3292833	0.1587679
150	0.5992439	0.2706058	0.6775312	1.0561112	0.5972018	0.6324540	0.0452127	0.2265618	0.7582033	0.1191397
200	0.5216215	0.2800171	0.6668490	0.9936230	0.5266535	0.6762523	0.1344530	0.4330712	0.8912198	0.1613357
250	0.6215035	0.2952567	0.7621728	1.0379675	0.5596322	0.5525658	0.3235440	0.5359838	0.9402429	0.1701602
300	0.6469562	0.2823196	0.6907949	1.0080179	0.5104402	0.3065615	0.4978528	0.6045714	0.9511116	0.1099804
350	0.5997377	0.2417881	0.7352044	1.0012580	0.3833499	0.1005460	0.5439519	0.6036747	0.8770140	0.1058035
400	0.5571794	0.2504845	0.6347890	1.0823352	0.2487637	0.0527427	0.5462929	0.6355342	0.9405321	0.0853684
450	0.6454168	0.2915080	0.6501105	0.9320295	0.2874534	0.0181816	0.5698151	0.6553587	0.9795159	0.1164675
500	0.6256649	0.2798180	0.5826617	0.9135380	0.2610036	0.0132153	0.6629655	0.6264629	0.9483242	0.1771802
550	0.5172921	0.4791193	0.6347744	0.9892352	0.0822309	0.0463258	0.6040904	0.6393331	0.8211944	0.8721940
600	0.3383832	0.4750453	0.6680691	0.9767504	0.0289506	0.0315019	0.6896097	0.6320304	0.3180159	0.9815146
650	0.2699389	0.5222780	0.6192987	0.9758513	0.0229528	0.0420061	0.6879066	0.6063718	0.1558947	1.0576901
700	0.2059104	0.5401233	0.7416107	1.1315718	0.0260880	0.0295093	0.5406758	0.4459445	0.0695332	1.0454965
750	0.1723885	0.4805779	0.7018820	1.1121582	0.0142524	0.0484369	0.3874198	0.2392093	0.0515222	1.0400521
800	0.2027167	0.4482057	0.6951577	1.0410633	0.0308907	0.1057859	0.2254640	0.1551010	0.0453832	1.0241131
850	0.1967430	0.4467690	0.6399733	1.0435322	0.0432995	0.2893345	0.1006871	0.1559828	0.0429151	1.0116080
900	0.1952929	0.4222449	0.6370718	1.0273074	0.1043495	0.5934237	0.0929013	0.1666920	0.0345922	0.9705401
950	0.2382302	0.4198431	0.6732115	0.9723271	0.2701986	0.7875815	0.0568048	0.1425258	0.0336291	1.0042399
1000	0.2051317	0.5281820	0.6976254	1.0972138	0.4091409	0.9035460	0.0627154	0.1387501	0.0585556	1.0205836

0	0.2343796	0.4599559	0.7574091	1.0496649	0.5708893	0.9587717	0.0484947	0.1258256	0.0515794	1.0620511
50	0.1541132	0.4834445	0.7891439	1.0852483	0.7364840	0.9567001	0.0714371	0.1033789	0.0589681	0.8778407
100	0.1390932	0.4171435	0.7100990	1.0275352	0.7410340	0.9597939	0.0610859	0.1418806	0.0665402	0.8491475
150	0.1472383	0.4803467	0.6999978	0.9644308	0.8106270	0.9802326	0.0755166	0.1090794	0.0602546	0.8578732
200	0.1285333	0.4626169	0.6799303	0.9725411	0.8395420	0.9990390	0.0532346	0.1294806	0.0493687	0.8697733
250	0.1191466	0.5482280	0.7052161	1.0457820	0.7697722	0.9448847	0.0365043	0.1186110	0.0523951	0.8864568
300	0.1012775	0.4720527	0.6968931	1.0583787	0.7368410	1.0193808	0.0750267	0.1265412	0.0273381	0.8367407
350	0.0944173	0.5341101	0.6976977	1.0026532	0.7216450	0.9983757	0.0852839	0.1217524	0.0407161	0.8862555
400	0.0932037	0.4815667	0.7016683	0.9824537	0.8588869	0.9143304	0.0510957	0.1176752	0.0442784	0.8545064
450	0.1340601	0.4862641	0.6373119	1.0189197	0.7605863	0.9099644	0.0715050	0.1085062	0.0323333	0.8914696
500	0.1225251	0.5020072	0.6775992	1.0052890	0.7453459	0.9858583	0.0419633	0.0736567	0.0354464	0.7955373
550	0.1823696	0.4864487	0.6787542	1.0286475	0.6895277	0.9613756	0.0386663	0.0797244	0.0512108	1.0563359
600	0.1943704	0.5240984	0.7501551	0.9924753	0.6717693	1.0319124	0.0405109	0.1014931	0.0472866	1.0144138
650	0.2222881	0.5066533	0.6733602	0.9552747	0.6672167	1.0285012	0.0384642	0.1120721	0.0316106	0.9514116
700	0.1741167	0.5258562	0.6294517	0.9442610	0.6410592	1.0311525	0.0525519	0.1053732	0.0394374	0.9607355
