YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.4943223	0.6671248	0.4036926	0.6831006	0.4683910	0.6069690	0.8278822	0.0468200	0.4630442	0.5539953
0.8443322	0.2706132	0.2637050	0.8459375	0.3969155	0.6731967	0.7227556	0.0065746	0.2463326	0.5135634
0.9757629	0.5193104	0.1630758	0.7632400	0.4896608	0.6378915	0.7782163	0.0244128	0.3943083	0.5343298
0.9131420	0.3355894	0.6987597	0.4562306	0.5829757	0.5347768	0.9561538	0.0090148	0.2892910	0.6049080
0.9499218	0.4065199	0.4008184	0.6850137	0.2382525	0.6023005	0.8358111	0.0133665	0.3327179	0.5571262
0.9733868	0.5034176	0.1905401	0.9788950	0.8785017	0.3680653	0.6305767	0.0225093	0.3860989	0.7467278
0.9496290	0.4057369	0.4030740	0.6828062	0.1934868	0.8773094	0.4186341	0.0132963	0.3322327	0.4181046
0.9581908	0.4325605	0.3325854	0.7560317	0.4390492	0.6317989	0.7871772	0.0076986	0.3475421	0.5382995
0.9699168	0.4832927	0.2267173	0.9063435	0.3762759	0.7015242	0.6808135	0.0050478	0.1877271	0.4976847
0.9580756	0.4321739	0.3333385	0.7554489	0.4382743	0.6322204	0.7863596	0.0153724	0.3473197	0.2690203
