YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.3535219	0.8242947	0.2705678	0.1490261	0.1479956	0.3271402	0.3052860	0.6464173	0.8625694	1.0000000
0.9887025	0.4121474	0.2705678	0.1490261	0.1479956	0.3271402	0.4528391	0.3734653	0.8625694	1.0000000
0.5281006	0.9572650	0.1780405	0.1942075	0.1797252	0.3514147	0.3273466	0.5916043	0.8625694	1.0000000
0.5419990	0.9471112	0.1889718	0.0937622	0.1756378	0.3485204	0.3299281	0.5857644	0.8625694	1.0000000
0.5475323	0.9422027	0.1941523	0.0981510	0.0871493	0.3472802	0.3304721	0.5839671	0.8625694	1.0000000
0.5307399	0.9550446	0.1807498	0.0860064	0.0429379	0.1753785	0.3278227	0.5906393	0.8625694	1.0000000
0.7070438	0.8242947	0.2705678	0.1490261	0.1479956	0.3271402	0.1831902	0.5086158	0.8625694	1.0000000
0.7070438	0.8242947	0.2705678	0.1490261	0.1479956	0.3271402	0.5639739	0.2543079	0.8625694	1.0000000
0.9978079	0.2648553	0.5509218	0.2779507	0.2139337	0.3676707	0.4023154	0.4447889	0.4312847	1.0000000
0.7546786	0.7878037	0.2877604	0.1586920	0.1557444	0.3335237	0.3640044	0.5138392	0.6810397	0.5000000
