"Time"	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C

0	0.0649003	0.8030987	0.0309976	0.0482209	0.2431947	0.8152811	0.0191627	0.0541556	0.6719304	0.5913329
50	0.2023294	0.5824606	0.0292959	0.0965146	0.2615870	0.8694380	0.3370786	0.0868209	0.6986958	0.7464836
100	0.2819833	0.4905514	0.0038667	0.1089574	0.2319539	0.7462687	0.4258119	0.3285157	0.6393801	0.8012315
150	0.1691476	0.5649803	0.0093050	0.1943268	0.2406039	0.6369463	0.6113498	0.5243055	0.6651657	0.7477364
200	0.2971741	0.6237139	0.0193077	0.1287278	0.2302222	0.5584014	0.4345065	0.6097394	0.7680930	0.9323488
250	0.2848830	0.5412234	0.0096223	0.2687549	0.3194552	0.6382694	0.5057461	0.5443433	0.7443563	0.6900998
300	0.3515651	0.5134264	0.0140800	0.2454167	0.3228736	0.5735060	0.6278107	0.7039550	0.5664111	0.9444029
350	0.4703140	0.4988535	0.0343217	0.2497322	0.2832630	0.4098031	0.5746760	0.8766145	0.7138887	0.6682324
400	0.4700220	0.4838339	0.0761357	0.3320396	0.3543969	0.5381852	0.6788661	0.7762485	0.8349995	0.7636549
450	0.6582467	0.4444012	0.0792212	0.4727855	0.3898083	0.4477300	0.6874071	0.7228435	0.5690918	0.7251070
500	0.5556144	0.4772909	0.0900239	0.2926123	0.3654567	0.5592833	0.4274688	0.6759778	0.5730495	0.9527686
550	0.4960492	0.7678622	0.0641982	0.3702455	0.3504693	0.4877062	0.2197780	0.7835741	0.6277393	0.7438589
600	0.4933706	0.5846105	0.1014018	0.3746328	0.3510257	0.7170969	0.1310690	0.6532140	0.7455972	0.6306810
650	0.5515628	0.5738580	0.1128109	0.4247142	0.3074744	0.7638002	0.0529424	0.3747595	0.6750715	0.6995148
700	0.3201104	0.4940293	0.1297044	0.2508773	0.2881504	0.7281935	0.0557953	0.1204998	0.6013660	0.6701522
750	0.3611070	0.6255549	0.1003993	0.2780350	0.3063512	0.7854158	0.0567536	0.0513911	0.7348476	0.7862186
800	0.3451597	0.7342723	0.0849326	0.2941957	0.2779228	0.6809539	0.0863160	0.0371061	0.7731322	0.6663396
850	0.1624638	0.6685213	0.0643602	0.1460390	0.2355834	0.8570219	0.1169565	0.0570166	0.5978329	0.8310148
900	0.1247429	0.7751919	0.0259707	0.0862382	0.2359345	0.6881402	0.1016972	0.0254231	0.6596530	0.8216997
950	0.1720093	0.9243321	0.0138202	0.1455424	0.2470502	0.7403161	0.1077886	0.0442379	0.5652565	0.6113536
1000	0.2477542	0.8287378	0.0207203	0.1615945	0.2626199	0.8195675	0.0367387	0.0272708	0.6760302	0.7977637

0	0.0636486	0.7040488	0.0135338	0.0613191	0.2008714	0.6850150	0.0290338	0.0404065	0.6002692	0.6991487
50	0.2601020	0.7551685	0.0131005	0.1371526	0.2105820	0.6789183	0.0487227	0.0385320	0.7220455	0.7822100
100	0.3931679	0.7271520	0.0076402	0.2442984	0.2320633	0.6830661	0.0441865	0.0290773	0.6894429	0.8087820
150	0.4217107	0.5938509	0.0077771	0.2601882	0.1891331	0.6324747	0.0172121	0.0474767	0.6615427	0.7510282
200	0.4140504	0.6253596	0.0438365	0.2315974	0.2066120	0.7317109	0.0523797	0.0249875	0.6732572	0.7881315
250	0.2933960	0.6621536	0.0370513	0.1857534	0.1815358	0.8690480	0.0264965	0.0199726	0.6873342	0.8960420
300	0.3713535	0.7511210	0.0376492	0.1840131	0.2208372	0.8004431	0.0808308	0.0429455	0.6857989	0.6739811
350	0.4186177	0.7458762	0.0257931	0.2701950	0.2006100	0.8523819	0.0444595	0.0500652	0.7439366	0.9490299
