YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.3460046	0.3826631	0.6679276	0.3103891	0.2915156	0.1398260	0.0522853	0.6356591	0.3466504	0.5737460
0.3024482	0.3841718	0.4703488	0.3512208	0.5350119	0.2680986	0.0632298	0.7488643	0.5660465	0.8318192
0.4813773	0.5273948	0.4970270	0.3673838	0.5994447	0.0295634	0.0047516	0.7234628	0.5256541	0.7824431
0.3689874	0.3085429	0.5103120	0.4183675	0.5991336	0.1243618	0.1061613	0.3280586	0.6236625	0.4602483
0.2357563	0.4589703	0.5801735	0.3734836	0.6258481	0.0522203	0.0526381	0.3991182	0.5939345	0.8004994
0.5930619	0.3485895	0.4487864	0.3942973	0.1938310	0.1977551	0.0843234	0.5801445	0.6358029	0.7908819
0.4281529	0.4284476	0.5689592	0.3685495	0.4754955	0.0713606	0.0377528	0.5819124	0.6874101	0.7292750
0.1948020	0.4978412	0.4658522	0.4410529	0.5851017	0.0773353	0.0586129	0.7510524	0.6556150	0.4054405
0.5291947	0.3578150	0.5082520	0.3470256	0.4612650	0.0571659	0.0945920	0.6362268	0.6301943	0.6009149
0.2435888	0.3862639	0.4871913	0.5394758	0.3889533	0.2062966	0.0887745	0.4136355	0.7289778	0.7382459
