YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C
0.4922033	0.9471900	0.8654786	0.0933329	1.0000000	1.0000000	0.9851558	0.7470705	1.0000000	0.6721540
0.6091722	0.9473070	0.9498402	0.1122534	0.8396518	1.0000000	0.9744757	1.0000000	0.8517735	1.0000000
0.3067551	0.9466812	0.6981469	0.0723184	0.9069006	1.0000000	0.9744754	1.0000000	0.9408704	0.8803824
0.3158837	0.9999013	0.9544433	0.1292742	0.9796026	0.9301520	0.9927166	0.9890709	0.9649489	0.8916862
0.4795577	0.9554028	0.8163720	0.0779990	1.0000000	1.0000000	0.9744754	1.0000000	0.6843677	0.8354349
0.4308665	0.9997918	0.9683029	0.1616429	0.7670132	0.4078827	0.9744754	1.0000000	1.0000000	1.0000000
0.5544065	0.9472693	0.9221958	0.3562574	0.3691009	0.6755981	0.9921194	1.0000000	1.0000000	0.9516353
0.5659802	0.9999450	0.9386971	0.1263406	1.0000000	0.9781788	0.9934191	1.0000000	0.9914137	0.9672303
0.4005376	0.9996917	0.8972557	0.1015929	1.0000000	0.9364382	0.9661262	0.7378627	1.0000000	0.9765789
0.3765869	0.9471770	0.8608476	0.1413295	0.9049702	0.8069207	0.9875996	0.7447514	1.0000000	1.0000000
