YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W
0.3763687	0.6405342	0.4942523	0.2998168	0.1996568	0.3160908	0.3532478	0.4647247	0.1980509	0.6611020
0.4643481	0.7764718	0.2582157	0.0600129	0.5895474	0.6632988	0.3526184	0.7564757	0.3400055	0.5048231
0.0503647	0.6868344	0.4686240	0.2510989	0.3319738	0.4427156	0.3215285	0.7635043	0.4185615	0.6234338
0.0146805	0.8257230	0.6948360	0.1523401	0.2627900	0.4874620	0.4170903	0.6503358	0.4390441	0.7790646
0.4767217	0.5650085	0.6624933	0.1474323	0.2754410	0.5653831	0.3983178	0.5469906	0.2753981	0.3834121
0.3525959	0.8426793	0.3855810	0.0323168	0.5552542	0.4464756	0.4408564	0.4915989	0.3624098	0.8079911
0.2682864	0.8004494	0.4711126	0.1352174	0.4397710	0.5686696	0.4036533	0.5952629	0.4696501	0.8556723
0.2985166	0.8144226	0.2027815	0.0671005	0.4633629	0.4955487	0.4679438	0.7099889	0.5050713	0.7262235
0.0626372	0.6971522	0.6380109	0.1192550	0.2987635	0.5369773	0.3763559	0.7662849	0.3637752	0.5343378
0.2246118	0.8642348	0.4935393	0.1105998	0.4396069	0.5313673	0.4672749	0.8149257	0.3166732	0.4368873
