YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.0000000	0.0415833	0.0900404	0.9853812	0.9463432	1.0000000	0.2352300	0.7980523	0.8805180	0.9990177
1.0000000	0.0000014	0.0900404	0.9853812	0.9463432	1.0000000	0.2352300	0.7980523	0.8805180	0.9990177
0.9929550	0.0387364	0.0000000	0.9853812	0.9463432	1.0000000	0.2657551	0.7837787	0.8805180	0.9990177
0.4031335	0.8936372	1.0000000	0.0000000	0.9463432	1.0000000	0.0197511	0.9265522	0.8805180	0.9990177
0.4030940	0.8936478	0.9999669	0.0302464	0.0000000	1.0000000	0.0309328	0.3988858	0.0964552	0.0371633
0.6534253	0.4878106	0.5091994	0.2404819	0.0271294	0.0000000	0.2959141	0.7067681	0.5525445	0.2547590
0.9920575	0.0415833	0.0900404	0.9853812	0.9463432	1.0000000	0.0000001	0.9407150	0.8805180	0.9990177
0.9920575	0.0415833	0.0900404	0.9853812	0.9463432	1.0000000	0.2496075	0.0000004	0.8805180	0.9990177
0.9920575	0.0415833	0.0900404	0.9853812	0.9463432	1.0000000	0.2442523	0.2616713	0.0000000	0.9990177
0.9920575	0.0415833	0.0900404	0.9853812	0.9463432	1.0000000	0.2442423	0.2622062	0.0084769	0.0000000
