YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W
0.0000000	0.0174494	0.6388119	0.3180121	0.3621979	0.5041887	0.4469266	0.0858420	0.6814747	0.0181392
0.8619647	0.0000000	0.8039523	0.3917778	0.2593123	0.5025263	0.5136961	0.0514017	0.6274595	0.0101134
0.7312295	0.0371132	0.0000000	0.3711047	0.2110878	0.6044830	0.5493138	0.0436043	0.2659995	0.6986048
0.6140463	0.6643557	0.7968784	0.0000000	0.2080290	0.3903081	0.5012181	0.0820811	0.6444736	0.0192934
0.7425746	0.4591450	0.3413099	0.8244855	0.0000000	0.6341637	0.5553826	0.0107511	0.6806146	0.0894935
0.8131037	0.4821182	0.3184293	0.7774764	0.0983817	0.0000000	0.6332642	0.0133028	0.8101515	0.1134521
0.6207692	0.7070931	0.6826686	0.0683464	0.5353668	0.6087092	0.0000000	0.2295027	0.6420096	0.0090200
1.0000000	0.7350376	0.7635051	0.3542726	0.2606175	0.4816510	0.6316634	0.0000000	0.6792658	0.0425648
0.8531072	0.6918157	0.5670167	0.4461963	0.2945065	0.4815403	0.7826522	0.0050723	0.0000000	0.0394465
0.6828389	0.7205772	0.6355230	0.3119244	0.2577880	0.6223654	0.4712242	0.0767515	0.6701998	0.0000000
