YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C
0.0000000	0.7634052	0.4017605	0.6892638	0.4994207	0.9604212	0.0177032	0.3974321	0.9688777	1.0694977
0.0711556	0.0000000	0.3769043	0.6827350	0.6078894	0.9729563	0.0374642	0.3921755	0.9322920	1.0236950
0.9469293	0.8899779	0.0000000	0.6770247	0.5614711	0.9553846	0.2560027	0.5064402	1.0222541	0.9654266
1.0180096	0.6565979	0.1119593	0.0020571	0.5545408	0.8719147	0.2373790	0.4891038	1.0113679	1.0305362
0.8804978	0.6247107	0.3572995	0.9617760	0.0000000	0.9532394	0.2853929	0.4580046	0.9049264	1.0141492
0.8062158	0.5274614	0.4157605	1.0389089	0.0382685	0.0000000	0.2200438	0.4753363	0.9249412	0.9940538
0.9522408	0.7260560	0.3889470	0.7047410	0.5213624	1.0155140	0.0000000	0.3516105	0.9686641	0.9702641
0.9820129	0.7764296	0.3590158	0.8136434	0.3003045	0.5451610	0.9239488	0.0000000	0.8991358	0.9690791
0.9126976	0.7022547	0.3080756	0.7771028	0.4091266	0.7151369	0.5870914	0.2376047	0.0000000	0.9608401
0.9146930	0.7639410	0.3226550	0.7675025	0.4185227	0.7073970	0.4815495	0.2803572	0.0580708	0.0000000
