YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.0000032	0.2749996	0.8498667	0.5386452	0.9977845	0.5488110	0.8906308	0.9894149	0.0973203	1.0000000
0.0438246	0.0000054	0.8498669	0.5386451	0.9977851	0.5488321	0.8905803	0.9894149	0.0973203	1.0000000
0.0439976	0.0770605	0.0000001	0.5386451	0.9977849	0.5488309	0.8905956	0.9894149	0.0973203	1.0000000
0.2550392	0.5860244	0.9999995	0.0000020	0.9977851	0.5488321	0.8905803	0.9894149	0.0973203	1.0000000
0.2549257	0.5859048	0.9999882	0.0270853	0.0000002	0.5488280	0.8905888	0.9894149	0.0973203	1.0000000
0.2396431	0.5858904	0.9999879	0.0270882	0.0015211	0.0000001	1.0000000	0.9894149	0.0973203	1.0000000
0.3397391	0.5858619	0.9999815	0.0314739	0.0782499	0.0257759	0.0000000	0.9894149	0.0973203	1.0000000
0.3247536	0.7765005	0.8495128	0.5391301	0.9987211	0.6678741	0.9999981	0.0000000	0.0973203	1.0000000
0.0657943	0.2749672	0.8498711	0.5386395	0.9977753	0.5479825	0.8897881	1.0000000	0.0000039	1.0000000
0.3165433	0.7481341	0.8495113	0.5391236	0.9987013	0.6639599	0.9959011	0.0685029	0.9999990	0.0000002
