YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.3363061	0.7254333	0.7838522	0.0349784	0.6464398	0.0590684	0.0178691	0.7513917	0.6899654	0.0185153
0.3581830	0.4214512	0.7575312	0.0353953	0.7339689	0.0185474	0.0221544	0.6708217	0.7975271	0.0316385
0.5457120	0.8225110	0.3066355	0.8747098	0.7120429	0.0585801	0.0262768	0.6499961	0.5490493	0.3697197
0.5693860	0.7449931	0.8722731	0.0347701	0.7385185	0.0578896	0.0346196	0.7845806	0.7005688	0.0364505
0.5612751	0.8563210	0.7607467	0.0362864	0.3487133	0.0212013	0.0561115	0.6964009	0.6854637	0.0120399
0.4690272	0.7036813	0.8427252	0.0377582	0.6600525	0.0120900	0.0594744	0.6936166	0.6904383	0.0184388
0.5622659	0.7266715	0.9105794	0.0146746	0.7017323	0.0804125	0.0151124	0.9727076	0.7887170	0.0305515
0.5720810	0.8152660	0.8050252	0.0478032	0.7009740	0.0181449	0.1823226	0.3652447	0.7248117	0.0193823
0.5311621	0.6901855	0.8139094	0.0733201	0.8101757	0.0485453	0.0378699	0.5470560	0.3191566	0.0196915
0.5168556	0.9179658	0.6830404	0.0171010	0.6942925	0.0502499	0.0177434	0.8955700	0.7933390	0.0128437
