YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C
0.0000005	0.0590876	0.0420156	0.9170675	0.0333992	0.0623467	0.1886665	0.5441621	0.2215922	1.0000000
0.0106024	0.0000000	0.0420592	0.9525960	0.0248661	0.0623467	0.1886665	0.5632875	0.2215922	1.0000000
0.0414004	0.0590876	0.0000003	0.9170675	0.0333992	0.0623467	0.1886665	0.5441621	0.2215922	1.0000000
0.0414004	0.0590876	0.0420155	0.0000001	0.0333992	0.0623467	0.1886665	0.1278477	0.2215922	1.0000000
0.0414004	0.0590876	0.0429108	0.9999996	0.0000017	0.0623467	0.1886665	0.5861562	0.2215922	1.0000000
0.0414004	0.0590876	0.0428985	0.9088621	0.0351486	0.0000000	0.1886665	0.5394617	0.2215922	1.0000000
0.0414004	0.0590876	0.0429050	0.9525655	0.0248747	0.9999996	0.0000000	0.5632733	0.2215922	1.0000000
0.0414004	0.0590876	0.0428998	0.9170675	0.0333992	0.0623467	0.1886665	0.0000000	0.2215922	1.0000000
0.0414005	0.0590878	0.0428998	0.9168340	0.0334509	0.0616287	0.9999560	0.4537062	0.0000006	1.0000000
0.0414004	0.0590876	0.0429031	0.9398235	0.0281286	0.1325062	0.0416035	0.8164992	1.0000000	0.0000001
