"Time"	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W

0	0.0425001	0.8424585	0.7010728	0.0547578	0.2229612	0.6732042	0.3814455	0.6837347	0.7661741	0.7464685
50	0.0482277	0.7294754	0.7068251	0.0038901	0.2669359	0.6048580	0.2460681	0.7381627	0.6391730	0.7431937
100	0.0639013	0.6586188	0.5499097	0.0016886	0.1931620	0.5882024	0.2086838	0.6446940	0.8125336	0.5893702
150	0.0856792	0.7641532	0.5474326	0.0036009	0.1868531	0.7182441	0.1382468	0.7627145	0.7068674	0.7981767
200	0.0420340	0.8416370	0.5000261	0.0015036	0.1699032	0.7040643	0.1655308	0.8281196	0.7690534	0.8203608
250	0.0346340	0.6333572	0.5637324	0.0082838	0.1762663	0.8314828	0.1904298	0.6531197	0.7489584	0.7718396
300	0.0172117	0.6681192	0.5513048	0.0014596	0.1699923	0.7668793	0.2496339	0.8444932	0.6988261	0.7741452
350	0.0622772	0.8552616	0.5911937	0.0068006	0.1983117	0.6645525	0.2016597	0.8346214	0.7461693	0.7895655
400	0.0157986	0.7441121	0.4364316	0.0044146	0.2579086	0.7039818	0.1428008	0.8330781	0.7976232	0.8424980
450	0.0281027	0.9818589	0.5771404	0.0039798	0.1976585	0.6956762	0.1977646	0.6925023	0.7656894	0.6755372
500	0.0697106	0.7439149	0.5403891	0.0065120	0.2376886	0.6467407	0.2026864	0.7599117	0.7591459	0.7607530
550	0.1077648	0.8238127	0.7435373	0.0079406	0.2654403	0.6451515	0.3740931	0.7877274	0.7261086	0.8387145
600	0.0417356	0.6628933	0.6716300	0.0139870	0.1872172	0.6314223	0.4547997	0.7189104	0.7179260	0.7516896
650	0.0744708	0.7607860	0.7156593	0.0144590	0.2720053	0.7924052	0.4215573	0.8849746	0.8221518	0.8294327
700	0.0845725	0.8874163	0.6661028	0.0303595	0.1705256	0.7716474	0.4431434	0.7081788	0.8135307	0.7145501
750	0.0433260	0.7643431	0.7812354	0.0074077	0.1833817	0.6649322	0.4055348	0.7984826	0.7518167	0.7112566
800	0.0602918	0.7245693	0.7483519	0.0145825	0.2035268	0.5676343	0.4595750	0.7292642	0.7805400	0.6884955
850	0.0726556	0.6361591	0.6779596	0.0159431	0.1859482	0.6430407	0.4810093	0.8175538	0.8464016	0.7777589
900	0.0702618	0.8859606	0.8982922	0.0162998	0.1759531	0.6382578	0.3251524	0.7030743	0.6970942	0.7579534
950	0.0644705	0.8137215	0.7576672	0.0187650	0.2044962	0.6966344	0.3133640	0.7639248	0.7292607	0.7360134
1000	0.0510349	0.6799095	0.6601758	0.0060191	0.2009355	0.7761541	0.3270764	0.8102565	0.8308774	0.6358112

0	0.0614575	0.7655645	0.6926875	0.0225850	0.3346475	0.7988274	0.3998602	0.8028206	0.7282840	0.7849766
50	0.0763926	0.9119431	0.6817706	0.2007627	0.2957590	0.2390986	0.3411812	0.6649474	0.7080785	0.6656218
100	0.0853563	0.7785792	0.7710002	0.2811411	0.2809513	0.1387121	0.4008823	0.6319799	0.6835668	0.8195639
150	0.0728918	0.6650095	0.7603686	0.2667246	0.3986080	0.0593638	0.3766910	0.7252018	0.7034680	0.6142685
200	0.0444416	0.8462352	0.5616486	0.3863362	0.4322985	0.0670667	0.2913928	0.6685008	0.5971618	0.7892519
250	0.0617424	0.7417476	0.7283497	0.2205700	0.4632057	0.0811541	0.3432801	0.8095164	0.5988735	0.7660274
300	0.0509790	0.8493424	0.7183737	0.3374114	0.4307220	0.0454615	0.3100516	0.7573939	0.6613801	0.7683107
350	0.0609912	0.8422744	0.6904082	0.3468677	0.3903288	0.0640724	0.4877645	0.8378372	0.6512961	0.7525077
400	0.0701411	0.7214888	0.7404953	0.3745949	0.3922667	0.0748832	0.4665221	0.8119926	0.7212056	0.7456512
450	0.0410295	0.8236089	0.6174057	0.3643867	0.4114514	0.0819865	0.3799470	0.9076163	0.7440449	0.6575022
500	0.0373387	0.8259316	0.6115884	0.3615277	0.4660514	0.0661695	0.4383880	0.6831168	0.6426722	0.8072946
550	0.0468481	0.7952186	0.6378770	0.1850674	0.3844868	0.5029144	0.4332028	0.6672815	0.7748005	0.6235298
600	0.0830184	0.6209210	0.6553880	0.1006948	0.3505776	0.5250947	0.4147312	0.6911390	0.8141087	0.7141691
650	0.0328432	0.8853075	0.6945162	0.0709877	0.2887554	0.5494897	0.3001417	0.6569101	0.8084894	0.9242747
700	0.1029114	0.7712831	0.6538125	0.0465946	0.2960098	0.8073710	0.4445754	0.7513671	0.7651757	0.6755222
750	0.0726186	0.7882820	0.7287846	0.0380061	0.1999285	0.6993551	0.3456160	0.6315322	0.7496033	0.7939704
800	0.0473176	0.9144528	0.7254731	0.0523290	0.2185372	0.6057216	0.3513437	0.8234122	0.7176390	0.8193775
850	0.0496619	0.7678597	0.7031668	0.0401365	0.2144358	0.8406502	0.3019210	0.7286083	0.6456734	0.7510405
900	0.0840676	0.6623921	0.5854681	0.0334143	0.2177770	0.6832528	0.3644907	0.7875865	0.5679913	0.7643542
950	0.1199634	0.7487136	0.8511930	0.0379100	0.2727248	0.7190903	0.3323791	0.6778581	0.8047835	0.6158730
