YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W
0.0000000	0.0256178	0.9957982	0.4121859	0.3973482	0.6774512	0.6603109	0.1053003	0.9999992	0.0256071
1.0000000	0.0000007	1.0000000	0.4121936	0.3973463	0.6774516	0.6603100	0.1052991	0.9999993	0.0254188
1.0000000	0.0256173	0.0000000	0.6710540	0.3094431	0.7106747	0.8496356	0.0379894	0.4461375	1.0000000
1.0000000	0.9318024	1.0000000	0.0000000	0.2773269	0.5748977	0.7721166	0.0616489	0.9999993	0.0254185
1.0000000	0.6173823	0.4356376	1.0000000	0.0000000	0.8057738	0.9397553	0.0146480	0.9995090	0.1342794
1.0000000	0.6187732	0.4366502	0.9982967	0.0850000	0.0000000	0.9219348	0.0190116	0.9995178	0.1336424
1.0000000	0.9316124	0.9988793	0.0708175	0.7405326	1.0000000	0.0000000	0.2470476	0.9999993	0.0254687
1.0000000	0.8782816	0.7813776	0.5461370	0.3504061	0.6387683	1.0000000	0.0000000	0.9999956	0.0403158
1.0000000	0.8831060	0.7939012	0.5335189	0.3545342	0.6427703	0.9397569	0.0146480	0.0000000	0.0389387
1.0000000	0.9087481	0.8847624	0.4121785	0.3973422	0.6774459	0.6603015	0.1053018	1.0000000	0.0000000
