"Time"	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W

0	1.0222127	0.0367536	0.0522106	0.8717172	0.9441626	1.0564509	0.0259194	1.0325559	0.0205130	0.9129447
50	1.0143444	0.0102349	0.0593064	0.8811686	0.9541750	0.8753823	0.1118827	0.9666081	0.0516124	0.8036272
100	0.9407022	0.0069223	0.0454920	0.8990269	0.9768231	0.8469249	0.1560525	0.9160062	0.0702226	0.4835120
150	0.9418844	0.0455731	0.0326251	0.8664841	1.0073265	0.8337788	0.2224252	0.8803090	0.1432076	0.2804251
200	0.8925981	0.1120221	0.0473508	0.9030389	0.8735996	0.7570558	0.2658494	0.9076851	0.3480912	0.2259697
250	0.9126997	0.1093902	0.0385033	0.8096607	0.7929296	0.7324280	0.3583575	0.7973772	0.4262937	0.2578269
300	0.9357611	0.1290938	0.0574299	0.8359654	0.8453243	0.6687632	0.4680093	0.6980122	0.5882969	0.2072665
350	0.9604411	0.0658204	0.0652972	0.7707304	0.9004423	0.6987246	0.6033794	0.6684273	0.6338653	0.1790439
400	0.9571428	0.0378811	0.0886184	0.7793509	0.8912824	0.6322757	0.6955875	0.4983525	0.7325919	0.1874620
450	0.9627102	0.0296043	0.0650482	0.8284078	0.8660983	0.6548446	0.7430019	0.4715366	0.7638768	0.1602913
500	0.8810988	0.0129902	0.0459412	0.8915285	0.8158389	0.5680202	0.7717740	0.3783779	0.8055319	0.1742698
550	0.9288301	0.0059527	0.0482592	0.8218428	0.8125610	0.6349420	0.7240649	0.3770950	0.7601747	0.4163423
600	0.9882042	0.0171813	0.0554536	0.8764984	0.9307701	0.7245816	0.6952609	0.3995903	0.5248162	0.6541773
650	0.8919370	0.0393037	0.0549187	0.8765788	0.8727793	0.8206681	0.6141238	0.5020794	0.2594944	0.8561707
700	0.9569000	0.0486823	0.0558873	0.8844223	0.9239279	0.8972315	0.4347825	0.7388297	0.1165523	0.9771157
750	0.9650213	0.0421581	0.0565815	0.8341064	1.0167918	0.8738699	0.2414321	0.9529731	0.0705583	0.9806311
800	0.9087693	0.0144735	0.0665599	0.8008376	0.9726676	1.1615995	0.1738405	0.8978142	0.0426393	0.9920898
850	0.8797592	0.0121903	0.0528840	0.7812765	0.9419122	1.1434724	0.1008086	0.9831213	0.0453986	1.0545977
900	0.9899674	0.0044965	0.0687342	0.8717968	0.8948152	1.0356392	0.0568731	1.0541343	0.0652709	0.9738152
950	0.9885938	0.0022777	0.0801777	0.8990202	0.8564238	0.9996656	0.0461865	1.0685345	0.0620694	0.9935335
1000	0.9143137	0.0003195	0.0645321	0.9073696	0.9295972	0.8867788	0.0311757	1.0254136	0.0516083	0.9018982

0	1.0222127	0.0367536	0.0522106	0.8717172	0.9441626	1.0564509	0.0259194	1.0325559	0.0205130	0.9129447
50	0.9749849	0.0219382	0.0417701	0.9154184	0.8104008	0.7851513	0.0326840	0.9436391	0.0497251	0.9609256
