"Time"	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C

0	1.0000000	0.9367374	0.9996736	0.9586138	0.0487972	0.0564838	0.0618635	0.3040018	0.8321693	0.9999404
50	1.0000000	0.9367497	0.9808995	0.9583879	0.0489276	0.1617972	0.0625126	0.3144903	0.6384553	0.9999412
100	1.0000000	0.9367546	0.9628111	0.9522491	0.0526076	0.2244603	0.0804373	0.3990025	0.4644978	0.9999336
150	1.0000000	0.9367550	0.9537939	0.9183672	0.0752885	0.2600110	0.1804084	0.5516864	0.3887657	0.9996595
200	1.0000000	0.9366988	0.9495944	0.8406402	0.1352169	0.3757039	0.3827556	0.6905934	0.3613537	0.9913096
250	1.0000000	0.9357700	0.9476113	0.7418903	0.2207870	0.5790901	0.5686508	0.7812217	0.3514715	0.9258426
300	1.0000000	0.9305624	0.9466670	0.6558465	0.3017783	0.7331648	0.6785670	0.8315945	0.3444227	0.7821673
350	1.0000000	0.9163571	0.9461313	0.5958731	0.3616926	0.8126753	0.7332182	0.8594299	0.3340211	0.6330024
400	1.0000000	0.8916494	0.9456424	0.5582660	0.4010671	0.8485304	0.7609024	0.8781613	0.3209621	0.5261917
450	1.0000000	0.8602828	0.9450600	0.5344169	0.4270017	0.8646758	0.7777930	0.8938079	0.3090625	0.4614235
500	1.0000000	0.8286714	0.9444265	0.5177487	0.4455943	0.8728055	0.7903167	0.9071540	0.3009308	0.4235056
550	1.0000000	0.8014015	0.9635259	0.5058385	0.4590431	0.8608536	0.7984150	0.8986750	0.4648582	0.4001410
600	1.0000000	0.7800607	0.9834601	0.5152053	0.4487619	0.8522867	0.7692736	0.7862804	0.6116238	0.3890705
650	1.0000000	0.7676561	0.9933059	0.5785112	0.3816240	0.8317767	0.6418733	0.6308539	0.6756756	0.4185219
700	1.0000000	0.7765304	0.9972691	0.6808438	0.2803474	0.7560783	0.4441835	0.5123286	0.7084745	0.5440265
750	1.0000000	0.8129496	0.9987362	0.7780752	0.1912560	0.5849478	0.2783724	0.4380818	0.7418844	0.7331370
800	1.0000000	0.8575974	0.9992769	0.8481238	0.1314503	0.3725765	0.1794635	0.3907945	0.7768188	0.8762997
850	1.0000000	0.8924384	0.9994918	0.8925970	0.0958242	0.2157100	0.1261708	0.3583284	0.8034119	0.9500147
900	1.0000000	0.9140621	0.9995872	0.9197313	0.0753555	0.1305425	0.0970146	0.3360649	0.8191318	0.9813033
950	1.0000000	0.9258382	0.9996329	0.9361489	0.0636405	0.0902858	0.0807411	0.3217360	0.8269226	0.9932933
1000	1.0000000	0.9317390	0.9996551	0.9459752	0.0569516	0.0720665	0.0717212	0.3132192	0.8302960	0.9976290

0	1.0000000	0.9367374	0.9996736	0.9586138	0.0487972	0.0564838	0.0618635	0.3040018	0.8321693	0.9999404
50	0.9182489	0.9418800	0.9996737	0.9598428	0.3000624	0.0563502	0.0583368	0.2735105	0.8321011	0.9999420
100	0.8162844	0.9475043	0.9996737	0.9661203	0.5314961	0.0544791	0.0469991	0.2392702	0.8317711	0.9999519
