"Time"	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C

0	0.7565747	0.5762231	0.7375523	0.5241479	0.8980432	0.3722586	0.0663230	0.1099098	0.8934504	1.0233831
50	0.7040455	0.5353213	0.7511280	0.5457547	0.8277241	0.3679369	0.0554440	0.0927111	1.0359629	0.9464708
100	0.8237627	0.5511903	0.7806941	0.6037145	0.8823196	0.3374144	0.0584046	0.1322421	1.0507676	1.0086388
150	0.7375461	0.5758691	0.6748781	0.5894067	0.9206985	0.3658308	0.0668247	0.1533261	1.0370145	0.9838194
200	0.6437279	0.5942140	0.6391369	0.6259130	0.8508057	0.4385014	0.0640810	0.1195991	0.9175711	0.9763720
250	0.5707195	0.5552232	0.6707565	0.6721425	0.9302166	0.4364592	0.0502742	0.1039816	0.9266170	1.0641135
300	0.5370333	0.5730177	0.6503267	0.6352287	0.9773834	0.4813912	0.0678647	0.1143421	0.8766271	1.0468354
350	0.5108186	0.5762285	0.6662540	0.6626835	0.9297141	0.4798386	0.0807832	0.1399302	0.9812809	0.9998192
400	0.4379178	0.6649319	0.6406939	0.6298067	0.8487343	0.4359035	0.0729908	0.1368561	0.9237986	1.0251877
450	0.6063733	0.5544473	0.6046922	0.5739577	0.8135988	0.3941024	0.0738001	0.1152973	0.8983095	0.9787243
500	0.7126689	0.5138651	0.6728879	0.4557283	0.8782429	0.4234567	0.0685727	0.1391672	1.0631201	1.0144460
550	0.8359310	0.4567424	0.6702393	0.5388814	0.8566389	0.3929952	0.0923669	0.1193839	1.1384838	0.9325463
600	0.7450758	0.5832693	0.7429441	0.4743944	0.9033161	0.3491275	0.0692836	0.1256394	1.0115602	0.9726085
650	0.7570201	0.5795111	0.7196160	0.6572889	0.8686738	0.3662227	0.0527628	0.1373884	1.0437646	1.0873796
700	0.7216500	0.5903905	0.6627881	0.5840085	0.8670059	0.3359208	0.0491799	0.1332243	1.0066945	1.0390614
750	0.7118113	0.5601556	0.6358744	0.6317872	0.9244558	0.2950782	0.0364579	0.1627724	1.0725294	0.9182746
800	0.5524479	0.5475531	0.5631350	0.6150279	0.8720639	0.2751255	0.0603488	0.1361342	1.0384310	0.9650215
850	0.5778702	0.5708747	0.6024143	0.5250561	0.8666543	0.2934946	0.1013776	0.1057003	1.0033906	0.9590524
900	0.5968364	0.5366637	0.6043344	0.5546897	0.7972918	0.2473606	0.0567916	0.1177104	1.0900704	1.0000261
950	0.7094472	0.5078353	0.6552345	0.5223502	0.8330064	0.2667025	0.0386247	0.1468601	1.0365082	0.9295706
1000	0.7291484	0.4870621	0.6207339	0.5385831	0.8891981	0.2822696	0.0323584	0.1341170	1.0188221	0.8933634

0	0.7565747	0.5762231	0.7375523	0.5241479	0.8980432	0.3722586	0.0663230	0.1099098	0.8934504	1.0233831
50	0.5290282	0.6625330	0.7335094	0.7396628	0.7955381	0.3555917	0.0617986	0.0968940	1.0667141	0.7921972
100	0.4086363	0.7713329	0.6758980	0.7408372	0.7666029	0.2986436	0.0498650	0.0684401	0.9142485	0.8209479
