YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.4614243	0.1147217	0.1875114	0.2701713	0.9999933	0.0233274	0.4167556	0.9901422	0.0745022	0.6519565
0.9609203	0.0573204	0.1870392	0.2701716	0.9999923	0.0243233	0.4167351	0.9901433	0.0744976	0.6390138
0.9301361	0.1029900	0.0937572	0.2701710	0.9999948	0.0218025	0.4167461	0.9901426	0.0745003	0.6731569
0.7642006	0.4137046	0.6930595	0.1350857	0.9999936	0.0230757	0.4451357	0.9894168	0.0775299	0.6556152
0.9299974	0.1032109	0.0971484	0.4782983	0.4999976	0.0218361	0.4167462	0.9901426	0.0745003	0.6726207
0.9225318	0.1147220	0.1875133	0.2701698	0.9999995	0.0116757	0.4167556	0.9901422	0.0745022	0.6519561
0.9225321	0.1147208	0.1875061	0.2701759	0.9999747	0.0335606	0.2083785	0.9901429	0.0744990	0.5506412
0.9225319	0.1147217	0.1875114	0.2701713	0.9999933	0.0233274	0.4167556	0.4952293	0.0745022	0.6519565
0.9225321	0.1147216	0.1875114	0.2701713	0.9999934	0.0233179	0.4170676	0.9970956	0.0372705	0.6521100
0.9225640	0.1146490	0.1870513	0.2705620	0.9984129	0.1024291	0.4167555	0.9901427	0.0745000	0.3260314
