YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
0.0000000	0.0730748	0.3245443	0.2494590	0.5379173	0.6428540	0.6156002	1.0000000	0.3147498	0.9971395
0.0837259	0.0000003	0.3865006	0.2149480	0.6095035	0.6428540	0.6156002	1.0000000	0.3497376	1.0000000
0.0837304	0.0148138	0.0000060	0.2154204	0.6083811	0.6428540	0.6156002	1.0000000	0.3491750	0.9999946
0.9216237	0.8681501	0.9999963	0.0000000	0.1438747	0.6428540	0.6156002	1.0000000	0.2889518	0.9873954
0.0837307	0.0150048	0.0786569	0.9999997	0.0000005	0.6428540	0.6156002	1.0000000	0.1570114	0.9999996
0.1017498	0.0711060	0.2329879	0.3001041	0.6379285	0.0000000	0.6156002	1.0000000	0.2816450	0.9891213
0.1310513	0.1080065	0.2474722	0.3498952	0.4964488	0.0148928	0.0000000	1.0000000	0.2701156	0.9832751
0.2340590	0.2085139	0.3196315	0.3622713	0.3732283	0.0148928	0.0100982	0.0000000	0.2823752	0.9723710
0.0850871	0.0730748	0.3245443	0.2494590	0.5379173	0.6428540	0.6156002	1.0000000	0.0000000	1.0000000
0.0850871	0.0730748	0.3245443	0.2494590	0.5379173	0.6428540	0.6156002	1.0000000	0.6259129	0.0000000
