YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.1033791	0.9631135	0.2668924	0.3991251	0.6113156	1.0193623	0.1493061	0.4787255	0.9888750	0.8335797
0.2184394	1.0633424	0.8273991	0.5580724	0.5755038	0.9751306	0.1809206	0.5146451	0.9512534	0.9968265
0.1924705	1.0547885	0.6263176	0.4837993	0.6330041	0.8454439	0.2234056	0.5648821	1.1784864	1.0557230
0.3109517	0.8562487	0.7495475	0.3965889	0.5434932	0.8306801	0.7546909	0.1351870	0.9510702	0.9768204
0.2426768	0.9613913	0.7247699	0.3736664	0.7266202	0.9341086	0.4173284	0.2906549	1.0204194	0.4224082
0.1056588	1.0378151	0.8623594	0.4597142	0.5043286	0.7284487	0.3255594	0.2933116	0.9871030	0.9278751
0.0737358	1.0283974	0.5854823	0.3575632	0.6463341	1.1444297	0.1977296	0.5455597	1.0170390	1.1163783
0.1643450	1.0333601	0.5952592	0.3355862	0.6062150	0.9066759	0.1619034	0.4437913	0.9432589	0.6906852
0.2450022	0.9528608	0.6603410	0.4369033	0.5636577	0.5915297	0.3013895	0.3905283	0.9809583	0.9684912
0.1867745	1.0025336	0.7467432	0.4183201	0.6343937	1.0437005	0.4802291	0.2722764	1.0357699	0.8279027
