YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
0.0013124	0.2248667	0.3697598	0.3789279	0.1480293	0.7748807	0.6415271	0.5797405	0.7678995	0.7039882
0.3929388	0.0000000	0.3039262	0.3182077	0.0914437	0.6716357	0.7342408	0.5773730	0.7687875	0.7965176
0.5286694	0.0733047	0.0000000	0.4873508	0.0755735	0.7336080	0.8906166	0.5336096	0.7618871	0.7267091
0.6859062	0.6126630	0.8144226	0.0000000	0.1667809	0.6758332	0.7979825	0.5816972	0.7333340	0.6940456
0.6680527	0.1245562	0.2842844	0.3789619	0.0000000	0.6805769	0.7580781	0.5836472	0.7683220	0.7619734
0.4556330	0.0689589	0.1655303	0.6173207	0.7251179	0.0000000	0.7302896	0.5282700	0.7297357	0.7100537
0.3627124	0.0789665	0.4034248	0.3559278	0.1080325	0.7015759	0.0000000	0.4300239	0.7214216	0.8619951
0.4266252	0.1660323	0.3706912	0.2829347	0.2437083	0.7517129	0.7795699	0.0000000	0.8592540	0.6998642
0.4660330	0.1184367	0.2414298	0.3819164	0.1404765	0.8117827	0.8476441	0.0109282	0.0000000	0.7788182
0.6650381	0.2001212	0.2391417	0.3371260	0.2050092	0.6267583	0.7050133	0.5422655	0.7321303	0.0000000
