"Time"	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W

0	0.7145692	0.4900629	1.0015304	0.7022167	0.4637781	0.5295269	0.4743046	0.5638206	0.6696329	1.0905402
50	0.6259523	0.5366873	0.9687803	0.7355327	0.4792660	0.3366818	0.3257915	0.5866013	0.7266150	0.5965355
100	0.7031079	0.5146757	0.9702952	0.8137073	0.3573269	0.3398618	0.1480940	0.5761370	0.8150584	0.3804517
150	0.6727847	0.5148735	0.9566661	0.8228615	0.1914983	0.3274512	0.0573040	0.5996049	0.7570038	0.2581681
200	0.7095933	0.5403940	0.9238162	0.7674748	0.1714265	0.3398894	0.0524820	0.6007571	0.7724683	0.2158138
250	0.7793274	0.5694970	0.8675512	0.7090758	0.1137636	0.3064432	0.0399422	0.4623466	0.7184585	0.2108644
300	0.6443143	0.5541467	0.8906933	0.6680953	0.1593010	0.4023423	0.0228169	0.5212132	0.7908431	0.2110687
350	0.5853643	0.5763262	0.8208755	0.7122110	0.1672531	0.3854714	0.0357755	0.4648660	0.8280218	0.1385201
400	0.6506998	0.6394590	0.8860616	0.6867228	0.2165676	0.3904324	0.0451548	0.4920307	0.7653494	0.1582137
450	0.7358450	0.5598674	0.9235168	0.6951552	0.1752305	0.4415560	0.0394194	0.4899103	0.7979550	0.1849528
500	0.6395305	0.5710575	1.0118648	0.6963032	0.1842800	0.3965556	0.0344289	0.5757101	0.7537067	0.2050465
550	0.6574621	0.4528261	0.9714136	0.4885314	0.2945203	0.5798724	0.2408440	0.5476849	0.5331453	0.5233836
600	0.8129366	0.4413225	0.9098846	0.4806660	0.3685500	0.7029989	0.4579778	0.5601033	0.5088202	0.8699198
650	0.7005566	0.5880918	0.8072833	0.5886005	0.4355145	0.6557830	0.4509771	0.5209756	0.5110535	0.8039819
700	0.6890184	0.6294934	0.8412596	0.6711606	0.4231012	0.5844844	0.5710833	0.5652404	0.5674773	0.8770808
750	0.5851194	0.7744264	0.8590268	0.7309172	0.5008231	0.4888225	0.5360321	0.5952500	0.5543011	0.8699066
800	0.5352088	0.5942681	0.9514460	0.7502417	0.4489398	0.4252879	0.6341646	0.5193972	0.6765562	0.9301344
850	0.5627940	0.4906190	1.0573299	0.7368180	0.5013013	0.3971414	0.5883773	0.5561872	0.6449520	0.9992384
900	0.5903464	0.4313141	1.0353125	0.7110293	0.6261662	0.3516972	0.6624729	0.5760613	0.6582646	1.0096993
950	0.6320387	0.4600122	0.9589359	0.8133266	0.5994249	0.3275569	0.6190499	0.6021573	0.6278425	1.0638632
1000	0.7473797	0.4936637	0.9023356	0.7433451	0.5376628	0.3242909	0.4591113	0.6972066	0.6591724	0.9017100

0	0.7145692	0.4900629	1.0015304	0.7022167	0.4637781	0.5295269	0.4743046	0.5638206	0.6696329	1.0905402
50	0.6893481	0.4106479	1.0429217	0.6672233	0.4982514	0.4983374	0.3739864	0.5598939	0.6904989	0.6919173
100	0.6810368	0.4027392	1.0526421	0.6748785	0.6726182	0.6232214	0.2083737	0.6544365	0.7333669	0.5662705
150	0.8039961	0.4024222	1.0492081	0.7955002	0.8346676	0.7174644	0.1174487	0.6230513	0.8283475	0.5024439
200	0.7468082	0.5056809	0.9930349	0.9221796	0.8612553	0.8041541	0.1035509	0.5787551	0.7225360	0.5140382
250	0.6779526	0.4054100	1.0986030	0.9658025	0.7491596	0.8450252	0.1120058	0.5328401	0.8006330	0.5885627
300	0.7252130	0.3876742	0.9927833	0.8679136	0.7544358	0.9071341	0.1267075	0.6170071	0.7512087	0.5738307
350	0.6250708	0.3675793	1.0414196	0.8469298	0.7824267	0.9853445	0.1269929	0.5851728	0.7921688	0.5285355
400	0.6981398	0.3816742	1.0276329	0.8656130	0.8499596	0.9610947	0.1366758	0.6060697	0.8043272	0.5468246
450	0.6887009	0.3211567	1.0106407	0.8906817	0.7622807	0.9706869	0.1338276	0.6173675	0.7551914	0.5625449
500	0.7625677	0.4325556	0.9848839	0.8374014	0.8405183	0.9842417	0.0802046	0.6101210	0.7582027	0.5415374
550	0.7660987	0.4510989	0.8858961	0.7849970	0.6111522	0.9919944	0.2676792	0.5827001	0.6115260	0.6665313
600	0.7444015	0.5377950	0.9358535	0.7886506	0.5661713	0.8565834	0.2596810	0.5228745	0.5954589	0.9084813
650	0.7331315	0.5034106	0.9945336	0.6846054	0.5323083	0.7702013	0.4039049	0.6031997	0.5300911	0.9654338
700	0.6514403	0.4455029	1.0472883	0.6785366	0.3991792	0.5962715	0.5262738	0.6292856	0.6088609	0.9870998
