YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
0.9428683	0.1532784	0.6366283	0.3353736	0.2209342	0.7812479	1.0000000	0.5060620	1.0000000	0.8933403
0.6340948	0.1563495	0.2185384	0.6753100	0.4783824	1.0000000	0.7445738	0.6217797	0.6153408	0.6398155
0.3160424	0.2608597	0.5253933	0.4515931	0.4783824	1.0000000	0.6870827	0.3326706	1.0000000	1.0000000
0.6358263	0.1017841	0.3330976	0.5697595	0.3386438	1.0000000	1.0000000	0.2586251	0.9188670	1.0000000
0.6558328	0.0240723	0.3552046	0.5266613	0.7332566	0.5231567	1.0000000	0.6376125	0.6770769	0.7345158
0.5206739	0.4958939	0.5093421	0.4418456	0.4783824	1.0000000	0.7796944	0.3177810	0.9594013	1.0000000
0.8997375	0.2288933	0.1928817	0.7071468	0.4125142	0.8836325	0.9058186	0.5153362	0.9803046	1.0000000
0.5258472	0.1157703	0.5172450	0.2877685	0.3196291	0.9195487	0.8464897	0.3387824	0.9875046	0.7633529
0.3988108	0.5504228	0.5963634	0.4149870	0.2876698	0.8193179	1.0000000	0.5060620	1.0000000	1.0000000
0.6843628	0.1699289	0.4224830	0.5101336	0.3689402	1.0000000	0.9164970	0.5060620	1.0000000	1.0000000
