YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.1509036	0.2102390	0.8093897	0.7176175	0.1211188	0.8397584	0.5270808	0.8282741	0.8103346	0.0677681
0.1551566	0.1265178	0.6699584	0.6771798	0.1218176	0.7730336	0.6787821	0.7180775	0.7212344	0.0144365
0.6647958	0.7216440	0.3103022	0.7629544	0.1155371	0.6596228	0.5893595	0.5996370	0.7532212	0.0728629
0.3798265	0.2335736	0.7694844	0.3473751	0.1090793	0.8674152	0.6932330	0.6532265	0.7229504	0.0691572
0.4692147	0.2945832	0.7861019	0.9234160	0.0908660	0.6696774	0.8030828	0.6938747	0.7433873	0.0069640
0.5267326	0.1515432	0.8400116	0.2057774	0.4598144	0.4779121	0.5066115	0.5975517	0.0125379	0.5757255
0.3425942	0.2421943	0.8823390	0.6478389	0.1739301	0.6925439	0.2804858	0.8409782	0.6564490	0.1128679
0.3914567	0.2222385	0.7237069	0.6372731	0.1727866	0.6435149	0.6080074	0.3173796	0.7287353	0.0466565
0.4352559	0.1959656	0.8726426	0.8727063	0.2002872	0.6657897	0.7095163	0.6277449	0.3512387	0.0519406
0.4635575	0.3197292	0.6926821	0.7302182	0.1439018	0.7179593	0.7027170	0.5956250	0.7780330	0.0111320
