"Time"	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W

0	0.0835374	0.0427688	0.6543150	0.7955094	1.0279017	0.0771908	0.0550140	0.2564665	0.5458855	0.0111657
50	0.0807738	0.0364138	0.6120927	0.7184898	0.5585421	0.0588748	0.0109044	0.3435660	0.7359497	0.0102357
100	0.1015941	0.0557844	0.6458235	0.5812484	0.5004461	0.0587104	0.0037861	0.4100015	0.8765124	0.0094729
150	0.0920029	0.0522294	0.6971166	0.5197162	0.4587892	0.0370660	0.0002547	0.6149483	0.9434813	0.0135127
200	0.1084511	0.0526262	0.8051552	0.5016549	0.4593139	0.0183420	0.0014440	0.6088583	0.9169106	0.0178387
250	0.1043017	0.0439134	0.8286627	0.4349617	0.4084094	0.0178140	0.0007372	0.5312510	0.8194566	0.0064567
300	0.0817318	0.0520510	0.8340273	0.4331544	0.4593627	0.0240060	0.0030212	0.5182852	0.8969991	0.0095336
350	0.0693509	0.0389603	0.9285990	0.3860807	0.4165069	0.0365210	0.0044042	0.5225388	0.9191410	0.0134831
400	0.0938519	0.0333343	0.9259921	0.4160351	0.4166265	0.0455944	0.0022481	0.5339160	0.8783919	0.0117895
450	0.1025924	0.0624783	0.8929530	0.4229058	0.4880181	0.0291707	0.0006440	0.5105403	0.9001993	0.0122641
500	0.0984604	0.0760695	0.9122530	0.3979558	0.4476598	0.0252610	0.0000000	0.4952786	0.7684680	0.0096687
550	0.0858305	0.0620771	0.9379499	0.4711223	0.9157001	0.0401501	0.0241537	0.3630397	0.4393837	0.0039135
600	0.1227976	0.0501955	0.9501961	0.5308290	1.0422889	0.0349344	0.0425904	0.3017854	0.5193846	0.0094007
650	0.1133835	0.0346710	0.9924363	0.7328000	1.0038168	0.0436219	0.0564135	0.2700864	0.6036959	0.0096421
700	0.0937647	0.0270687	0.8115815	0.8138708	1.0838282	0.0455063	0.0812556	0.3375653	0.5888952	0.0090516
750	0.0859993	0.0448727	0.7671837	0.8584763	1.0196960	0.0605455	0.0453689	0.3447952	0.5344481	0.0166376
800	0.0882104	0.0347234	0.6372123	0.8685960	0.9841281	0.0555342	0.0527351	0.2947741	0.4895325	0.0122823
850	0.0651813	0.0508942	0.5823728	0.7343489	1.0131413	0.0445521	0.0423674	0.2701920	0.4683099	0.0119331
900	0.0957653	0.0533668	0.6594608	0.7008916	1.0350301	0.0688191	0.1119818	0.2945740	0.5231202	0.0029272
