YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
0.2427484	0.3440356	0.9160338	0.8110902	0.9907454	0.1167156	1.0162295	1.0412374	1.0342473	0.0842546
0.6351903	0.1822928	0.7740797	0.7166088	1.0186237	0.1729258	0.9104145	0.9024075	0.9511819	0.0757843
0.2087122	0.8881330	0.4357341	0.6562925	1.0305207	0.1632503	0.9744423	0.8693533	1.0071748	0.0728955
0.2536717	0.7279503	0.5581656	0.3624730	1.0134680	0.1233677	0.9918834	1.0616128	1.0811465	0.0885325
0.2472408	0.6692460	0.6451758	0.4558856	0.5600420	0.1526651	0.9814396	0.9963918	1.0748522	0.1940640
0.3341788	0.4801839	0.8231305	0.7328237	1.0542110	0.0512783	1.0479896	0.9431870	1.1082504	0.1036137
0.3137699	0.4893092	0.8362167	0.7543827	1.0057022	0.4153603	0.4164559	0.9587941	0.9826976	0.0740669
0.4249979	0.4280420	0.8152077	0.7935953	1.0296691	0.1971081	0.9239701	0.4671724	1.0546465	0.0819301
0.4743162	0.3688531	0.8817489	0.7077396	0.9914008	0.1300471	0.9633369	0.9301087	0.5096823	0.0978664
0.5437868	0.3723849	0.8566883	0.7309616	0.9244633	0.1222283	1.0794598	0.9697368	0.9817809	0.0461654
