YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C
0.5042878	0.1774539	0.1801331	0.2775330	0.5970385	0.4509641	0.0740257	0.3312017	0.0659535	0.8894669
0.7767417	0.0507067	0.3165768	0.2102150	0.6359141	0.5882157	0.0954695	0.5416036	0.0737710	0.6799027
0.7011228	0.0773730	0.2141000	0.1240529	0.7042811	0.6066428	0.1708554	0.4167603	0.0696197	0.7785665
0.7717109	0.1089020	0.4419585	0.1151671	0.6594947	0.5446928	0.1500889	0.2807836	0.0678356	0.6560116
0.6168596	0.1001689	0.6098704	0.5825852	0.4537390	0.7362458	0.2875079	0.2790561	0.0764295	0.7086246
0.6354464	0.1421574	0.1259944	0.4613728	0.4809484	0.3729970	0.2722641	0.2328191	0.0494251	0.7788820
0.7165023	0.1372078	0.2361262	0.2714168	0.6314799	0.4686166	0.0668193	0.4383790	0.0561982	0.8010681
0.6683102	0.1165008	0.4378465	0.1586685	0.6576374	0.6978252	0.2997271	0.2182433	0.0879557	0.7339391
0.8257307	0.1075071	0.3303945	0.2179255	0.7439180	0.6233603	0.1139983	0.3148939	0.0422309	0.7698752
0.6658726	0.0859110	0.4787450	0.1512632	0.6844522	0.7345294	0.4431243	0.1823349	0.3144998	0.3173898
