"Time"	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W

0	0.3723798	0.0244734	0.2114605	0.3613770	0.7775699	0.1624424	0.7883821	0.8052453	0.7917278	0.0334612
50	0.3414960	0.0606237	0.2354296	0.2692973	0.6431119	0.2669525	0.7226910	0.6238355	0.7210214	0.0565203
100	0.4421702	0.0535220	0.1513300	0.2243096	0.4916278	0.2248722	0.5796838	0.7636817	0.8242088	0.0380481
150	0.3882370	0.0265443	0.2306050	0.2684087	0.4851928	0.3293089	0.7619341	0.7736715	0.7529056	0.0157613
200	0.3549336	0.0258495	0.1817866	0.2517251	0.3797183	0.4121640	0.7252417	0.8221015	0.7582723	0.0574196
250	0.3633511	0.0290820	0.1983274	0.2029879	0.4325887	0.3967310	0.5178823	0.6675461	0.6758980	0.0260733
300	0.4186768	0.0089913	0.1865299	0.4848627	0.2854459	0.5977257	0.5692244	0.6947397	0.7988976	0.0361643
350	0.2194153	0.0237210	0.1481276	0.3637697	0.2832134	0.6294165	0.6655736	0.6166698	0.6282424	0.0604166
400	0.2636072	0.0242455	0.1639345	0.3905632	0.2244964	0.6708885	0.7075584	0.6397096	0.6791039	0.0370169
450	0.3810386	0.0209742	0.1800208	0.4611867	0.3199817	0.6744805	0.7855461	0.6950136	0.7383310	0.0501223
500	0.3491530	0.0207304	0.1898226	0.5333892	0.1954088	0.5345765	0.6307015	0.7194830	0.7362847	0.0255568
550	0.4235104	0.0277245	0.1241205	0.6212401	0.2443868	0.6551200	0.6942219	0.9336864	0.7479681	0.0962955
600	0.3342311	0.0294276	0.1635164	0.4673188	0.2897973	0.6551556	0.6561523	0.6981201	0.7657969	0.0311758
650	0.2851669	0.0173535	0.1288689	0.5381536	0.2935859	0.5622555	0.7865862	0.8167686	0.6542302	0.0200770
700	0.4976498	0.0191954	0.1725013	0.5234873	0.2474709	0.5982764	0.7641546	0.6696745	0.7633821	0.0736458
750	0.4421262	0.0546372	0.1845067	0.5298695	0.3197671	0.7231883	0.7319045	0.6833482	0.7506132	0.0795884
800	0.4171714	0.0183822	0.1289272	0.4589862	0.2532033	0.5555754	0.5985036	0.7642664	0.8118294	0.0627322
850	0.4595461	0.0075409	0.2038892	0.3744635	0.2834375	0.5563195	0.6759455	0.6918521	0.6532811	0.0603916
900	0.3253801	0.0202073	0.1350738	0.4232819	0.2816817	0.5181438	0.6771877	0.5946738	0.7298039	0.0508165
950	0.2946305	0.0229635	0.1892670	0.4810856	0.3256143	0.6014615	0.6354676	0.7824198	0.8247155	0.0207332
1000	0.3800137	0.0169429	0.1343820	0.4940887	0.2759380	0.5857514	0.6980993	0.8625307	0.6970562	0.0373805

0	0.3537874	0.0163967	0.2136661	0.3310763	0.6373389	0.1891271	0.7117682	0.7395449	0.7684520	0.0388671
50	0.3371849	0.1120548	0.1470114	0.2267726	0.6534224	0.2625217	0.6518886	0.6969674	0.5944834	0.0131782
100	0.4105018	0.2132352	0.1213114	0.1707481	0.5664292	0.2453140	0.7581405	0.6122516	0.5640756	0.0079114
150	0.3862725	0.3888065	0.2086818	0.1361821	0.6665299	0.3309975	0.5555258	0.6320412	0.3737741	0.0043256
200	0.5007349	0.4257659	0.2057047	0.0904795	0.6609868	0.3286844	0.6938483	0.5690217	0.3302483	0.0039198
250	0.3765729	0.4652620	0.2625434	0.1520444	0.6886791	0.3994671	0.5911186	0.3367754	0.2933599	0.0004403
300	0.3806201	0.3852230	0.2625944	0.2125332	0.7702111	0.2561776	0.4702691	0.2148203	0.2547098	0.0003270
350	0.4534119	0.5287785	0.2663527	0.1517253	0.9730550	0.2373225	0.4151403	0.2326321	0.1758145	0.0017033
400	0.3997778	0.4569776	0.2936883	0.2280283	0.6673576	0.2363824	0.1774296	0.1895618	0.2163846	0.0007933
450	0.3640806	0.4225834	0.2013421	0.1603225	0.8306008	0.1133103	0.1039186	0.2691659	0.2517785	0.0005129
500	0.4018889	0.5145714	0.3186163	0.2097249	0.7803770	0.1494810	0.1489294	0.2721442	0.2757824	0.0002822
550	0.4606398	0.4083637	0.2406215	0.2341370	0.7253968	0.1803004	0.2226221	0.3599080	0.3536032	0.0135077
600	0.4858237	0.2877827	0.2487775	0.2758676	0.7972591	0.1674934	0.2631452	0.7978384	0.5056769	0.0281330
650	0.3024908	0.2096183	0.2154506	0.2367290	0.6842642	0.2287113	0.4192263	0.6843492	0.6220736	0.0189107
700	0.3527497	0.1341293	0.0890953	0.2868922	0.6869109	0.2250677	0.6289079	0.8001298	0.6830149	0.0438901
750	0.3817149	0.0367886	0.1285904	0.2185470	0.6353538	0.2321953	0.5528538	0.5921117	0.6521315	0.0383740
800	0.4242665	0.0426594	0.1489139	0.3397143	0.8234514	0.3440106	0.5466455	0.6694096	0.6756396	0.0312822
850	0.3326521	0.0189933	0.1314990	0.2950595	0.6183085	0.2589062	0.7570624	0.6291012	0.7537436	0.0532951
900	0.4087358	0.0474600	0.2080890	0.2767772	0.8021368	0.2425137	0.7703955	0.7409852	0.7766136	0.0616650
950	0.3470552	0.0282953	0.1750667	0.2723799	0.7407113	0.2734626	0.7613465	0.8004916	0.7891890	0.0340953
1000	0.3450590	0.0336958	0.2695369	0.2297821	0.7231728	0.2345824	0.8333481	0.7136121	0.7921948	0.0199996

0	0.3585565	0.0317117	0.2076390	0.4394727	0.6962698	0.2473244	0.7236427	0.7875445	0.7783200	0.0241315
50	0.4033667	0.0179011	0.1767332	0.2491283	0.6280124	0.2235760	0.6919590	0.6656664	0.7159150	0.0131038
100	0.3820670	0.0244984	0.1418601	0.2122960	0.6703836	0.2382658	0.6723829	0.6486544	0.7182555	0.0013143
150	0.4765132	0.0231606	0.1806116	0.2661069	0.6672438	0.3574622	0.5889292	0.6321775	0.7404926	0.0024825
200	0.3758107	0.0073410	0.2115135	0.2552053	0.6597193	0.3538022	0.6653007	0.6220590	0.6428572	0.0045751
250	0.4647929	0.0149616	0.1930506	0.1378695	0.5060731	0.3049557	0.6728046	0.7324122	0.7588035	0.0040828
300	0.3747400	0.0533831	0.1581009	0.2260170	0.5313071	0.3151917	0.6738673	0.6505998	0.6316286	0.0000455
350	0.4556788	0.0291191	0.2031006	0.1889481	0.5405009	0.4565501	0.7011323	0.6156929	0.7202803	0.0000197
400	0.3878433	0.0268108	0.1276292	0.1812873	0.3569893	0.3859672	0.7494168	0.7021240	0.7186924	0.0004979
450	0.4376949	0.0799184	0.2184609	0.1981205	0.5440951	0.3756325	0.7941945	0.7664649	0.7004589	0.0003068
500	0.4092691	0.0395475	0.1935438	0.2277032	0.5064533	0.4068258	0.6788710	0.6510542	0.7309503	0.0003602
550	0.3243382	0.0616546	0.1812990	0.3244511	0.5312937	0.3989249	0.6935098	0.7980859	0.8822017	0.0267107
600	0.3552364	0.0342379	0.1674674	0.2857380	0.5853705	0.3938596	0.7175441	0.7389802	0.6079034	0.0144251
650	0.4373296	0.0283068	0.2529764	0.3691245	0.6642237	0.2847611	0.7017855	0.6993523	0.6202257	0.0186726
700	0.2827219	0.0168271	0.2040197	0.2722939	0.5960122	0.3838508	0.6609971	0.6265526	0.6640452	0.0286788
750	0.4201233	0.0111073	0.1855535	0.4887810	0.5255768	0.2149135	0.7089857	0.6034852	0.8609037	0.0085155
800	0.3428407	0.0430826	0.1564153	0.3787519	0.7572292	0.2404836	0.7358417	0.6671006	0.7714695	0.0284496
850	0.3898274	0.0387578	0.1819978	0.2962717	0.8229410	0.2962038	0.6229325	0.7214692	0.8503548	0.0624820
900	0.3658942	0.0350317	0.1730273	0.2456398	0.5522438	0.2160732	0.7090968	0.8567837	0.7750700	0.0266939
950	0.3462027	0.0531662	0.2138667	0.3128870	0.7107307	0.2731290	0.5730518	0.9294188	0.7342391	0.0449267
1000	0.4012254	0.0270150	0.2276542	0.2751433	0.7280696	0.3013544	0.6882606	0.8333996	0.7098504	0.0283903

0	0.3809135	0.0169128	0.2450065	0.4229075	0.7348253	0.2196019	0.6887779	0.6391336	0.7403757	0.0304644
50	0.3332645	0.0197972	0.1711760	0.1703039	0.8333691	0.2437629	0.7104542	0.4875867	0.7538198	0.0325543
100	0.2740718	0.0235701	0.3369500	0.0691081	0.6509484	0.1815242	0.7307937	0.6187534	0.7672197	0.0454341
150	0.3694405	0.0644906	0.3202194	0.0549102	0.8591015	0.2920888	0.7134035	0.6466352	0.7320511	0.0090822
200	0.3884236	0.0504989	0.4168782	0.0183498	0.8001922	0.2967223	0.7110197	0.8364421	0.7654371	0.0042111
250	0.4409551	0.1232841	0.5889879	0.0591896	0.7044432	0.3816200	0.6430250	0.8671238	0.8898882	0.0007914
300	0.3513174	0.2981394	0.5720783	0.0557431	0.6968925	0.3312273	0.8466955	0.7011606	0.7591593	0.0000000
350	0.3028047	0.2956492	0.5551655	0.0417906	0.8255931	0.2504897	0.8428507	0.7292544	0.7607767	0.0003244
400	0.4724616	0.4578866	0.4360069	0.0416896	0.7382739	0.2459816	0.7458578	0.6869008	0.7910219	0.0000986
450	0.4786909	0.4160625	0.5627377	0.0330741	0.5537656	0.2235206	0.7934711	0.6686854	0.7464257	0.0045596
500	0.4681135	0.3319576	0.8281044	0.0344738	0.6347384	0.3597854	0.8028840	0.8021551	0.7519288	0.0036410
550	0.4259662	0.3140604	0.5851200	0.1551957	0.6271687	0.2323214	0.7457712	0.8253769	0.7476755	0.0089995
600	0.4204883	0.3200354	0.3621380	0.2732941	0.7214189	0.2515453	0.7146234	0.7452881	0.6960868	0.0218274
650	0.4122203	0.2094925	0.2412345	0.3093714	0.6733653	0.3134302	0.7264492	0.7131902	0.8440510	0.0194719
700	0.4993509	0.1275699	0.1962732	0.3525576	0.7170043	0.3212549	0.6789908	0.6661530	0.7543307	0.0301150
750	0.5507103	0.1058542	0.1566482	0.3690678	0.8526538	0.3279518	0.8609772	0.6794740	0.7525226	0.0310661
800	0.3945270	0.0473823	0.1563452	0.3488252	0.7042944	0.2771140	0.6648001	0.7756620	0.7846886	0.0319786
850	0.4135851	0.0130641	0.2488748	0.2459249	0.6899657	0.2628126	0.6657343	0.6611016	0.7235611	0.0165849
900	0.4490651	0.0264081	0.1766647	0.2794030	0.7460841	0.2623361	0.6344631	0.6295994	0.7518545	0.0416643
950	0.4058568	0.0220835	0.1878990	0.2776127	0.6573541	0.2466475	0.6897619	0.8313956	0.7046877	0.0204079
1000	0.5268512	0.0199809	0.1446403	0.2825944	0.7084460	0.2338551	0.7191670	0.7330415	0.7839901	0.0444244

0	0.3456268	0.0172616	0.1902278	0.3328431	0.6658720	0.2293946	0.8011117	0.6113690	0.8519002	0.0202442
50	0.3710047	0.0245699	0.1407926	0.2840773	0.7279943	0.5115294	0.5712473	0.7235682	0.7938812	0.0249957
100	0.3542003	0.0314587	0.2131809	0.2945905	0.6948330	0.5765847	0.7262542	0.8827000	0.7329014	0.0437109
150	0.3513051	0.0257775	0.1999895	0.2579352	0.4981585	0.6567301	0.6274856	0.6577390	0.7715481	0.0219781
200	0.3824079	0.0065431	0.1448090	0.5373941	0.4269126	0.6040586	0.7129516	0.8445200	0.7167074	0.0119709
250	0.3040879	0.0174855	0.1672684	0.5069399	0.2601943	0.6237150	0.7343542	0.7213994	0.8169805	0.0248290
300	0.3642358	0.0299095	0.1760540	0.5855867	0.2501367	0.6643376	0.7254042	0.5775442	0.8738662	0.0294744
350	0.3577703	0.0280263	0.1483964	0.6022985	0.2178110	0.5835903	0.5924172	0.7476270	0.6574649	0.0159765
400	0.2997582	0.0384300	0.1221802	0.5515884	0.2993354	0.7177329	0.7262218	0.7561395	0.7342234	0.0131497
450	0.3252041	0.0172309	0.1452354	0.6439561	0.1843808	0.8964156	0.5363332	0.7347824	0.6478125	0.0274722
500	0.4050509	0.0205700	0.1887323	0.5958063	0.1833884	0.6574225	0.7773384	0.6800700	0.6507941	0.0168984
550	0.3334566	0.0474216	0.1974980	0.5684821	0.2061051	0.7085961	0.7755240	0.5596416	0.6631477	0.0484542
600	0.3861665	0.0248900	0.1951141	0.5999228	0.1641947	0.5578504	0.8751580	0.6204032	0.7363464	0.0636374
650	0.4061274	0.0256412	0.1577299	0.6618930	0.3013164	0.7642327	0.7411626	0.6514530	0.6219487	0.0299635
700	0.4774548	0.0280972	0.1870274	0.4006225	0.2813093	0.6778571	0.6661373	0.6490578	0.7539809	0.0352200
750	0.4369706	0.0224594	0.1627332	0.3680481	0.3260962	0.6353970	0.7425672	0.7838365	0.7748465	0.0428106
800	0.3679137	0.0155604	0.1863104	0.4542501	0.3142694	0.4951632	0.7052626	0.7572559	0.6435930	0.0326912
850	0.3940294	0.0333178	0.2531522	0.4220601	0.3097116	0.5304527	0.6440233	0.6808493	0.8067989	0.0235001
900	0.3815531	0.0186988	0.2109857	0.3858667	0.4028013	0.6551616	0.6247035	0.6564199	0.7171833	0.0224831
950	0.3441157	0.0353316	0.1479418	0.4357958	0.3314408	0.5789741	0.6514555	0.6651153	0.8031839	0.0208006
1000	0.3256828	0.0362324	0.1483281	0.4573873	0.3173165	0.5151006	0.5948630	0.6775270	0.6768787	0.0949358

0	0.3720546	0.0355906	0.1531420	0.3149748	0.6922737	0.1825411	0.7044477	0.6425128	0.8011316	0.0200748
50	0.3998721	0.0119724	0.2169568	0.2312873	0.6872907	0.2931973	0.8084943	0.6804566	0.7914120	0.0238074
100	0.3219084	0.0531501	0.1841451	0.1378023	0.7678989	0.2468031	0.6083479	0.7674841	0.6198727	0.0216243
150	0.4277143	0.0442464	0.1504122	0.1713449	0.7083883	0.2873948	0.5707148	0.8020966	0.5619113	0.0119580
200	0.3854316	0.1062656	0.2301289	0.1038604	0.8410964	0.1751038	0.6423295	0.5378740	0.6305769	0.0152539
250	0.3961810	0.0427304	0.2392297	0.1640553	0.8517289	0.2163663	0.7437746	0.5911455	0.7033571	0.0714536
300	0.5012406	0.0681053	0.2161444	0.1259117	0.7841373	0.2323560	0.6186573	0.8179221	0.7340668	0.0416146
350	0.4071121	0.0429661	0.2386668	0.1722491	0.6291429	0.2281859	0.5801648	0.6670307	0.5249266	0.0294262
400	0.3736301	0.0343297	0.2338958	0.1390747	0.6966767	0.2750913	0.5758727	0.5539211	0.4597820	0.0355757
450	0.4283029	0.0716593	0.3293098	0.1872021	0.8118785	0.2861537	0.5736186	0.6574945	0.7154517	0.0425525
500	0.4849074	0.0381493	0.2184911	0.1914011	0.7547389	0.2179818	0.5215102	0.7860252	0.6363541	0.0415531
550	0.3509098	0.0555611	0.2633849	0.2009113	0.8395081	0.2572929	0.5198261	0.7750138	0.6875947	0.0211214
600	0.4048749	0.0580949	0.1574378	0.1544790	0.7022815	0.1978313	0.6684943	0.7420910	0.6990575	0.0254569
650	0.4723251	0.0416858	0.2061383	0.3067486	0.6100579	0.2741461	0.6284387	0.6053493	0.7417320	0.0445515
700	0.4110979	0.0486338	0.2548465	0.3031417	0.8949973	0.3073441	0.8207324	0.7213247	0.7149861	0.0511120
750	0.3788189	0.0510436	0.2236879	0.2560254	0.6722439	0.1874418	0.6388116	0.6735633	0.8969986	0.0591331
800	0.3724327	0.0767270	0.1554514	0.1738664	0.7872184	0.2475184	0.7310696	0.6573767	0.7139854	0.0723006
850	0.4248003	0.0418644	0.1892152	0.1895963	0.6903890	0.2518550	0.5206381	0.7940858	0.8044878	0.0196333
900	0.4195439	0.0635551	0.1224656	0.3365852	0.7432911	0.2688054	0.6974034	0.6345701	0.6206794	0.0347796
950	0.4333888	0.0381701	0.1129229	0.3174833	0.7251891	0.2903858	0.6064138	0.5833587	0.6641189	0.0600999
1000	0.4483130	0.0473383	0.2450652	0.2428394	0.6783461	0.1929674	0.6864691	0.6370325	0.7267625	0.0323064

0	0.4584714	0.0179417	0.2487352	0.3571861	0.7253873	0.2065881	0.6849323	0.6379381	0.6253802	0.0439808
50	0.4439655	0.0107819	0.1466397	0.2659928	0.7902369	0.1440595	0.6482907	0.6155212	0.5085586	0.0261572
100	0.4286726	0.0105798	0.1130540	0.3042766	0.7373207	0.2597144	0.6977429	0.6703606	0.2748669	0.0572207
150	0.3901327	0.0089999	0.1694112	0.2438299	0.8643389	0.2046044	0.5742951	0.3398715	0.1304382	0.1052502
200	0.3541440	0.0445568	0.1743682	0.2188777	0.8131640	0.2477693	0.5540298	0.1730556	0.0447458	0.0450694
250	0.4129019	0.0523098	0.1285630	0.3340107	0.7838115	0.2673289	0.5498217	0.0873482	0.0341305	0.0240595
300	0.5207029	0.0245784	0.2243717	0.2380799	0.9237795	0.1892428	0.5029303	0.0909215	0.0087459	0.0270805
350	0.4273280	0.0523726	0.1574856	0.3355004	0.7278774	0.2172046	0.4324620	0.0762476	0.0040328	0.0183932
400	0.3936465	0.0225418	0.1459331	0.2879807	0.6471549	0.3097709	0.5535885	0.0462178	0.0016921	0.0160378
450	0.4277731	0.0313332	0.1741744	0.3486878	0.7155494	0.2457733	0.4935101	0.0561907	0.0060549	0.0244553
500	0.5305973	0.0426498	0.1873494	0.2755471	0.5241465	0.2657025	0.5255637	0.0395309	0.0079066	0.0216685
550	0.4959469	0.0211880	0.1571380	0.2150870	0.5963181	0.3207158	0.2819700	0.0720706	0.1392631	0.0384894
600	0.3806152	0.0115764	0.1907231	0.3278315	0.7073039	0.2341320	0.1586852	0.1948325	0.4029972	0.0114389
650	0.4249724	0.0399468	0.1420897	0.3124872	0.7381218	0.1206338	0.1399123	0.5039481	0.4946388	0.0277413
700	0.4525250	0.0234355	0.1072970	0.3022803	0.8239098	0.1537139	0.2803312	0.6892724	0.7074188	0.0324873
750	0.3983789	0.0333184	0.1893896	0.3295568	0.6997923	0.1643892	0.6238052	0.8468178	0.6192547	0.0500721
800	0.3654623	0.0278916	0.1529876	0.2589256	0.6603708	0.1520246	0.6324328	0.7528987	0.6734621	0.0244853
850	0.4578758	0.0153765	0.1368551	0.2600681	0.6486061	0.2473714	0.6882016	0.6794263	0.8232136	0.0200718
900	0.3313559	0.0430521	0.2141824	0.2704907	0.7459515	0.2298470	0.6216238	0.8520469	0.8483983	0.0303456
950	0.3915449	0.0377116	0.1829280	0.3015878	0.6147349	0.2254130	0.6762919	0.7679362	0.7371777	0.0361716
1000	0.3666964	0.0494111	0.1612750	0.3108677	0.8499914	0.2418836	0.7164410	0.6116177	0.8011632	0.0285083

0	0.3592844	0.0281004	0.2158156	0.3344174	0.6056426	0.1846240	0.8842496	0.6409019	0.6997797	0.0189790
