YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
0.0471694	0.2287185	0.0831916	0.5826107	0.7054668	0.1380453	0.7439054	0.1328990	0.7048915	0.8205251
0.1536566	0.1304345	0.1634858	0.7701981	0.4060274	0.1665505	0.7470072	0.1611727	0.6652483	0.6255382
0.0633532	0.1377736	0.1825322	0.6123805	0.5968453	0.1499938	0.6479558	0.1807019	0.6725901	0.7857086
0.5471809	0.2865566	0.2394400	0.3114888	0.6011899	0.0297908	0.7146245	0.1943522	0.7448618	0.6365320
0.1744860	0.1583711	0.2186329	0.6935170	0.3583223	0.1086166	0.6369946	0.1424896	0.7189623	0.8796744
0.2195119	0.2282556	0.1160398	0.6654007	0.7456360	0.0437133	0.7669484	0.2644378	0.6546968	0.7217165
0.1585000	0.2602248	0.1804267	0.5235757	0.1673524	0.3274305	0.3768046	0.1744859	0.6898525	0.7239390
0.1405377	0.2179295	0.1351620	0.6349414	0.8543156	0.0368980	0.6574989	0.0677911	0.7549380	0.7853962
0.0566421	0.1543501	0.1051387	0.6908538	0.5549229	0.1179841	0.5758971	0.4987980	0.3400522	0.7324629
0.0468735	0.1953403	0.1034664	0.7011012	0.7046582	0.0740396	0.7218065	0.2844630	0.6236708	0.3836762
