YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.0000000	0.7112845	0.0416057	0.2195458	0.7258233	0.1349556	0.5792604	0.3653001	0.6132322	0.7152871
0.1444484	0.0000000	0.0102399	0.1023750	0.6700708	0.1786889	0.6960115	0.3023108	0.6346018	0.7796085
0.1465378	0.8839316	0.0000000	0.1455920	0.6605239	0.1131401	0.4589976	0.5104180	0.5901322	0.7530246
0.1625094	0.6895684	0.0209145	0.0000000	0.6853383	0.1906643	0.5910227	0.5838551	0.6277271	0.7546368
0.1395926	0.7693082	0.0385174	0.2098277	0.0000000	0.2102451	0.3570427	0.5771748	0.7054862	0.7337877
0.1964701	0.7734490	0.0731301	0.1775657	0.0197793	0.0000000	0.4347375	0.5359944	0.7385257	0.7810809
0.6470361	0.6232450	0.6576766	0.5792505	0.7178501	0.9322434	0.0000000	0.5158528	0.2805525	0.6902125
0.1855877	0.0191041	0.0030712	0.1194041	0.5811759	0.1274231	0.7423444	0.0000000	0.6465938	0.6995824
0.7008191	0.0073960	0.0173801	0.1138624	0.7471008	0.1289852	0.7814504	0.0451141	0.0000000	0.7108183
0.6673880	0.8227121	0.0316222	0.1664813	0.6999086	0.1769971	0.5054160	0.4673847	0.4271982	0.0000000
