YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.0000000	0.7553650	0.0219379	0.7308692	0.5245310	0.6742617	0.5285946	0.6068365	0.5879229	0.6795995
0.7466521	0.0000000	0.0195520	0.8912594	0.5881018	0.5488631	0.5319986	0.8178721	0.4501967	0.6874418
0.0534770	0.5942875	0.0000000	0.6887470	0.7560670	0.5467187	0.5694284	0.7829123	0.4987331	0.7114160
0.6968694	0.0335240	0.7034312	0.0000000	0.2037249	0.5553420	0.5612048	0.7507802	0.0523273	0.6927222
0.8437290	0.0503358	0.8546605	0.0158974	0.0000000	0.6282377	0.4836485	0.7231267	0.0484435	0.7806078
0.0680927	0.7394954	0.0195718	0.5758780	0.6759969	0.0000000	0.5439698	0.6992903	0.5968646	0.6319280
0.0931876	0.4902470	0.0336600	0.6680634	0.7605694	0.0400675	0.0000000	0.6765930	0.5295897	0.8413181
0.0307308	0.6656035	0.0234685	0.6407403	0.6265996	0.0987461	0.0207779	0.0000000	0.6395249	0.6142024
0.0509944	0.6611723	0.0238521	0.7805224	0.6469729	0.4978345	0.5793966	0.5963040	0.0000000	0.7651833
0.0526503	0.6967039	0.0442541	0.6700497	0.6158632	0.5896433	0.5093285	0.7773260	0.6615666	0.0000000
