YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.2482878	0.4054858	0.7495255	0.3082473	0.1361838	0.3338661	0.5235591	0.6613772	0.0185570	0.0898446
0.5691290	0.1160113	0.7198153	0.4858625	0.1916295	0.2867447	0.4664470	0.8068383	0.0121718	0.0826825
0.2793420	0.4356520	0.3762927	0.2728563	0.0354067	0.1640907	0.6925728	0.7187076	0.0133180	0.0874153
0.5339531	0.3129079	0.6512665	0.3272692	0.0218103	0.3254823	0.5477778	0.7632210	0.0235281	0.0761365
0.5710818	0.3074629	0.6819293	0.3952915	0.0515294	0.1877793	0.6085469	0.7260663	0.0096367	0.0478012
0.6546347	0.3339256	0.7782203	0.4889283	0.0569287	0.0748590	0.6887435	0.7533173	0.0079767	0.0969819
0.4691615	0.2704547	0.7911099	0.3351844	0.1335330	0.5198487	0.2788369	0.6558420	0.0093036	0.1213426
0.6107992	0.2799119	0.7769983	0.4658514	0.1066694	0.2180016	0.5409638	0.3401772	0.0313237	0.0857133
0.5553727	0.2934221	0.8706473	0.3774214	0.1193082	0.3148270	0.5214863	0.6523799	0.0052032	0.0698413
0.4354114	0.2963237	0.8474218	0.4385940	0.1021845	0.1934907	0.6091443	0.7847670	0.0296929	0.0221120
