"Time"	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C

0	0.3748590	0.1473644	0.8105963	0.3996622	0.4927852	0.8899990	0.7850588	0.9850724	0.0823199	1.0000000
50	0.5852672	0.1780568	0.3680103	0.2197976	0.5125231	0.8823875	0.7195735	0.9863079	0.0631685	0.9262517
100	0.6628510	0.2053298	0.2524886	0.1463184	0.5212333	0.8337773	0.5932388	0.9888015	0.0612195	0.9068411
150	0.6947055	0.2255422	0.2261781	0.1149382	0.5148600	0.6929216	0.4776101	0.9903230	0.0621310	0.9017323
200	0.7056614	0.2345969	0.2216653	0.1029062	0.4812076	0.4870795	0.4087666	0.9908829	0.0629276	0.9003876
250	0.6993515	0.2262705	0.2215753	0.1043774	0.4129724	0.3209845	0.3747472	0.9909894	0.0633349	0.9000337
300	0.6727733	0.1966998	0.2218284	0.1216679	0.3234099	0.2236602	0.3598976	0.9909571	0.0635087	0.8999406
350	0.6260285	0.1523479	0.2214052	0.1604374	0.2370546	0.1745434	0.3561863	0.9909087	0.0635763	0.8999160
400	0.5686697	0.1080819	0.2196542	0.2212988	0.1703012	0.1534060	0.3638227	0.9908749	0.0636011	0.8999096
450	0.5160062	0.0751005	0.2158330	0.2901313	0.1263916	0.1520598	0.3916864	0.9908561	0.0636099	0.8999079
500	0.4779941	0.0551602	0.2098633	0.3467464	0.1024486	0.1774185	0.4469964	0.9908468	0.0636129	0.8999074
550	0.1849795	0.0447186	0.6836590	0.7316930	0.0975634	0.2589013	0.5701474	0.9897803	0.0825703	0.9736557
600	0.0897624	0.0398945	0.7328316	0.8814340	0.1222721	0.4681501	0.7282897	0.9873611	0.0843576	0.9930662
650	0.0640210	0.0385741	0.6855709	0.9300349	0.1959692	0.6892832	0.8208472	0.9857275	0.0835401	0.9981750
700	0.0771252	0.0415617	0.6437636	0.9095345	0.2982873	0.8215083	0.8650799	0.9850838	0.0828706	0.9995197
750	0.1312381	0.0536514	0.6288967	0.8071385	0.3907297	0.8869045	0.8833795	0.9849423	0.0825405	0.9998736
800	0.2197778	0.0800257	0.6468067	0.6473000	0.4574743	0.9167666	0.8856032	0.9849622	0.0824025	0.9999667
850	0.3167961	0.1189045	0.6960003	0.4940066	0.5000800	0.9285482	0.8713182	0.9850063	0.0823496	0.9999912
900	0.3996006	0.1618238	0.7627455	0.3811961	0.5250562	0.9289267	0.8321881	0.9850383	0.0823302	0.9999977
950	0.4602498	0.2004047	0.8276825	0.3085616	0.5380873	0.9162614	0.7612661	0.9850563	0.0823234	0.9999994
1000	0.5003237	0.2301742	0.8782630	0.2650583	0.5421681	0.8796812	0.6700467	0.9850653	0.0823211	0.9999998

0	0.3748590	0.1473644	0.8105963	0.3996622	0.4927852	0.8899990	0.7850588	0.9850724	0.0823199	1.0000000
50	0.7948601	0.1780569	0.8447158	0.3379340	0.5125303	0.8833344	0.7373729	0.9850724	0.0823199	1.0000000
100	0.9218346	0.2053484	0.8777275	0.2940466	0.5217790	0.8544469	0.6729825	0.9850724	0.0823199	1.0000000
150	0.9605769	0.2259656	0.9043444	0.2659982	0.5207534	0.7947325	0.6057117	0.9850724	0.0823199	1.0000000
200	0.9724642	0.2378822	0.9231990	0.2512147	0.5076243	0.7013679	0.5485953	0.9850724	0.0823199	1.0000000
250	0.9758541	0.2393947	0.9349690	0.2487504	0.4797286	0.5901339	0.5080282	0.9850724	0.0823199	1.0000000
300	0.9761651	0.2289838	0.9406149	0.2600668	0.4369333	0.4886404	0.4853658	0.9850724	0.0823199	1.0000000
350	0.9749535	0.2066540	0.9403532	0.2888099	0.3845339	0.4173030	0.4812839	0.9850724	0.0823199	1.0000000
400	0.9727469	0.1757168	0.9331793	0.3390572	0.3325211	0.3858268	0.4989089	0.9850724	0.0823199	1.0000000
450	0.9699848	0.1426280	0.9169597	0.4107525	0.2922209	0.4025011	0.5430150	0.9850724	0.0823199	1.0000000
500	0.9672634	0.1141841	0.8899179	0.4932357	0.2739994	0.4760734	0.6114622	0.9850724	0.0823199	1.0000000
550	0.4507164	0.0947631	0.8540184	0.5639055	0.2852738	0.5935192	0.6872477	0.9850724	0.0823199	1.0000000
600	0.2907994	0.0861089	0.8172673	0.5979190	0.3241893	0.7117027	0.7497905	0.9850724	0.0823199	1.0000000
650	0.2601779	0.0887857	0.7908334	0.5825772	0.3770221	0.7989384	0.7894973	0.9850724	0.0823199	1.0000000
700	0.2857750	0.1027905	0.7831220	0.5259173	0.4281465	0.8519328	0.8057223	0.9850724	0.0823199	1.0000000
750	0.3356132	0.1264338	0.7956990	0.4513222	0.4688410	0.8787145	0.7992102	0.9850724	0.0823199	1.0000000
800	0.3901136	0.1555889	0.8229921	0.3808727	0.4970921	0.8857792	0.7693924	0.9850724	0.0823199	1.0000000
850	0.4378428	0.1850021	0.8557970	0.3254359	0.5139494	0.8739722	0.7178023	0.9850724	0.0823199	1.0000000
900	0.4739836	0.2102406	0.8861600	0.2866958	0.5205848	0.8379221	0.6531397	0.9850724	0.0823199	1.0000000
950	0.4974526	0.2284112	0.9099821	0.2626187	0.5166513	0.7698472	0.5892962	0.9850724	0.0823199	1.0000000
1000	0.5080505	0.2375939	0.9264848	0.2511862	0.4999958	0.6714263	0.5373940	0.9850724	0.0823199	1.0000000

0	0.3748590	0.1473644	0.8105963	0.3996622	0.4927852	0.8899990	0.7850588	0.9850724	0.0823199	1.0000000
50	0.4269996	0.1780749	0.8469554	0.3102277	0.5132449	0.9092892	0.9071369	0.9850724	0.0823199	1.0000000
100	0.4679821	0.2058344	0.8856661	0.2570696	0.5276679	0.9344714	0.9526231	0.9850724	0.0823199	1.0000000
150	0.4984895	0.2289361	0.9168811	0.2241130	0.5394785	0.9512220	0.9679370	0.9850724	0.0823199	1.0000000
200	0.5211820	0.2476465	0.9384411	0.2025991	0.5489438	0.9598916	0.9721548	0.9850724	0.0823199	1.0000000
250	0.5382099	0.2626179	0.9523577	0.1879009	0.5558384	0.9638554	0.9727148	0.9850724	0.0823199	1.0000000
300	0.5508722	0.2743195	0.9611906	0.1776463	0.5604074	0.9654937	0.9722810	0.9850724	0.0823199	1.0000000
350	0.5600313	0.2831293	0.9668416	0.1705219	0.5632040	0.9660898	0.9717128	0.9850724	0.0823199	1.0000000
400	0.5664122	0.2894722	0.9705081	0.1656728	0.5648052	0.9662578	0.9712416	0.9850724	0.0823199	1.0000000
450	0.5706817	0.2938347	0.9729087	0.1624648	0.5656693	0.9662688	0.9708996	0.9850724	0.0823199	1.0000000
500	0.5734276	0.2967070	0.9744810	0.1604080	0.5661098	0.9662333	0.9706656	0.9850724	0.0823199	1.0000000
550	0.5751173	0.2985132	0.9744368	0.1834482	0.5658867	0.9386513	0.6130903	0.9850724	0.0823199	1.0000000
600	0.5756007	0.2991484	0.9720030	0.1916220	0.5585257	0.7782316	0.4757899	0.9850724	0.0823199	1.0000000
650	0.5711953	0.2953791	0.9692452	0.1974447	0.5245677	0.5328857	0.4257560	0.9850724	0.0823199	1.0000000
700	0.5513785	0.2784534	0.9665571	0.2121086	0.4529817	0.3599018	0.4102428	0.9850724	0.0823199	1.0000000
750	0.5032673	0.2408622	0.9620914	0.2500008	0.3601104	0.2721204	0.4129873	0.9850724	0.0823199	1.0000000
800	0.4226233	0.1873933	0.9515657	0.3273452	0.2736005	0.2422354	0.4380799	0.9850724	0.0823199	1.0000000
850	0.3228731	0.1338760	0.9276365	0.4504860	0.2120691	0.2658095	0.5038845	0.9850724	0.0823199	1.0000000
900	0.2302495	0.0934962	0.8829051	0.5951040	0.1852389	0.3730009	0.6132926	0.9850724	0.0823199	1.0000000
950	0.1665356	0.0694715	0.8207706	0.7130525	0.2037024	0.5565870	0.7233631	0.9850724	0.0823199	1.0000000
1000	0.1412773	0.0594156	0.7590132	0.7674273	0.2664766	0.7226682	0.7996846	0.9850724	0.0823199	1.0000000

0	0.3748590	0.1473644	0.8105963	0.3996622	0.4927852	0.8899990	0.7850588	0.9850724	0.0823199	1.0000000
50	0.4359287	0.1781156	0.5425173	0.3378531	0.5144104	0.9258915	0.7373706	0.9849668	0.0870942	0.6580541
100	0.4796299	0.2063408	0.4809338	0.2928833	0.5304187	0.9278687	0.6728363	0.9836028	0.1022974	0.5680541
150	0.5111494	0.2301270	0.4750485	0.2616520	0.5396997	0.9072132	0.6045283	0.9798232	0.1188620	0.5443661
200	0.5327059	0.2482311	0.4815383	0.2411230	0.5411330	0.8678092	0.5444252	0.9743382	0.1302249	0.5381314
250	0.5450750	0.2595758	0.4887072	0.2293674	0.5344823	0.8176521	0.4982557	0.9689273	0.1361458	0.5364905
300	0.5485572	0.2634605	0.4939049	0.2253033	0.5207631	0.7689732	0.4665305	0.9648312	0.1387560	0.5360586
350	0.5436529	0.2599751	0.4968504	0.2282487	0.5025498	0.7305412	0.4475333	0.9622578	0.1397942	0.5359449
400	0.5315995	0.2503283	0.4977441	0.2374214	0.4832480	0.7047600	0.4393178	0.9608417	0.1401811	0.5359150
450	0.5145507	0.2367199	0.4968175	0.2515389	0.4658627	0.6904099	0.4404042	0.9601332	0.1403192	0.5359071
500	0.4952700	0.2217288	0.4943061	0.2686848	0.4522840	0.6855902	0.4496329	0.9598027	0.1403671	0.5359050
550	0.4670059	0.2071457	0.8109131	0.2871907	0.4279246	0.4386159	0.4656233	0.9602361	0.1258470	0.8778504
600	0.4366065	0.1886723	0.8968275	0.3145184	0.3714659	0.3675623	0.4875131	0.9649172	0.1028952	0.9678503
650	0.3885960	0.1611904	0.9129715	0.3658658	0.3127567	0.3736443	0.5200087	0.9721332	0.0906217	0.9915382
700	0.3271164	0.1300284	0.9018865	0.4435957	0.2764831	0.4280327	0.5726314	0.9779828	0.0854663	0.9977729
750	0.2701724	0.1042651	0.8739838	0.5280968	0.2715458	0.5268377	0.6445752	0.9815507	0.0834711	0.9994138
800	0.2346573	0.0888647	0.8368689	0.5883599	0.2978727	0.6486506	0.7168081	0.9834321	0.0827304	0.9998457
850	0.2292370	0.0850208	0.8025974	0.6016199	0.3460647	0.7546478	0.7707620	0.9843430	0.0824632	0.9999594
900	0.2541632	0.0928388	0.7831339	0.5649641	0.4001852	0.8263487	0.8006742	0.9847595	0.0823690	0.9999893
950	0.3015460	0.1116117	0.7845417	0.4959779	0.4475403	0.8670558	0.8072295	0.9849420	0.0823365	0.9999972
1000	0.3581561	0.1384967	0.8049135	0.4200847	0.4828921	0.8848964	0.7906744	0.9850194	0.0823254	0.9999993

0	0.3748590	0.1473644	0.8105963	0.3996622	0.4927852	0.8899990	0.7850588	0.9850724	0.0823199	1.0000000
50	0.4269751	0.1780595	0.8447158	0.3379304	0.5126956	0.8930363	0.8128299	0.8440086	0.0823199	1.0000000
100	0.4675056	0.2055040	0.8777333	0.2938653	0.5242130	0.8957289	0.7836744	0.8108956	0.0823199	1.0000000
150	0.4962325	0.2272437	0.9044267	0.2646578	0.5303342	0.8846133	0.7343633	0.8031227	0.0823199	1.0000000
