YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W
0.1768424	0.7696949	0.6752642	0.0505539	0.1470327	0.1722162	0.6404230	0.6640694	0.0929775	0.7738929
0.2620934	0.3480451	0.7624794	0.0213192	0.0460103	0.1363895	0.7349816	0.7714192	0.1035671	0.8580980
0.5945063	0.6820299	0.4399903	0.0815995	0.0811806	0.2228895	0.6640390	0.8376559	0.0692966	0.6887641
0.4518681	0.7495173	0.6497527	0.0097188	0.1253316	0.0746219	0.6675438	0.8755773	0.0694268	0.7156387
0.5411703	0.8146616	0.7881923	0.0971031	0.0198210	0.1021555	0.9016378	0.7628508	0.0555994	0.6531741
0.4403890	0.8273816	0.7658993	0.0650149	0.2218359	0.0820469	0.6539395	0.7171797	0.0892884	0.6600120
0.4344525	0.7935784	0.8650791	0.0463905	0.0579471	0.6596132	0.3300786	0.7165630	0.0845264	0.7635451
0.4210286	0.7715000	0.9058621	0.0586934	0.1057836	0.1270954	0.9067879	0.3398055	0.1153296	0.6153811
0.5722856	0.8520623	0.7811119	0.1000283	0.0863037	0.1609497	0.6760043	0.7179149	0.0372195	0.8192848
0.7112684	0.6218113	0.6760670	0.0476425	0.0816763	0.1573479	0.8151205	0.6782895	0.1374431	0.3848360
