YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
0.0000000	0.0109415	0.2592327	1.0000000	1.0000000	0.5469474	1.0000000	1.0000000	1.0000000	1.0000000
0.0602735	0.0000000	0.2592327	1.0000000	1.0000000	0.5469474	1.0000000	1.0000000	1.0000000	1.0000000
0.1003635	0.0109411	0.0000000	1.0000000	1.0000000	0.5469474	1.0000000	1.0000000	1.0000000	1.0000000
0.9070875	0.7562420	0.9999907	0.0000000	1.0000000	0.5469474	1.0000000	1.0000000	1.0000000	1.0000000
0.8605919	0.5231964	0.2592327	1.0000000	0.0000000	0.5469474	1.0000000	1.0000000	1.0000000	1.0000000
0.8605914	0.5231958	0.2592327	1.0000000	1.0000000	0.0000004	1.0000000	1.0000000	1.0000000	1.0000000
0.8605919	0.5231964	0.2592327	1.0000000	1.0000000	0.0072412	0.0000001	1.0000000	1.0000000	1.0000000
0.8605919	0.5231963	0.2592327	1.0000000	1.0000000	0.5469474	1.0000000	0.0000000	1.0000000	1.0000000
0.8605918	0.5231962	0.2592327	1.0000000	1.0000000	0.5469474	1.0000000	1.0000000	0.0000010	1.0000000
0.8605917	0.5231961	0.2592327	1.0000000	1.0000000	0.5469474	1.0000000	1.0000000	1.0000000	0.0000001
