YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W
0.0566247	0.0043046	0.8593351	0.4675728	0.7879486	0.9998989	0.0927143	0.3862452	0.6401735	0.4170948
0.1108014	0.0021517	0.8593574	0.4676295	0.7878485	0.9998989	0.0927132	0.3863740	0.6399778	0.4170037
0.2401139	0.0294710	0.4497807	0.4351996	0.8273097	0.9998931	0.0936102	0.3258428	0.8136418	0.6755815
0.1123340	0.0036503	0.9952405	0.2412138	0.7701590	0.9999002	0.0925087	0.4149381	0.5751949	0.3597281
0.9473554	0.2860305	0.2536344	0.8123378	0.4379393	0.9998903	0.0940167	0.3106262	0.8684834	0.8428666
0.1132505	0.0043049	0.8593562	0.4675401	0.7879896	0.4999565	0.0927149	0.3861970	0.6402290	0.4171103
0.1132505	0.0043049	0.8593562	0.4675401	0.7879896	0.9999982	0.0463692	0.3861970	0.6402290	0.4171103
0.1125406	0.0038081	0.9506207	0.3771634	0.9056514	0.9997653	0.1069962	0.2025281	0.5963406	0.3772093
0.1168819	0.0062544	0.7074077	0.5571910	0.6889595	0.9999026	0.0921221	0.5516659	0.3556543	0.4965410
0.1157059	0.0057235	0.7339900	0.5433062	0.7039409	0.9999024	0.0921575	0.5240047	0.3930383	0.2404413
