YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W
0.0000000	0.5132532	0.3471281	0.8832699	0.8737249	0.4764756	0.4112484	0.6817180	0.4921841	0.3291001
0.6387657	0.0000000	0.3945691	0.7926397	0.8389793	0.6024011	0.4983932	0.8013110	0.4918795	0.4228476
0.7974083	0.0433843	0.0000000	0.6213149	0.8472601	0.8425677	0.5268249	0.6469481	0.4116307	0.2723190
0.7035679	0.0511800	0.0024830	0.0000000	0.8082609	0.6404602	0.4474347	0.6743574	0.7976550	0.3635306
0.6220083	0.0275497	0.0007016	0.0664900	0.0000000	0.7541802	0.4567049	0.6014632	0.6916986	0.3048652
0.0352680	0.4474786	0.4315462	0.7001129	0.7773431	0.0000000	0.1677301	0.5859310	0.4848118	0.3398758
0.0133487	0.5384810	0.3776567	0.6912992	0.6838235	0.6786412	0.0000000	0.5373485	0.4627158	0.2965906
0.0179097	0.5475865	0.3436819	0.5869724	0.7276850	0.3463596	0.6994010	0.0000000	0.2827556	0.8229243
0.0260788	0.5461010	0.3419359	0.8238587	0.7482669	0.3667952	0.8627543	0.0257009	0.0000000	0.7473773
0.0373438	0.5543363	0.4352478	0.8305917	0.7055523	0.5995083	0.3046830	0.6600845	0.7610748	0.0000000
