YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.3551936	0.4026463	1.0000000	0.4886197	0.0979262	0.3227484	0.8131523	0.9999891	0.0159043	0.0815240
0.9111310	0.2013234	1.0000000	0.5214744	0.1377518	0.4170413	0.6694862	0.9999889	0.0160071	0.0853670
0.4909119	0.6422266	0.5000011	0.4877600	0.0911575	0.2885469	0.8796929	0.9999891	0.0158756	0.0803404
0.7103870	0.4026463	1.0000000	0.3320983	0.0500744	0.3227484	0.8131523	0.9999891	0.0159043	0.0815240
0.7103870	0.4026463	1.0000000	0.6015412	0.0879270	0.3227484	0.8131523	0.9999891	0.0159043	0.0815240
0.7103870	0.4026463	1.0000000	0.5769202	0.0984117	0.1613743	0.8131523	0.9999891	0.0159043	0.0815240
0.7103870	0.4026463	1.0000000	0.4694641	0.1417610	0.6758748	0.4065762	0.9999872	0.0167917	0.1051494
0.7103870	0.4026463	1.0000000	0.5254895	0.1185547	0.3222671	0.8140705	0.5000866	0.0159040	0.0815069
0.7103870	0.4026463	1.0000000	0.5253942	0.1186133	0.3227484	0.8131523	0.9999985	0.0079603	0.0815240
0.7103870	0.4026463	1.0000000	0.5253769	0.1186054	0.3227484	0.8131523	0.9999900	0.0154179	0.0407725
