"Time"	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W

0	0.9226032	0.1147060	0.1875029	0.2701714	0.9999934	0.0233112	0.4167554	0.9901422	0.0745022	0.6519630
50	0.9225683	0.1147051	0.1859983	0.2914638	0.6722054	0.0233192	0.4167555	0.9901422	0.0745022	0.6519715
100	0.9225681	0.1143094	0.1706578	0.3528866	0.5554778	0.0233211	0.4167555	0.9901422	0.0745022	0.6525475
150	0.9227669	0.1125395	0.1449076	0.4119820	0.5139102	0.0232961	0.4167552	0.9901422	0.0745021	0.6552194
200	0.9234767	0.1097567	0.1238570	0.4496074	0.4991077	0.0231953	0.4167543	0.9901422	0.0745019	0.6597273
250	0.9247203	0.1072047	0.1108826	0.4690386	0.4938365	0.0229992	0.4167526	0.9901422	0.0745016	0.6642437
300	0.9261658	0.1054376	0.1037685	0.4779620	0.4919594	0.0227449	0.4167508	0.9901423	0.0745012	0.6676671
350	0.9274652	0.1043799	0.1000859	0.4817795	0.4912911	0.0224890	0.4167492	0.9901423	0.0745009	0.6698902
400	0.9284526	0.1037932	0.0982464	0.4833399	0.4910532	0.0222710	0.4167481	0.9901424	0.0745007	0.6712086
450	0.9291219	0.1034814	0.0973518	0.4839581	0.4909685	0.0221057	0.4167473	0.9901425	0.0745005	0.6719466
500	0.9295409	0.1033201	0.0969263	0.4841976	0.4909384	0.0219904	0.4167468	0.9901425	0.0745004	0.6723432
550	0.9297883	0.1032390	0.0969768	0.4415506	0.8187160	0.0219149	0.4167465	0.9901426	0.0745003	0.6725485
600	0.9299271	0.1032224	0.0999614	0.3630876	0.9354401	0.0218681	0.4167463	0.9901426	0.0745003	0.6726000
650	0.9299890	0.1033603	0.1094498	0.3129141	0.9770063	0.0218425	0.4167463	0.9901426	0.0745003	0.6723000
700	0.9299553	0.1038480	0.1260588	0.2883524	0.9918084	0.0218397	0.4167463	0.9901426	0.0745003	0.6712281
750	0.9297510	0.1048999	0.1453548	0.2775610	0.9970796	0.0218728	0.4167464	0.9901426	0.0745003	0.6689890
800	0.9292750	0.1065592	0.1618456	0.2730865	0.9989566	0.0219602	0.4167469	0.9901426	0.0745004	0.6656349
850	0.9284748	0.1085669	0.1732418	0.2712973	0.9996250	0.0221118	0.4167476	0.9901426	0.0745006	0.6618148
900	0.9274132	0.1105075	0.1800841	0.2705994	0.9998630	0.0223168	0.4167488	0.9901426	0.0745008	0.6583489
950	0.9262528	0.1120734	0.1838262	0.2703320	0.9999476	0.0225453	0.4167501	0.9901425	0.0745011	0.6557267
1000	0.9251709	0.1131725	0.1857464	0.2702310	0.9999776	0.0227631	0.4167515	0.9901425	0.0745014	0.6540051

0	0.9226032	0.1147060	0.1875029	0.2701714	0.9999934	0.0233112	0.4167554	0.9901422	0.0745022	0.6519630
50	0.7528924	0.0867598	0.5734836	0.1281118	0.9999947	0.0114611	0.4167511	0.9901422	0.0745012	0.6279631
100	0.7026980	0.1676830	0.7756325	0.0840884	0.9999973	0.0066598	0.4167484	0.9901423	0.0745006	0.5536931
150	0.6632043	0.3001863	0.8922935	0.0704458	0.9999989	0.0050134	0.4168511	0.9901422	0.0745174	0.5345606
200	0.6124570	0.4122096	0.9495617	0.0662180	0.9999996	0.0045465	0.4184233	0.9901381	0.0747034	0.5694443
250	0.5632712	0.4836199	0.9753773	0.0649078	0.9999998	0.0042513	0.4269728	0.9901055	0.0755495	0.6053237
300	0.5256793	0.5232417	0.9866593	0.0645018	0.9999999	0.0039144	0.4472662	0.9899786	0.0774778	0.6304392
350	0.5008113	0.5436202	0.9915166	0.0643759	1.0000000	0.0035875	0.4745387	0.9896825	0.0802573	0.6494397
400	0.4857808	0.5536194	0.9935882	0.0643369	1.0000000	0.0033087	0.5001345	0.9891980	0.0832642	0.6660826
450	0.4772380	0.5583676	0.9944657	0.0643249	1.0000000	0.0030806	0.5193966	0.9885790	0.0859575	0.6808039
500	0.4725991	0.5605671	0.9948354	0.0643211	1.0000000	0.0028960	0.5320056	0.9879188	0.0880684	0.6928275
550	0.6351076	0.6048710	0.9125957	0.2063786	1.0000000	0.0134126	0.5458172	0.9872929	0.0904896	0.7025463
600	0.6791505	0.5752634	0.6279972	0.2504013	0.9999997	0.0173833	0.5648397	0.9866224	0.0938426	0.7125426
650	0.6980180	0.4558654	0.4065752	0.2640436	0.9999991	0.0186689	0.5572459	0.9859200	0.0931351	0.7220129
700	0.7264938	0.3116832	0.2893952	0.2682714	0.9999983	0.0188949	0.5092537	0.9857335	0.0864433	0.7242763
750	0.7700187	0.2107972	0.2333601	0.2695817	0.9999976	0.0188652	0.4608602	0.9864361	0.0799548	0.7145250
800	0.8178868	0.1578689	0.2077207	0.2699879	0.9999973	0.0190214	0.4348241	0.9875812	0.0766091	0.6972995
850	0.8582339	0.1335160	0.1962944	0.2701138	0.9999971	0.0195090	0.4237991	0.9886061	0.0752687	0.6804696
900	0.8863061	0.1228578	0.1912922	0.2701529	0.9999968	0.0202436	0.4194605	0.9893064	0.0747759	0.6681126
950	0.9033938	0.1182519	0.1891287	0.2701650	0.9999964	0.0210468	0.4177898	0.9897175	0.0745996	0.6604573
1000	0.9128824	0.1162583	0.1882004	0.2701688	0.9999960	0.0217662	0.4171508	0.9899369	0.0745370	0.6562009

0	0.9226032	0.1147060	0.1875029	0.2701714	0.9999934	0.0233112	0.4167554	0.9901422	0.0745022	0.6519630
50	0.8974746	0.3778275	0.1857760	0.2951243	0.6235134	0.0232998	0.4169430	0.9106144	0.0745330	0.6575843
100	0.8372624	0.4542406	0.1682739	0.3699740	0.4894462	0.0231137	0.4209281	0.8798470	0.0750113	0.6669742
150	0.7888291	0.4754383	0.1402095	0.4448044	0.4417039	0.0227376	0.4342422	0.8678819	0.0763973	0.6740673
200	0.7609232	0.4802267	0.1185617	0.4936376	0.4247027	0.0222850	0.4511475	0.8630954	0.0781215	0.6813283
250	0.7472310	0.4806187	0.1058673	0.5192198	0.4186485	0.0218024	0.4641848	0.8610329	0.0795311	0.6893112
300	0.7412015	0.4801731	0.0991721	0.5310675	0.4164927	0.0213038	0.4718400	0.8600377	0.0804555	0.6966860
350	0.7387837	0.4797579	0.0958086	0.5361628	0.4157251	0.0208211	0.4756332	0.8595042	0.0809900	0.7023541
400	0.7379080	0.4794948	0.0941664	0.5382526	0.4154519	0.0203962	0.4772888	0.8592008	0.0812760	0.7061189
450	0.7376338	0.4793478	0.0933815	0.5390826	0.4153547	0.0200566	0.4779287	0.8590259	0.0814214	0.7083511
500	0.7375710	0.4792705	0.0930130	0.5394048	0.4153202	0.0198078	0.4781394	0.8589264	0.0814925	0.7095584
550	0.7545412	0.2126153	0.0930405	0.4830529	0.7917889	0.0196396	0.4613063	0.9383784	0.0795379	0.7094866
600	0.8053385	0.1349134	0.0954822	0.3832231	0.9258522	0.0195641	0.4361626	0.9693487	0.0766054	0.7042488
650	0.8570764	0.1123814	0.1038978	0.3213946	0.9735932	0.0196551	0.4242871	0.9816654	0.0752622	0.6947753
700	0.8926040	0.1061890	0.1200675	0.2917345	0.9905941	0.0199438	0.4196170	0.9866573	0.0747679	0.6853093
750	0.9123319	0.1052038	0.1402751	0.2788723	0.9966481	0.0203711	0.4178341	0.9887049	0.0745937	0.6773484
800	0.9217546	0.1062242	0.1583503	0.2735859	0.9988038	0.0208552	0.4171582	0.9895496	0.0745330	0.6705630
850	0.9255021	0.1080836	0.1711634	0.2714850	0.9995713	0.0213420	0.4169030	0.9898985	0.0745119	0.6647170
900	0.9264039	0.1100759	0.1789623	0.2706691	0.9998444	0.0218014	0.4168073	0.9900425	0.0745048	0.6600207
950	0.9260281	0.1117586	0.1832585	0.2703577	0.9999414	0.0222113	0.4167720	0.9901017	0.0745025	0.6566496
1000	0.9252175	0.1129706	0.1854717	0.2702403	0.9999757	0.0225533	0.4167596	0.9901259	0.0745018	0.6544888

0	0.9226032	0.1147060	0.1875029	0.2701714	0.9999934	0.0233112	0.4167554	0.9901422	0.0745022	0.6519630
50	0.4801208	0.4290510	0.1863360	0.2865898	0.7401948	0.0242461	0.4170576	0.9901419	0.0745477	0.5525953
100	0.3204013	0.5204989	0.1740850	0.3315583	0.6476782	0.0274555	0.4248084	0.9901259	0.0753430	0.5247169
150	0.2574637	0.5464659	0.1522117	0.3726845	0.6147310	0.0312867	0.4516553	0.9900043	0.0776962	0.5196125
200	0.2320482	0.5530234	0.1328655	0.3980169	0.6029958	0.0342038	0.4852664	0.9896709	0.0807114	0.5259566
250	0.2217963	0.5540857	0.1200917	0.4108458	0.5988139	0.0355990	0.5108351	0.9891462	0.0833658	0.5381184
300	0.2177391	0.5538543	0.1127033	0.4166689	0.5973226	0.0356251	0.5258568	0.9885475	0.0853084	0.5507930
350	0.2161902	0.5534814	0.1087228	0.4191426	0.5967907	0.0348253	0.5334047	0.9879900	0.0865876	0.5608746
400	0.2156316	0.5532086	0.1066751	0.4201491	0.5966017	0.0337435	0.5367854	0.9875377	0.0873745	0.5676590
450	0.2154479	0.5530432	0.1056577	0.4205466	0.5965354	0.0327279	0.5381463	0.9872053	0.0878350	0.5717185
500	0.2153976	0.5529510	0.1051663	0.4206999	0.5965128	0.0319269	0.5386263	0.9869785	0.0880939	0.5739364
550	0.5800214	0.2346838	0.1052489	0.3927106	0.8563011	0.0300858	0.5061818	0.9868910	0.0843846	0.6819410
600	0.7406691	0.1419498	0.1088855	0.3384701	0.9488162	0.0263621	0.4556594	0.9873386	0.0786175	0.7097805
650	0.8308731	0.1151202	0.1193404	0.3022357	0.9817651	0.0232522	0.4317909	0.9881963	0.0759793	0.7052125
700	0.8813904	0.1078569	0.1356301	0.2840009	0.9935011	0.0215276	0.4224566	0.9889842	0.0750166	0.6922920
750	0.9072482	0.1067565	0.1529004	0.2758467	0.9976818	0.0209233	0.4189055	0.9895196	0.0746795	0.6801088
800	0.9191490	0.1078027	0.1668282	0.2724257	0.9991713	0.0209859	0.4175624	0.9898299	0.0745626	0.6705600
850	0.9238761	0.1095262	0.1761402	0.2710464	0.9997018	0.0213591	0.4170559	0.9899932	0.0745223	0.6635623
900	0.9252074	0.1112164	0.1816309	0.2705052	0.9998907	0.0218221	0.4168655	0.9900738	0.0745085	0.6587525
950	0.9251007	0.1125507	0.1846043	0.2702969	0.9999578	0.0222566	0.4167946	0.9901117	0.0745039	0.6556899
1000	0.9245203	0.1134665	0.1861220	0.2702180	0.9999815	0.0226107	0.4167686	0.9901290	0.0745024	0.6538869

0	0.9226032	0.1147060	0.1875029	0.2701714	0.9999934	0.0233112	0.4167554	0.9901422	0.0745022	0.6519630
50	0.6625667	0.1147145	0.1875077	0.2701713	0.9999948	0.0098477	0.4167555	0.9901422	0.0745022	0.7447789
100	0.5843498	0.1147184	0.1875099	0.2701710	0.9999975	0.0042126	0.4167555	0.9901422	0.0745024	0.7766239
150	0.5608217	0.1147202	0.1875111	0.2701705	0.9999990	0.0018501	0.4167555	0.9901422	0.0745025	0.7875500
200	0.5537437	0.1147211	0.1875119	0.2701701	0.9999997	0.0008588	0.4167556	0.9901421	0.0745026	0.7912987
250	0.5516141	0.1147215	0.1875125	0.2701699	0.9999999	0.0004426	0.4167556	0.9901421	0.0745027	0.7925849
300	0.5509733	0.1147217	0.1875130	0.2701697	1.0000000	0.0002678	0.4167556	0.9901421	0.0745027	0.7930262
350	0.5507804	0.1147219	0.1875133	0.2701697	1.0000000	0.0001943	0.4167556	0.9901421	0.0745027	0.7931775
400	0.5507223	0.1147220	0.1875135	0.2701697	1.0000000	0.0001634	0.4167556	0.9901421	0.0745027	0.7932294
450	0.5507047	0.1147220	0.1875136	0.2701697	1.0000000	0.0001505	0.4167556	0.9901421	0.0745027	0.7932472
500	0.5506994	0.1147221	0.1875136	0.2701697	1.0000000	0.0001450	0.4167556	0.9901421	0.0745027	0.7932533
550	0.8106960	0.1147221	0.1875137	0.2701697	1.0000000	0.0094400	0.4167556	0.9901421	0.0745027	0.7004346
600	0.8888948	0.1147221	0.1875137	0.2701697	0.9999999	0.0146707	0.4167556	0.9901421	0.0745026	0.6685888
650	0.9124146	0.1147221	0.1875137	0.2701697	0.9999996	0.0181048	0.4167556	0.9901421	0.0745024	0.6576626
700	0.9194886	0.1147221	0.1875137	0.2701698	0.9999987	0.0203420	0.4167556	0.9901421	0.0745023	0.6539138
750	0.9216162	0.1147221	0.1875136	0.2701699	0.9999976	0.0217066	0.4167556	0.9901421	0.0745023	0.6526277
800	0.9222561	0.1147221	0.1875134	0.2701702	0.9999964	0.0224844	0.4167556	0.9901421	0.0745022	0.6521864
850	0.9224486	0.1147221	0.1875132	0.2701705	0.9999953	0.0229037	0.4167556	0.9901422	0.0745022	0.6520350
900	0.9225065	0.1147220	0.1875129	0.2701707	0.9999946	0.0231202	0.4167556	0.9901422	0.0745022	0.6519831
950	0.9225239	0.1147220	0.1875125	0.2701709	0.9999941	0.0232283	0.4167556	0.9901422	0.0745022	0.6519654
1000	0.9225292	0.1147219	0.1875122	0.2701711	0.9999937	0.0232808	0.4167556	0.9901422	0.0745022	0.6519593

0	0.9226032	0.1147060	0.1875029	0.2701714	0.9999934	0.0233112	0.4167554	0.9901422	0.0745022	0.6519630
50	0.9092181	0.2526586	0.2748715	0.2701713	0.9999934	0.0233495	0.2806870	0.9901421	0.0745091	0.6418726
100	0.8746429	0.3005727	0.3110754	0.2701713	0.9999933	0.0237681	0.2297101	0.9901407	0.0745554	0.6134701
150	0.8434613	0.3221053	0.3260757	0.2701714	0.9999930	0.0249407	0.2116906	0.9901344	0.0746356	0.5870439
200	0.8225718	0.3333227	0.3322905	0.2701714	0.9999922	0.0266945	0.2064148	0.9901223	0.0747127	0.5703488
250	0.8100607	0.3392489	0.3348654	0.2701716	0.9999907	0.0285588	0.2056907	0.9901073	0.0747721	0.5617393
300	0.8029518	0.3422672	0.3359320	0.2701719	0.9999885	0.0301442	0.2062715	0.9900926	0.0748144	0.5579422
350	0.7990462	0.3437403	0.3363738	0.2701724	0.9999858	0.0312908	0.2069996	0.9900801	0.0748432	0.5565572
400	0.7969605	0.3444334	0.3365565	0.2701730	0.9999832	0.0320219	0.2075539	0.9900704	0.0748620	0.5562200
450	0.7958759	0.3447503	0.3366318	0.2701737	0.9999809	0.0324414	0.2079081	0.9900633	0.0748737	0.5562612
500	0.7953260	0.3448920	0.3366626	0.2701743	0.9999792	0.0326598	0.2081139	0.9900585	0.0748806	0.5563942
550	0.8047785	0.2108029	0.2493234	0.2701747	0.9999780	0.0327256	0.3420748	0.9900559	0.0748338	0.5641967
600	0.8338500	0.1579474	0.2131377	0.2701751	0.9999774	0.0322523	0.3895236	0.9900614	0.0746988	0.5887967
650	0.8651369	0.1341929	0.1981435	0.2701753	0.9999777	0.0308713	0.4066612	0.9900782	0.0745950	0.6143642
700	0.8889969	0.1234203	0.1919273	0.2701753	0.9999795	0.0289808	0.4129900	0.9900986	0.0745422	0.6321768
